company_code,company_name,indicator_code,official_domain,domain_status,next_action,authority_policy
000539.SZ,粤电力Ａ,Q_G_ROA,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000539.SZ,粤电力Ａ,Q_G_TWO_FUNDS_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000539.SZ,粤电力Ａ,Q_S_BENEFIT_PER_EMPLOYEE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000539.SZ,粤电力Ａ,Q_S_DONATION_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000539.SZ,粤电力Ａ,Q_S_EDU_PER_EMPLOYEE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000539.SZ,粤电力Ａ,Q_S_ENV_INVEST_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000539.SZ,粤电力Ａ,Q_S_PAY_PER_EMPLOYEE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000539.SZ,粤电力Ａ,Q_S_SAFETY_INVEST_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_E_ALTERNATIVE_WATER_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_E_CLEAN_ENERGY_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_E_ENERGY_INTENSITY,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
000543.SZ,皖能电力,Q_E_GHG_REDUCTION_RATE,,pending_verification,verify_issuer_domain_then_discover_reports,source-authority-v1-exchange-gt-issuer-gt-other
