company_code,company_name,indicator_code,value,source,industry,sample_count
000400.SZ,许继电气,Q_G_OPERATING_MARGIN,7.79810136571,industry_median,Unknown,243
000400.SZ,许继电气,Q_G_EBITDA_MARGIN,14.3784319991,industry_median,Unknown,215
000400.SZ,许继电气,Q_G_CASH_REALIZATION,106.674299656,industry_median,Unknown,286
000400.SZ,许继电气,Q_G_COST_REVENUE_RATE,95.1661055048,industry_median,Unknown,302
000400.SZ,许继电气,Q_G_CURRENT_ASSET_TURNOVER,1.12902751944,industry_median,Unknown,384
000400.SZ,许继电气,Q_G_TWO_FUNDS_RATE,45.9690973056,industry_median,Unknown,383
000400.SZ,许继电气,Q_G_EBITDA_INTEREST,6.71240301904,industry_median,Unknown,271
000400.SZ,许继电气,Q_G_QUICK_RATIO,116.836108816,industry_median,Unknown,353
000400.SZ,许继电气,Q_G_CASH_CURRENT_LIABILITY,21.4426529945,industry_median,Unknown,208
000400.SZ,许继电气,Q_G_OPERATING_PROFIT_GROWTH,29.8168341886,industry_median,Unknown,115
000407.SZ,胜利股份,Q_E_GHG_INTENSITY,96.0,industry_median,Unknown,105
000407.SZ,胜利股份,Q_E_GHG_REDUCTION_RATE,13.6783156641,industry_median,Unknown,25
000407.SZ,胜利股份,Q_E_ENERGY_INTENSITY,84.0,industry_median,Unknown,86
000407.SZ,胜利股份,Q_E_CLEAN_ENERGY_INTENSITY,60.0,industry_median,Unknown,55
000407.SZ,胜利股份,Q_E_NOX_INTENSITY,46.8914518705,industry_median,Unknown,37
000407.SZ,胜利股份,Q_E_SO2_INTENSITY,88.6712070065,industry_median,Unknown,26
000407.SZ,胜利股份,Q_E_PM_INTENSITY,11.6011859525,industry_median,Unknown,35
000407.SZ,胜利股份,Q_E_WASTEWATER_INTENSITY,134.102018567,industry_median,Unknown,44
000407.SZ,胜利股份,Q_E_WATER_INTENSITY,124.0,industry_median,Unknown,82
000407.SZ,胜利股份,Q_E_ALTERNATIVE_WATER_RATE,48.97,industry_median,Unknown,23
000407.SZ,胜利股份,Q_E_SOLID_WASTE_INTENSITY,7.1,industry_median,Unknown,50
000407.SZ,胜利股份,Q_E_HAZ_WASTE_INTENSITY,0.500762563488,industry_median,Unknown,27
000407.SZ,胜利股份,Q_S_SAFETY_INVEST_RATE,8.0,industry_median,Unknown,57
000407.SZ,胜利股份,Q_S_ENV_INVEST_RATE,3.0,industry_median,Unknown,61
000407.SZ,胜利股份,Q_S_DONATION_RATE,0.0101674609757,industry_median,Unknown,270
000407.SZ,胜利股份,Q_S_BENEFIT_PER_EMPLOYEE,1.80888375219,industry_median,Unknown,83
000407.SZ,胜利股份,Q_G_ROA,4.82964985516,industry_median,Unknown,214
000407.SZ,胜利股份,Q_G_OPERATING_MARGIN,7.79810136571,industry_median,Unknown,243
000407.SZ,胜利股份,Q_G_EBITDA_MARGIN,14.3784319991,industry_median,Unknown,215
000407.SZ,胜利股份,Q_G_CASH_REALIZATION,106.674299656,industry_median,Unknown,286
000407.SZ,胜利股份,Q_G_COST_REVENUE_RATE,95.1661055048,industry_median,Unknown,302
000407.SZ,胜利股份,Q_G_ASSET_TURNOVER,0.560300474692,industry_median,Unknown,468
000407.SZ,胜利股份,Q_G_AR_TURNOVER,4.48125793763,industry_median,Unknown,445
000407.SZ,胜利股份,Q_G_CURRENT_ASSET_TURNOVER,1.12902751944,industry_median,Unknown,384
000407.SZ,胜利股份,Q_G_TWO_FUNDS_RATE,45.9690973056,industry_median,Unknown,383
000407.SZ,胜利股份,Q_G_DEBT_ASSET_RATE,53.2037440027,industry_median,Unknown,524
000407.SZ,胜利股份,Q_G_EBITDA_INTEREST,6.71240301904,industry_median,Unknown,271
000407.SZ,胜利股份,Q_G_QUICK_RATIO,116.836108816,industry_median,Unknown,353
000407.SZ,胜利股份,Q_G_CASH_CURRENT_LIABILITY,21.4426529945,industry_median,Unknown,208
000407.SZ,胜利股份,Q_G_REVENUE_GROWTH,14.6617433369,industry_median,Unknown,300
000407.SZ,胜利股份,Q_G_OPERATING_PROFIT_GROWTH,29.8168341886,industry_median,Unknown,115
000407.SZ,胜利股份,Q_G_CAPITAL_ACCUMULATION,6.35081026189,industry_median,Unknown,256
00042.HK,NE ELECTRIC,Q_E_GHG_INTENSITY,96.0,industry_median,Unknown,105
00042.HK,NE ELECTRIC,Q_E_GHG_REDUCTION_RATE,13.6783156641,industry_median,Unknown,25
00042.HK,NE ELECTRIC,Q_E_ENERGY_INTENSITY,84.0,industry_median,Unknown,86
00042.HK,NE ELECTRIC,Q_E_CLEAN_ENERGY_INTENSITY,60.0,industry_median,Unknown,55
00042.HK,NE ELECTRIC,Q_E_NOX_INTENSITY,46.8914518705,industry_median,Unknown,37
00042.HK,NE ELECTRIC,Q_E_SO2_INTENSITY,88.6712070065,industry_median,Unknown,26
00042.HK,NE ELECTRIC,Q_E_PM_INTENSITY,11.6011859525,industry_median,Unknown,35
00042.HK,NE ELECTRIC,Q_E_WASTEWATER_INTENSITY,134.102018567,industry_median,Unknown,44
00042.HK,NE ELECTRIC,Q_E_WATER_INTENSITY,124.0,industry_median,Unknown,82
00042.HK,NE ELECTRIC,Q_E_ALTERNATIVE_WATER_RATE,48.97,industry_median,Unknown,23
00042.HK,NE ELECTRIC,Q_E_SOLID_WASTE_INTENSITY,7.1,industry_median,Unknown,50
00042.HK,NE ELECTRIC,Q_E_HAZ_WASTE_INTENSITY,0.500762563488,industry_median,Unknown,27
00042.HK,NE ELECTRIC,Q_S_SAFETY_INVEST_RATE,8.0,industry_median,Unknown,57
