rank,company_code,company_name,esg_score,quantitative_score,qualitative_score,e_score,s_score,g_score,indicator_count,extracted_count,calculated_count,filled_count
15,300820.SZ,英杰电气,42.80263952747444,53.50329940934305,0,59.60836919977385,56.47929584011809,44.92550568527735,49,40,2,7
16,603080.SH,新疆火炬,42.779806894196156,53.47475861774519,0,51.57082417443911,51.65250481420676,55.99063251997421,38,20,0,18
17,301358.SZ,湖南裕能,42.721539372426754,53.40192421553344,0,54.38143037169818,58.07535458324855,49.81657958023306,43,31,3,9
18,605117.SH,德业股份,42.695174824043555,53.36896853005444,0,52.15012765085705,52.6935936770837,54.96962020434369,43,28,1,14
19,000690.SZ,宝新能源,42.64560867363383,53.30701084204229,0,52.47486473396167,57.830096795995466,51.96569415294817,38,17,1,20
20,600681.SH,百川能源,42.6208763048169,53.27609538102112,0,51.57082417443911,44.6636223512418,59.28331821959162,37,18,0,19
21,600900.SH,长江电力,42.51901794443635,53.148772430545435,0,52.58785928459973,54.36486720696547,53.17498930772612,44,30,2,12
22,002335.SZ,科华数据,42.412196479081416,53.01524559885177,0,51.57082417443911,57.079960036880586,52.1480779614864,39,14,0,25
23,001301.SZ,尚太科技,42.376039249468825,52.97004906183603,0,51.66196467577432,53.86790174805951,53.70589371634583,39,22,1,16
24,002986.SZ,宇新股份,42.324674587185434,52.90584323398179,0,51.57082417443911,54.81916967322168,53.217516431574325,39,12,0,27
25,002828.SZ,贝肯能源,42.292553626938385,52.86569203367298,0,51.57082417443911,52.670444741341825,54.06948342028036,38,22,0,16
26,605580.SH,恒盛能源,42.28861699314883,52.860771241436034,0,51.64311125188555,46.33825958257358,57.22984675257302,39,22,1,16
27,002533.SZ,金杯电工,42.286382872437876,52.85797859054734,0,51.57082417443911,55.16667400594296,52.709107651318014,39,18,0,21
28,002441.SZ,众业达,42.17617614426427,52.72022018033033,0,51.57082417443911,54.61798016216019,52.840674113746786,38,12,0,26
29,600917.SH,重庆燃气,42.15334172261099,52.69167715326373,0,51.554764187156216,58.87653941794354,50.434172451670555,45,32,0,13
30,300882.SZ,万胜智能,42.07630785144614,52.59538481430767,0,51.57082417443911,52.64777736279191,53.46298904047924,39,24,0,15
31,301386.SZ,未来电器,42.0731294443501,52.59141180543762,0,55.118457529055604,58.991287172431015,44.988085889454794,42,21,0,21
32,600968.SH,海油发展,42.067282734376754,52.58410341797094,0,52.20156140646907,55.45618524656069,51.44400408827503,50,37,3,10
33,002249.SZ,大洋电机,42.0598547903929,52.57481848799112,0,51.57082417443911,55.238059991731376,52.06479958162691,40,24,0,16
34,300483.SZ,首华燃气,42.05143525849982,52.56429407312477,0,51.57082417443911,48.69414588609587,55.77915066351795,40,14,0,26
35,605169.SH,洪通燃气,42.00005644164851,52.500070552060635,0,51.57082417443911,47.76379664990378,55.5474604670377,38,20,0,18
36,920185.BJ,贝特瑞,41.94513141632976,52.4314142704122,0,51.57082417443911,58.362102618384704,49.41584097301791,38,9,0,29
37,00632.HK,CHK OIL,41.9150751785447,52.39384397318087,0,58.07148356596504,47.04144807043,46.97970387823812,37,7,0,30
38,301278.SZ,快可电子,41.887077344543094,52.358846680678866,0,51.57082417443911,58.99034307060916,49.50146425610063,39,14,0,25
39,920010.BJ,凯添燃气,41.87585730331603,52.34482162914504,0,51.57082417443911,52.13550214460691,53.39361087798477,37,5,0,32
40,002221.SZ,东华能源,41.822086981846276,52.27760872730784,0,51.57082417443911,53.210938757893985,52.51582794794408,38,11,0,27
41,920779.BJ,武汉蓝电,41.7948617399002,52.24357717487524,0,51.57082417443911,53.96966456366783,51.959961025028704,37,6,0,31
42,300129.SZ,泰胜风能,41.79382846653823,52.24228558317278,0,54.765871504160756,53.52254186806071,47.86466582459996,45,24,1,20
43,600406.SH,国电南瑞,41.78545965081765,52.23182456352206,0,51.57082417443911,49.69457669899933,54.11780411005063,38,20,0,18
44,002270.SZ,华明装备,41.77493531328207,52.21866914160258,0,51.57082417443911,57.87059787587472,49.568565124308606,38,14,0,24
45,001376.SZ,百通能源,41.77434941400839,52.21793676751049,0,51.57082417443911,52.9557365342489,52.47240617772066,40,14,0,26
46,603706.SH,东方环宇,41.75238365524881,52.19047956906101,0,51.57082417443911,52.04286161605877,52.81127329775075,38,20,0,18
47,600098.SH,广州发展,41.743291831136354,52.17911478892044,0,51.67143323738741,51.269218240261296,53.0878768225497,42,27,1,14
48,000899.SZ,赣能股份,41.716239244759834,52.145299055949785,0,51.57082417443911,56.71705966939998,49.96709164638424,38,19,0,19
49,600956.SH,新天绿能,41.670740615762895,52.08842576970362,0,52.9863264074247,62.61871502093766,45.86435015927123,47,33,3,11
50,300407.SZ,凯发电气,41.63219181435505,52.04023976794381,0,51.57082417443911,53.06068794811448,51.9530119005317,39,14,0,25
51,920252.BJ,天宏锂电,41.63096950626254,52.03871188282817,0,51.57082417443911,57.31173894221829,49.14885208302209,38,5,0,33
52,300409.SZ,道氏技术,41.62143759396878,52.02679699246097,0,51.57082417443911,49.76981822426766,53.53537270263259,39,23,0,16
53,300919.SZ,中伟新材,41.61357451570881,52.01696814463601,0,55.37755116870765,49.68166379245189,49.1678545301476,47,30,4,13
54,002125.SZ,湘潭电化,41.58379912127376,51.9797489015922,0,51.57082417443911,58.827628881487875,47.57541774686926,39,15,0,24
55,603031.SH,安孚科技,41.56811204798324,51.96014005997905,0,52.31197123284119,48.386962537484024,53.52286846540354,47,41,1,5
56,300724.SZ,捷佳伟创,41.563537702190075,51.95442212773759,0,51.57082417443911,64.11262713716529,46.4357027260306,39,23,0,16
57,601311.SH,骆驼股份,41.55918374735913,51.94897968419891,0,51.57082417443911,47.32517728214788,54.59832061841743,38,21,0,17
58,000593.SZ,德龙汇能,41.55374482627631,51.94218103284538,0,51.57082417443911,52.76653776709523,51.894224822622256,38,15,0,23
59,01229.HK,NAN NAN RES,41.54255532492135,51.92819415615169,0,51.57082417443911,47.04144807043,54.731557971213235,37,5,0,32
60,000922.SZ,佳电股份,41.532082559730796,51.91510319966349,0,51.57082417443911,47.751654414958395,54.88615276116962,39,14,0,25
61,301217.SZ,铜冠铜箔,41.509727313378264,51.887159141722826,0,51.57082417443911,54.21073650617526,50.92669633179443,38,13,0,25
62,688676.SH,金盘科技,41.49421459750578,51.86776824688222,0,54.82580243596556,52.62079360351279,47.99464306663532,50,40,2,8
63,603897.SH,长城科技,41.43228417201897,51.79035521502371,0,51.57082417443911,53.92297190207584,50.910642144810474,38,21,0,17
64,600803.SH,新奥股份,41.42919715113647,51.78649643892059,0,52.26565583126652,53.23437601113791,50.01726226400152,47,22,0,25
65,000533.SZ,顺钠股份,41.42285868159262,51.77857335199077,0,52.22548961345508,52.31546100280902,50.94858723085213,42,24,0,18
66,300035.SZ,中科电气,41.38003485373825,51.72504356717281,0,51.57082417443911,53.607255194576126,50.67397120978736,40,14,0,26
67,600726.SH,华电能源,41.37737064954302,51.72171331192877,0,51.57082417443911,44.37303247000321,55.18594327353115,38,18,0,20
68,301002.SZ,崧盛股份,41.372272999139376,51.71534124892422,0,51.57082417443911,52.43750913507898,51.45751072222006,38,12,0,26
69,02688.HK,ENN ENERGY,41.36694473090966,51.70868091363707,0,54.684103707464914,47.04144807043,49.495474667559,39,15,0,24
70,688330.SH,宏力达,41.350643258280506,51.68830407285063,0,51.57082417443911,48.37506361660349,53.51509422851384,38,20,0,18
71,603218.SH,日月股份,41.33003278194724,51.66254097743404,0,51.57082417443911,55.46456048981193,49.209303686305304,38,8,0,30
72,688248.SH,南网科技,41.32197025465041,51.652462818313005,0,51.66304700911224,53.31102075738244,50.82879193502235,45,30,1,14
73,603053.SH,成都燃气,41.30992360773635,51.63740450967043,0,51.967702002361,46.083265492481296,53.95351267863702,41,23,1,17
74,002300.SZ,太阳电缆,41.304342060947256,51.63042757618407,0,52.272230778115485,52.16050337771911,50.569917064141464,40,17,1,22
75,603396.SH,金辰股份,41.29492135638412,51.61865169548015,0,59.710733240802064,44.84134638340178,45.55483801487216,46,35,1,10
76,600101.SH,明星电力,41.28338524828802,51.60423156036002,0,51.96256814847382,45.150696999914814,54.405632290855024,44,27,2,15
77,002893.SZ,京能热力,41.279131972418995,51.59891496552374,0,51.57082417443911,52.8547018290565,51.025490426014635,38,20,0,18
78,00554.HK,HANS GP HLDGS,41.27038238583279,51.58797798229098,0,51.57082417443911,47.04144807043,53.86630145037924,37,5,0,32
79,920914.BJ,远航精密,41.257170738148844,51.57146342268605,0,51.57082417443911,59.87331470344041,46.51887733057747,37,9,0,28
80,601778.SH,晶科科技,41.25651011521074,51.570637644013416,0,54.87402502240471,51.534458111488654,47.89081265685466,46,33,1,12
81,000155.SZ,川能动力,41.243531067071736,51.55441383383967,0,51.57082417443911,52.313132353864034,51.13018978357126,39,18,0,21
82,603105.SH,芯能科技,41.23304608928006,51.54130761160007,0,51.57082417443911,53.59302337091027,50.47138872569359,39,22,0,17
83,300037.SZ,新宙邦,41.23042198985059,51.53802748731324,0,51.967831833203725,53.69687578704689,49.67161059493463,40,13,1,26
84,300450.SZ,先导智能,41.22510905801735,51.53138632252168,0,51.57082417443911,55.53374189578697,49.46023273658861,39,22,0,17
85,000682.SZ,东方电子,41.22427633687838,51.53034542109798,0,51.57082417443911,53.45100626991165,50.311986333134456,38,11,0,27
86,688005.SH,容百科技,41.20425321037502,51.505316512968776,0,51.74262788205487,62.33694181469733,45.731585830280835,46,32,0,14
87,002493.SZ,荣盛石化,41.18396565542246,51.47995706927807,0,50.05145173460109,55.50463357977164,50.720425301460764,44,25,1,18
88,000993.SZ,闽东电力,41.17167932837588,51.464599160469845,0,51.57082417443911,51.22048117726209,51.49648518460301,38,13,0,25
89,600885.SH,宏发股份,41.16776202914724,51.45970253643405,0,52.04414085956619,48.11747515061852,52.46044772560217,47,36,1,10
90,002879.SZ,长缆科技,41.14924345303522,51.43655431629402,0,51.57082417443911,56.98606362424281,47.52787624755084,40,15,0,25
91,002892.SZ,科力尔,41.129433537010186,51.411791921262726,0,51.57082417443911,54.09702547800899,49.49928710199165,39,13,0,26
92,02236.HK,WISON ENGRG,41.12517581867393,51.40646977334241,0,52.28558234185442,47.04144807043,52.31283042588232,37,12,0,25
93,920496.BJ,许昌智能,41.10685815586303,51.383572694828786,0,51.57082417443911,53.79359366990036,49.63018645342917,37,5,0,32
94,06828.HK,BG BLUE SKY,41.09014476697736,51.3626809587217,0,51.669911203847555,47.04144807043,53.02195485197005,38,10,0,28
95,920368.BJ,连城数控,41.08215684162587,51.35269605203233,0,51.57082417443911,54.69607090509549,48.924915963092026,37,5,0,32
96,002267.SZ,陕天然气,41.07744772981823,51.34680966227279,0,51.69570300385293,52.470090560954645,50.14674803132241,47,25,1,21
97,300907.SZ,康平科技,41.04114682670621,51.301433533382756,0,51.57082417443911,55.51585959934507,48.277889270959015,38,10,0,28
98,920809.BJ,安达科技,41.03994112451833,51.29992640564791,0,51.57082417443911,57.06024584347923,47.24555943301937,38,6,0,32
99,002346.SZ,柘中股份,40.99827027556383,51.247837844454786,0,51.57082417443911,58.79159795532333,46.14681731825923,40,13,0,27
100,600508.SH,上海能源,40.959316947186764,51.19914618398345,0,54.43128190593945,54.77281759422673,45.51434199106845,48,37,2,9
101,300432.SZ,富临精工,40.954317934280134,51.19289741785016,0,51.57082417443911,48.78380957273612,52.21023272435847,39,11,0,28
102,601877.SH,正泰电器,40.942099424297744,51.17762428037218,0,54.17180053186318,57.988768319325985,44.65121406910815,44,33,0,11
103,600577.SH,精达股份,40.93665789856872,51.170822373210896,0,51.57082417443911,50.15974740518159,51.367203669392815,38,24,0,14
104,002074.SZ,国轩高科,40.930074423740855,51.16259302967607,0,53.69916753877788,52.724798456511486,46.86712461421882,49,36,1,12
105,601126.SH,四方股份,40.924560934328014,51.15570116791001,0,51.925122652623024,50.74934917117967,50.63438254819921,41,24,1,16
106,300693.SZ,盛弘股份,40.92038330930819,51.150479136635234,0,51.57082417443911,48.0960364165247,52.511558642185335,40,16,0,24
107,000009.SZ,中国宝安,40.92018276353167,51.15022845441459,0,51.57082417443911,50.79015453164769,50.91645354182724,39,12,0,27
108,300286.SZ,安科瑞,40.91150091390751,51.139376142384386,0,51.57082417443911,55.92641595442193,47.56871085389855,39,13,0,26
109,002518.SZ,科士达,40.90089159842412,51.12611449803014,0,51.57082417443911,47.57839276413653,52.501901729322135,39,23,0,16
110,002882.SZ,金龙羽,40.85268521225309,51.06585651531636,0,51.57082417443911,49.938393637006214,51.24590705609785,39,13,0,26
111,002823.SZ,凯中精密,40.84490158651866,51.05612698314832,0,51.57082417443911,52.89132763930233,49.60359415406821,39,17,0,22
112,002452.SZ,长高电新,40.837881532804396,51.04735191600549,0,51.57082417443911,53.16465933194291,49.414661800854404,39,16,0,23
113,300283.SZ,温州宏丰,40.82253039110702,51.02816298888377,0,51.57082417443911,52.22681495089781,49.682286369940606,39,12,0,27
114,601139.SH,深圳燃气,40.81397404398339,51.017467554979234,0,51.57082417443911,52.53672061700388,49.79618980031095,40,23,0,17
115,603393.SH,新天然气,40.81395237026963,51.01744046283704,0,51.57082417443911,47.18654139375171,52.23142914020234,38,17,0,21
116,002498.SZ,汉缆股份,40.80000834500993,51.0000104312624,0,51.57082417443911,51.90637019681228,49.865172358745184,38,13,0,25
117,920770.BJ,艾能聚,40.790817760412494,50.98852220051562,0,51.57082417443911,52.26043744598775,49.52328646268388,37,6,0,31
118,002364.SZ,中恒电气,40.77455007903381,50.968187598792255,0,51.57082417443911,53.50487362750892,48.52978127063882,39,13,0,26
119,301291.SZ,明阳电气,40.773563632496376,50.96695454062047,0,51.57082417443911,47.96049387490522,52.24944644429176,39,17,0,22
120,600483.SH,福能股份,40.75882067828379,50.94852584785473,0,48.99835009645503,63.22856614342735,46.41839124723952,45,31,5,9
121,002487.SZ,大金重工,40.75755158167983,50.94693947709978,0,45.623666706133946,60.64594975118598,51.67650493622205,45,24,2,19
122,920167.BJ,同享科技,40.74111944860467,50.92639931075583,0,51.57082417443911,52.47846367408844,49.08148154343436,37,6,0,31
123,00645.HK,ARES ASIA,40.7190739962773,50.89884249534663,0,51.57082417443911,47.04144807043,52.12842867985956,37,3,0,34
124,301155.SZ,海力风电,40.71701431227868,50.89626789034835,0,51.57082417443911,48.01204449157763,51.97701306187271,40,13,0,27
125,300850.SZ,新强联,40.71599021842819,50.89498777303523,0,51.57082417443911,49.91564840808426,50.78699394998508,39,13,0,26
126,301150.SZ,中一科技,40.71246885856515,50.890586073206435,0,51.57082417443911,54.889151259461585,47.91726928966914,38,20,0,18
127,920046.BJ,亿能电力,40.70068315012418,50.875853937655215,0,51.57082417443911,54.09973954370027,48.2102906103654,37,6,0,31
