stock_code,company_name,exchange,current_sub_industry,snapshot_industry,entity_id,industry_status,entity_status,priority,next_action,snapshot_source_url,snapshot_as_of_date
00975.HK,MONGOL MINING,HKEX,历史能源样本待复核,待分类,00975.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01080.HK,SHENGLI PIPE,HKEX,历史能源样本待复核,待分类,01080.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01083.HK,TG SMART ENERGY,HKEX,历史能源样本待复核,待分类,01083.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01101.HK,HUARONG ENERGY,HKEX,历史能源样本待复核,待分类,01101.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01193.HK,CHINA RES GAS,HKEX,历史能源样本待复核,待分类,01193.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01205.HK,CITIC RESOURCES,HKEX,历史能源样本待复核,待分类,01205.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01229.HK,NAN NAN RES,HKEX,历史能源样本待复核,待分类,01229.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01250.HK,SDHS NEW ENERGY,HKEX,历史能源样本待复核,待分类,01250.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01251.HK,SPT ENERGY,HKEX,历史能源样本待复核,待分类,01251.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01277.HK,KINETIC DEV,HKEX,历史能源样本待复核,待分类,01277.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01303.HK,HUILI RES,HKEX,历史能源样本待复核,待分类,01303.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01393.HK,HIDILI INDUSTRY,HKEX,历史能源样本待复核,待分类,01393.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01407.HK,JY GAS,HKEX,历史能源样本待复核,待分类,01407.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01555.HK,MIE HOLDINGS,HKEX,历史能源样本待复核,待分类,01555.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01600.HK,TIAN LUN GAS,HKEX,历史能源样本待复核,待分类,01600.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01608.HK,VPOWER GROUP,HKEX,历史能源样本待复核,待分类,01608.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
01621.HK,VICO INTL HLDGS,HKEX,历史能源样本待复核,待分类,01621.HK,pending_evidence,security_id_only,1,collect_hkex_industry_and_chinese_name_evidence,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,2026-07-29
