company_code,company_name,report_year,document_type,source_url,error
002801.SZ,微光股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-27/ccec3904-1fe4-426f-92b6-5acffeac704a.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-27/ccec3904-1fe4-426f-92b6-5acffeac704a.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-27/ccec3904-1fe4-426f-92b6-5acffeac704a.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002927.SZ,泰永长征,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/876856cf-8cc3-4a9c-b1e0-27e3dbbe87e7.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/876856cf-8cc3-4a9c-b1e0-27e3dbbe87e7.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/876856cf-8cc3-4a9c-b1e0-27e3dbbe87e7.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
003035.SZ,南网能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/632d2aa2-a282-4ff6-87db-1db69e3674ba.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/632d2aa2-a282-4ff6-87db-1db69e3674ba.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/632d2aa2-a282-4ff6-87db-1db69e3674ba.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
300001.SZ,特锐德,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-09/5a19c57d-33f5-4dfc-8fc0-7c04f2635dae.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-09/5a19c57d-33f5-4dfc-8fc0-7c04f2635dae.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-09/5a19c57d-33f5-4dfc-8fc0-7c04f2635dae.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
002986.SZ,宇新股份,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/df9b9f4d-41b4-4ef7-9456-3675cef2c336.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/df9b9f4d-41b4-4ef7-9456-3675cef2c336.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/df9b9f4d-41b4-4ef7-9456-3675cef2c336.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
300062.SZ,中能电气,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/82ddc0a6-e1b2-4fd5-abaf-50aff3daf614.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/82ddc0a6-e1b2-4fd5-abaf-50aff3daf614.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/82ddc0a6-e1b2-4fd5-abaf-50aff3daf614.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
300073.SZ,当升科技,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/511c901f-b5a5-4792-844c-629589263369.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/511c901f-b5a5-4792-844c-629589263369.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/511c901f-b5a5-4792-844c-629589263369.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
300129.SZ,泰胜风能,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/f96f9e74-c3a6-4674-bcfa-0bd949964605.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/f96f9e74-c3a6-4674-bcfa-0bd949964605.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-18/f96f9e74-c3a6-4674-bcfa-0bd949964605.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
300207.SZ,欣旺达,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/97836cb1-a7ed-4a3c-8686-8f92d7c6019e.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/97836cb1-a7ed-4a3c-8686-8f92d7c6019e.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/97836cb1-a7ed-4a3c-8686-8f92d7c6019e.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
300274.SZ,阳光电源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/c5e18435-285a-4033-b754-c92e9a566f34.PDF,"公开PDF下载失败；https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/c5e18435-285a-4033-b754-c92e9a566f34.PDF: 公开文档不是有效PDF: https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/c5e18435-285a-4033-b754-c92e9a566f34.PDF; response='<!DOCTYPE html><html><head><meta charset=""UTF-8""><title>Page Verification</title'"
