client_rank_approx,company_code,company_name,our_rank,our_score,disclosure_rate,category
202,01623.HK,HILONG,488,10.88,56.25,stable_like
203,300751.SZ,迈为股份,292,22.27,72.5,stable_like
204,600483.SH,福能股份,41,37.95,80.0,our_top50_but_client_lower
205,603218.SH,日月股份,516,8.96,60.0,stable_like
206,600795.SH,国电电力,78,33.09,77.5,stable_like
207,601918.SH,新集能源,186,26.88,76.25,stable_like
208,601868.SH,中国能建,505,9.87,60.0,stable_like
209,03996.HK,,,,,missing_from_our_universe
210,01303.HK,HUILI RES,338,18.89,62.5,stable_like
211,600642.SH,申能股份,160,28.14,75.0,stable_like
212,002608.SZ,江苏国信,464,12.8,62.5,stable_like
213,600098.SH,广州发展,18,42.77,81.25,our_top50_but_client_lower
214,601001.SH,晋控煤业,15,43.73,81.25,our_top50_but_client_lower
215,002479.SZ,富春环保,29,39.86,90.0,our_top50_but_client_lower
216,300569.SZ,天能重工,437,14.71,65.0,stable_like
217,002459.SZ,晶澳科技,278,23.02,66.25,stable_like
218,688032.SH,禾迈股份,58,35.49,77.5,stable_like
219,600027.SH,华电国际,541,7.03,57.5,stable_like
220,01071.HK,,,,,missing_from_our_universe
221,000862.SZ,银星能源,261,23.62,70.0,stable_like
222,000543.SZ,皖能电力,343,18.67,63.75,stable_like
223,600011.SH,华能国际,476,11.91,60.0,stable_like
224,00902.HK,,,,,missing_from_our_universe
225,688779.SH,五矿新能,177,27.52,76.25,stable_like
226,00975.HK,MONGOL MINING,365,17.76,65.0,stable_like
227,920985.BJ,海泰新能,556,2.08,55.0,stable_like
