stock_code,company_name,exchange,report_year,annual_status,esg_status,next_action,priority
00650.HK,PRODUCTIVE TECH,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00689.HK,EPI (HOLDINGS),HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00704.HK,HUSCOKE HLDGS,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00866.HK,CHINA QINFA,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00931.HK,CHINA HK POWER,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
00975.HK,MONGOL MINING,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01080.HK,SHENGLI PIPE,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01229.HK,NAN NAN RES,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01251.HK,SPT ENERGY,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01277.HK,KINETIC DEV,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01393.HK,HIDILI INDUSTRY,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01555.HK,MIE HOLDINGS,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01621.HK,VICO INTL HLDGS,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01798.HK,DATANG RENEW,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01878.HK,SOUTHGOBI,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01921.HK,DALIPAL HLDG,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
01938.HK,CHU KONG PIPE,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
02178.HK,PETRO-KING,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
02798.HK,PER ENERGY,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
03395.HK,JX ENERGY,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
06885.HK,JINMA ENERGY,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
08132.HK,CENTURY EN INTL,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
08347.HK,F8 ENT,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
08536.HK,TL NATURAL GAS,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
08631.HK,SUN KONG HLDGS,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
09689.HK,JTF INTL,HKEX,2025,collected,missing,discover_esg_or_scan_annual,2
600011.SH,华能国际,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600021.SH,上海电力,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600025.SH,华能水电,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600027.SH,华电国际,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600110.SH,诺德股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600116.SH,三峡水利,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600149.SH,廊坊发展,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600151.SH,航天机电,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600152.SH,维科技术,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600157.SH,永泰能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600188.SH,兖矿能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600192.SH,长城电工,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600212.SH,绿能慧充,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600241.SH,时代万恒,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600268.SH,国电南自,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600310.SH,广西能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600312.SH,平高电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600333.SH,长春燃气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600339.SH,中油工程,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600379.SH,宝光股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600396.SH,华电辽能,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600397.SH,江钨装备,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600405.SH,动力源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600406.SH,国电南瑞,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600416.SH,湘电股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600452.SH,涪陵电力,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600458.SH,时代新材,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600468.SH,百利电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600475.SH,华光环能,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600478.SH,科力远,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600505.SH,西昌电力,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600509.SH,天富能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600550.SH,保变电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600577.SH,精达股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600580.SH,卧龙电驱,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600617.SH,国新能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600642.SH,申能股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600644.SH,乐山电力,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600681.SH,百川能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600719.SH,大连热电,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600726.SH,华电能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600758.SH,辽宁能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600863.SH,华能蒙电,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600868.SH,梅雁吉祥,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600869.SH,远东股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600875.SH,东方电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600884.SH,杉杉股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600886.SH,国投电力,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600925.SH,苏能股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600938.SH,中国海油,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600973.SH,宝胜股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600979.SH,广安爱众,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
600982.SH,宁波能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601016.SH,节能风电,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601179.SH,中国西电,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601218.SH,吉鑫科技,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601222.SH,林洋能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601311.SH,骆驼股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601611.SH,中国核建,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601616.SH,广电电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601669.SH,中国电建,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601700.SH,风范股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601808.SH,中海油服,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601865.SH,福莱特,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601868.SH,中国能建,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601898.SH,中煤能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
601908.SH,京运通,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603016.SH,新宏泰,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603026.SH,石大胜华,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603050.SH,科林电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603070.SH,万控智造,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603080.SH,新疆火炬,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603097.SH,江苏华辰,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603105.SH,芯能科技,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603185.SH,弘元绿能,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603191.SH,望变电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603212.SH,赛伍技术,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603218.SH,日月股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603312.SH,西典新能,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603318.SH,水发燃气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603333.SH,福华尚纬,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603344.SH,星德胜,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603353.SH,和顺石油,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603393.SH,新天然气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603489.SH,八方股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603530.SH,神马电力,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603556.SH,海兴电力,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603577.SH,汇金通,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603606.SH,东方电缆,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603619.SH,中曼石油,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603628.SH,清源股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603659.SH,璞泰来,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603727.SH,博迈科,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603728.SH,鸣志电器,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603798.SH,康普顿,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603806.SH,福斯特,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603819.SH,神力股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603829.SH,洛凯股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603897.SH,长城科技,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603906.SH,龙蟠科技,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
603988.SH,中电电机,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
605066.SH,天正电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
605090.SH,九丰能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
605169.SH,洪通燃气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
605222.SH,起帆电缆,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
605368.SH,蓝天燃气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
605378.SH,野马电池,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688147.SH,微导纳米,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688148.SH,芳源股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688155.SH,先惠技术,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688191.SH,智洋创新,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688223.SH,晶科能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688226.SH,威腾电气,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688275.SH,万润新能,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688330.SH,宏力达,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688345.SH,博力威,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688348.SH,昱能科技,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688349.SH,三一重能,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688353.SH,华盛锂电,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688392.SH,骄成超声,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688408.SH,中信博,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688429.SH,时创能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688499.SH,利元亨,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688503.SH,聚和材料,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688516.SH,奥特维,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688556.SH,高测股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688560.SH,明冠新材,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688567.SH,孚能科技,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688573.SH,信宇人,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688597.SH,煜邦电力,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688598.SH,金博股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688611.SH,杭州柯林,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688616.SH,西力科技,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688638.SH,誉辰智能,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688663.SH,DR新风光,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688680.SH,海优新材,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688681.SH,科汇股份,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688707.SH,振华新材,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688717.SH,艾罗能源,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688719.SH,爱科赛博,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688733.SH,壹石通,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688772.SH,珠海冠宇,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
688779.SH,五矿新能,SSE,2025,collected,missing,discover_esg_or_scan_annual,2
000037.SZ,深南电A,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000049.SZ,德赛电池,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000096.SZ,广聚能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000155.SZ,川能动力,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000407.SZ,胜利股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000421.SZ,南京公用,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000537.SZ,绿发电力,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000539.SZ,粤电力Ａ,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000591.SZ,太阳能,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000593.SZ,德龙汇能,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000601.SZ,韶能股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000637.SZ,茂化实华,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000682.SZ,东方电子,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000692.SZ,惠天热电,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000703.SZ,恒逸石化,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000720.SZ,新能泰山,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000722.SZ,湖南发展,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000862.SZ,银星能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000875.SZ,电投绿能,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000883.SZ,湖北能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000899.SZ,赣能股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000922.SZ,佳电股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000937.SZ,冀中能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000966.SZ,长源电力,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000968.SZ,蓝焰控股,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
000993.SZ,闽东电力,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
001208.SZ,华菱线缆,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
001258.SZ,立新能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
001269.SZ,欧晶科技,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
001283.SZ,豪鹏科技,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
001289.SZ,龙源电力,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
001299.SZ,美能能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
001301.SZ,尚太科技,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
001331.SZ,胜通能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
001376.SZ,百通能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
001896.SZ,豫能控股,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002015.SZ,协鑫能科,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002028.SZ,思源电气,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002039.SZ,黔源电力,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002056.SZ,横店东磁,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002060.SZ,广东建工,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002074.SZ,国轩高科,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002090.SZ,金智科技,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002112.SZ,三变科技,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002121.SZ,科陆电子,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002125.SZ,湘潭电化,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002128.SZ,电投能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002129.SZ,TCL中环,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002169.SZ,智光电气,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002196.SZ,方正电机,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002202.SZ,金风科技,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002218.SZ,拓日新能,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002221.SZ,东华能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002245.SZ,蔚蓝锂芯,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002249.SZ,大洋电机,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002255.SZ,海陆重工,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002259.SZ,升达林业,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002267.SZ,陕天然气,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002270.SZ,华明装备,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002276.SZ,万马股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002300.SZ,太阳电缆,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002309.SZ,中利集团,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002335.SZ,科华数据,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002339.SZ,积成电子,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002340.SZ,格林美,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002346.SZ,柘中股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002350.SZ,北京科锐,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002358.SZ,森源电气,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002364.SZ,中恒电气,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002366.SZ,融发核电,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002441.SZ,众业达,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002451.SZ,摩恩电气,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002452.SZ,长高电气,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002459.SZ,晶澳科技,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002471.SZ,中超控股,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002479.SZ,富春环保,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002487.SZ,大金重工,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002490.SZ,山东墨龙,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002493.SZ,荣盛石化,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002498.SZ,汉缆股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002506.SZ,协鑫集成,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002518.SZ,科士达,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002527.SZ,新时达,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002531.SZ,天顺风能,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002533.SZ,金杯电工,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002534.SZ,西子洁能,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002546.SZ,新联电子,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002560.SZ,通达股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002576.SZ,通达动力,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002580.SZ,圣阳股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002606.SZ,大连电瓷,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002608.SZ,江苏国信,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002616.SZ,长青集团,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002623.SZ,亚玛顿,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002629.SZ,仁智股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002692.SZ,远程股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002700.SZ,万憬能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002706.SZ,良信股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002709.SZ,天赐材料,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002733.SZ,雄韬股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002801.SZ,微光股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002805.SZ,丰元股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002812.SZ,恩捷股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002823.SZ,凯中精密,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002828.SZ,贝肯能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002850.SZ,科达利,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002851.SZ,麦格米特,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002857.SZ,三晖电气,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002865.SZ,钧达股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002879.SZ,长缆科技,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002882.SZ,金龙羽,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002892.SZ,科力尔,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002893.SZ,京能热力,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002911.SZ,佛燃能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002927.SZ,泰永长征,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002953.SZ,日丰股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002980.SZ,华盛昌,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
002986.SZ,宇新股份,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
003021.SZ,兆威机电,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
003022.SZ,联泓新科,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
003035.SZ,南网能源,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
003816.SZ,中国广核,SZSE,2025,collected,missing,discover_esg_or_scan_annual,2
