company_code,company_name,official_domain,candidate_url,evidence_file,evidence_count,verification_status,next_action
000937.SZ,冀中能源,rs.p5w.net,https://rs.p5w.net,data/text/000937.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
000968.SZ,蓝焰控股,sxlykg.huaxingas.com,http://sxlykg.huaxingas.com/,data/text/000968.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
001208.SZ,华菱线缆,ir.p5w.net,https://ir.p5w.net,data/text/001208.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
001269.SZ,欧晶科技,ir.p5,https://ir.p5,data/text/001269.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
001283.SZ,豪鹏科技,highpowertech.com,https://www.highpowertech.com,data/text/001283.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
001283.SZ,豪鹏科技,ir.p5w.net,https://ir.p5w.net,data/text/001283.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
001289.SZ,龙源电力,clypg.com.cn,http://www.clypg.com.cn/,data/text/001289.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
001289.SZ,龙源电力,irm.c,http://irm.c,data/text/001289.SZ/2025/annual_report.txt,4,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
00135.HK,KUNLUN ENERGY,kunlun.com.hk,http://www.kunlun.com.hk,data/text/hkex_reports/00135.HK/2025/annual_report.txt,7,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
001376.SZ,百通能源,jjckb.cn,http://www.jjckb.cn,data/text/001376.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
00182.HK,CONCORD NE,concordnewenergy.com,https://concordnewenergy.com/,data/text/hkex_reports/00182.HK/2025/esg_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
00182.HK,CONCORD NE,hkexnews.hk,https://www.hkexnews.hk/index.htm,data/text/hkex_reports/00182.HK/2025/esg_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
00182.HK,CONCORD NE,sgx.com,https://www.sgx.com/securities/,data/text/hkex_reports/00182.HK/2025/esg_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
001896.SZ,豫能控股,cninfo.com.c,http://www.cninfo.com.c,data/text/001896.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
001896.SZ,豫能控股,yuneng.com.cn,http://www.yuneng.com.cn,data/text/001896.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
00196.HK,HONGHUA GROUP,hh-gltd.com,http://www.hh-gltd.com,data/text/hkex_reports/00196.HK/2025/annual_report.txt,4,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002015.SZ,协鑫能科,gcl-et.com,http://www.gcl-et.com,data/text/002015.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002015.SZ,协鑫能科,ir.p5w,https://ir.p5w,data/text/002015.SZ/2025/annual_report.txt,3,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002015.SZ,协鑫能科,rs.p5w,http://rs.p5w.,data/text/002015.SZ/2025/annual_report.txt,3,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002015.SZ,协鑫能科,ywxt.sthjt.jiangsu.gov.c,http://ywxt.sthjt.jiangsu.gov.c,data/text/002015.SZ/2025/annual_report.txt,11,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002028.SZ,思源电气,rs.stcn.com,http://rs.stcn.com,data/text/002028.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002039.SZ,黔源电力,gzqydl.cn,http://www.gzqydl.cn/,data/text/002039.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
00206.HK,CM-ENERGY,cm-energy.com,http://www.cm-energy.com,data/text/hkex_reports/00206.HK/2025/annual_report.txt,5,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
00206.HK,CM-ENERGY,hkexnews.hk,http://www.hkexnews.hk,data/text/hkex_reports/00206.HK/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002090.SZ,金智科技,cninfo.co,http://www.cninfo.co,data/text/002090.SZ/2025/annual_report.txt,2,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002090.SZ,金智科技,wiscom.com.cn,http://www.wiscom.com.cn,data/text/002090.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002121.SZ,科陆电子,irm.c,http://irm.c,data/text/002121.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002121.SZ,科陆电子,rs.p5,https://rs.p5,data/text/002121.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002121.SZ,科陆电子,szclou.com,http://www.szclou.com,data/text/002121.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002125.SZ,湘潭电化,chinaemd.com,http://www.chinaemd.com,data/text/002125.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002125.SZ,湘潭电化,ir.p5w.net,https://ir.p5w.net,data/text/002125.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002128.SZ,电投能源,111.56.142,http://111.56.142,data/text/002128.SZ/2025/annual_report.txt,4,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002129.SZ,TCL中环,cninfo.com.c,http://www.cninfo.com.c,data/text/002129.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002129.SZ,TCL中环,tzeco.com,https://www.tzeco.com/,data/text/002129.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002169.SZ,智光电气,gzzg.com.cn,http://www.gzzg.com.cn/,data/text/002169.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
002202.SZ,金风科技,goldwind.com,http://www.goldwind.com,data/text/002202.SZ/2025/annual_report.txt,1,candidate_declared_in_issuer_report,核验域名归属并发现同域ESG/年报PDF
