impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
9220,48.619269,233,490,257,False,0.60241,1.0,0.155556,0.0,0.467014,307,0.56,00689.HK,EPI (HOLDINGS),Q_G_COST_REVENUE_RATE,成本费用占营业收入比例,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9221,48.617883,331,526,195,False,0.276243,1.0,0.273333,0.0,0.987847,7,0.984,08132.HK,CENTURY EN INTL,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9222,48.617883,331,440,109,False,0.276243,1.0,0.273333,0.0,0.987847,7,0.984,601611.SH,中国核建,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9223,48.615704,404,491,87,False,0.19685,0.87,0.5,0.0,0.944444,32,1.8,300317.SZ,珈伟新能,Q_E_GHG_REDUCTION_RATE,温室气体减排率,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9224,48.610916,239,553,314,False,0.561798,1.0,0.155556,0.0,0.567708,249,0.56,920522.BJ,纳科诺尔,Q_G_EBITDA_MARGIN,EBITDA利润率,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9225,48.610475,341,550,209,False,0.26178,1.0,0.283333,0.0,0.998264,1,1.02,600688.SH,上海石化,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9226,48.610475,341,456,115,False,0.26178,1.0,0.283333,0.0,0.998264,1,1.02,603212.SH,赛伍技术,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9227,48.609217,326,428,102,False,0.284091,1.0,0.275556,0.0,0.961806,22,0.992,000966.SZ,长源电力,Q_E_PM_INTENSITY,颗粒物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9228,48.609217,326,428,102,False,0.284091,1.0,0.275556,0.0,0.961806,22,0.992,000966.SZ,长源电力,Q_E_WASTEWATER_INTENSITY,废水/污水排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9229,48.590802,9,91,82,False,0.314465,0.82,0.424444,0.0,0.961806,22,1.528,603985.SH,恒润股份,Q_E_HAZ_WASTE_INTENSITY,危险固体废物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9230,48.590278,300,395,95,False,0.333333,0.95,0.275556,0.0,0.961806,22,0.992,301292.SZ,海科新源,Q_E_PM_INTENSITY,颗粒物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9231,48.590278,300,395,95,False,0.333333,0.95,0.275556,0.0,0.961806,22,0.992,301292.SZ,海科新源,Q_E_WASTEWATER_INTENSITY,废水/污水排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9232,48.582741,273,425,152,False,0.406504,1.0,0.166667,0.0,0.925347,43,0.6,301278.SZ,快可电子,Q_S_ENV_INVEST_RATE,环保投入占比,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9233,48.582741,273,465,192,False,0.406504,1.0,0.166667,0.0,0.925347,43,0.6,605028.SH,世茂能源,Q_S_ENV_INVEST_RATE,环保投入占比,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9234,48.579937,332,463,131,False,0.274725,1.0,0.273333,0.0,0.987847,7,0.984,300690.SZ,双一科技,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9235,48.57741,16,165,149,False,0.588235,1.0,0.155556,0.0,0.498264,289,0.56,06828.HK,BG BLUE SKY,Q_G_CASH_REALIZATION,营业收现率,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9236,48.577257,406,493,87,False,0.195312,0.87,0.5,0.0,0.944444,32,1.8,300051.SZ,琏升科技,Q_E_GHG_REDUCTION_RATE,温室气体减排率,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9237,48.576389,342,453,111,False,0.260417,1.0,0.283333,0.0,0.998264,1,1.02,301456.SZ,盘古智能,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9238,48.576389,240,477,237,False,0.555556,1.0,0.233333,0.0,0.385417,354,0.84,00346.HK,YANCHANG PETRO,Q_G_QUICK_RATIO,速动比率,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9239,48.569091,327,544,217,False,0.282486,1.0,0.275556,0.0,0.961806,22,0.992,920237.BJ,力佳科技,Q_E_PM_INTENSITY,颗粒物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9240,48.569091,327,544,217,False,0.282486,1.0,0.275556,0.0,0.961806,22,0.992,920237.BJ,力佳科技,Q_E_WASTEWATER_INTENSITY,废水/污水排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9241,48.567988,305,429,124,False,0.322581,1.0,0.277778,0.0,0.855903,83,1.0,01738.HK,FS ANTHRACITE,Q_S_BENEFIT_PER_EMPLOYEE,员工福利、社保和公积金费用,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9242,48.567988,305,557,252,False,0.322581,1.0,0.277778,0.0,0.855903,83,1.0,920252.BJ,天宏锂电,Q_S_BENEFIT_PER_EMPLOYEE,员工福利、社保和公积金费用,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9243,48.559644,319,510,191,False,0.295858,1.0,0.333333,0.0,0.782986,125,1.2,605378.SH,野马电池,Q_S_PAY_PER_EMPLOYEE,员工薪酬,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9244,48.559028,275,380,105,False,0.4,1.0,0.333333,0.0,0.522569,275,1.2,300191.SZ,潜能恒信,Q_S_DONATION_RATE,社会公益投入占比,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9245,48.559028,161,201,40,True,1.0,0.4,0.333333,0.0,0.522569,275,1.2,600312.SH,平高电气,Q_S_DONATION_RATE,社会公益投入占比,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9246,48.5572,49,155,106,False,0.526316,1.0,0.233333,0.0,0.456597,313,0.84,600028.SH,中国石化,Q_G_OPERATING_MARGIN,营业利润率,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9247,48.552715,9,52,43,False,0.252525,0.43,0.275556,1.0,0.960069,23,0.992,603606.SH,东方电缆,Q_E_WATER_INTENSITY,水资源使用强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
9248,48.551951,121,171,50,False,0.632911,0.5,0.424444,0.0,0.961806,22,1.528,600681.SH,百川能源,Q_E_HAZ_WASTE_INTENSITY,危险固体废物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9249,48.540297,434,485,51,False,0.176056,0.51,0.277778,1.0,0.944444,32,1.0,001269.SZ,欧晶科技,Q_S_SAFETY_INVEST_RATE,安全生产投入占比,S,True,0,,,0,missing_candidate,extend_extraction_rules,0
9250,48.536964,56,123,67,False,0.393701,0.67,0.5,0.0,0.944444,32,1.8,301325.SZ,曼恩斯特,Q_E_GHG_REDUCTION_RATE,温室气体减排率,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9251,48.535354,9,52,43,False,0.252525,0.43,0.275556,1.0,0.958333,24,0.992,603606.SH,东方电缆,Q_E_NOX_INTENSITY,氮氧化物排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
9252,48.529416,328,451,123,False,0.280899,1.0,0.275556,0.0,0.961806,22,0.992,300340.SZ,科恒股份,Q_E_PM_INTENSITY,颗粒物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9253,48.529416,328,451,123,False,0.280899,1.0,0.275556,0.0,0.961806,22,0.992,300340.SZ,科恒股份,Q_E_WASTEWATER_INTENSITY,废水/污水排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9254,48.516293,306,450,144,False,0.320513,1.0,0.277778,0.0,0.855903,83,1.0,600333.SH,长春燃气,Q_S_BENEFIT_PER_EMPLOYEE,员工福利、社保和公积金费用,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9255,48.509271,344,461,117,False,0.257732,1.0,0.283333,0.0,0.998264,1,1.02,301238.SZ,瑞泰新材,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9256,48.505284,334,542,208,False,0.271739,1.0,0.273333,0.0,0.987847,7,0.984,00061.HK,GREEN LEAD-NEW,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9257,48.499635,264,370,106,False,0.438596,1.0,0.166667,0.0,0.836806,94,0.6,000723.SZ,美锦能源,Q_S_EDU_PER_EMPLOYEE,工会和职工教育经费,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9258,48.499635,264,414,150,False,0.438596,1.0,0.166667,0.0,0.836806,94,0.6,001896.SZ,豫能控股,Q_S_EDU_PER_EMPLOYEE,工会和职工教育经费,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9259,48.496528,294,385,91,False,0.347222,0.91,0.283333,0.0,0.998264,1,1.02,002202.SZ,金风科技,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9260,48.489583,275,380,105,False,0.4,1.0,0.311111,0.0,0.571181,247,1.12,300191.SZ,潜能恒信,Q_G_CASH_CURRENT_LIABILITY,现金流动负债比率,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9261,48.476687,57,138,81,False,0.446429,0.81,0.283333,0.0,0.998264,1,1.02,601012.SH,隆基绿能,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9262,48.476229,345,489,144,False,0.25641,1.0,0.283333,0.0,0.998264,1,1.02,300443.SZ,金雷股份,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9263,48.473136,321,509,188,False,0.292398,1.0,0.333333,0.0,0.782986,125,1.2,002245.SZ,蔚蓝锂芯,Q_S_PAY_PER_EMPLOYEE,员工薪酬,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9264,48.468562,335,497,162,False,0.27027,1.0,0.273333,0.0,0.987847,7,0.984,603806.SH,福斯特,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9265,48.454861,240,477,237,False,0.555556,1.0,0.155556,0.0,0.567708,249,0.56,00346.HK,YANCHANG PETRO,Q_G_EBITDA_MARGIN,EBITDA利润率,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9266,48.454611,20,111,91,False,0.359712,0.91,0.273333,0.0,0.987847,7,0.984,00135.HK,KUNLUN ENERGY,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9267,48.45202,9,52,43,False,0.252525,0.43,0.277778,1.0,0.944444,32,1.0,603606.SH,东方电缆,Q_S_SAFETY_INVEST_RATE,安全生产投入占比,S,True,0,,,0,missing_candidate,extend_extraction_rules,0
9268,48.451389,330,496,166,False,0.277778,1.0,0.275556,0.0,0.961806,22,0.992,002196.SZ,方正电机,Q_E_PM_INTENSITY,颗粒物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9269,48.451389,330,496,166,False,0.277778,1.0,0.275556,0.0,0.961806,22,0.992,002196.SZ,方正电机,Q_E_WASTEWATER_INTENSITY,废水/污水排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9270,48.445216,6,88,82,False,0.308642,0.82,0.424444,0.0,0.961806,22,1.528,600482.SH,中国动力,Q_E_HAZ_WASTE_INTENSITY,危险固体废物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9271,48.443523,346,461,115,False,0.255102,1.0,0.283333,0.0,0.998264,1,1.02,002451.SZ,摩恩电气,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9272,48.432236,336,467,131,False,0.268817,1.0,0.273333,0.0,0.987847,7,0.984,300265.SZ,通光线缆,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9273,48.423764,241,423,182,False,0.549451,1.0,0.233333,0.0,0.385417,354,0.84,001376.SZ,百通能源,Q_G_QUICK_RATIO,速动比率,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9274,48.420139,275,380,105,False,0.4,1.0,0.166667,0.0,0.925347,43,0.6,300191.SZ,潜能恒信,Q_S_ENV_INVEST_RATE,环保投入占比,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9275,48.420139,161,201,40,True,1.0,0.4,0.166667,0.0,0.925347,43,0.6,600312.SH,平高电气,Q_S_ENV_INVEST_RATE,环保投入占比,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9276,48.414865,308,466,158,False,0.316456,1.0,0.277778,0.0,0.855903,83,1.0,300457.SZ,赢合科技,Q_S_BENEFIT_PER_EMPLOYEE,员工福利、社保和公积金费用,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9277,48.413022,331,526,195,False,0.276243,1.0,0.275556,0.0,0.961806,22,0.992,08132.HK,CENTURY EN INTL,Q_E_PM_INTENSITY,颗粒物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9278,48.413022,331,526,195,False,0.276243,1.0,0.275556,0.0,0.961806,22,0.992,08132.HK,CENTURY EN INTL,Q_E_WASTEWATER_INTENSITY,废水/污水排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9279,48.413022,331,440,109,False,0.276243,1.0,0.275556,0.0,0.961806,22,0.992,601611.SH,中国核建,Q_E_PM_INTENSITY,颗粒物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9280,48.413022,331,440,109,False,0.276243,1.0,0.275556,0.0,0.961806,22,0.992,601611.SH,中国核建,Q_E_WASTEWATER_INTENSITY,废水/污水排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9281,48.41115,347,447,100,False,0.253807,1.0,0.283333,0.0,0.998264,1,1.02,002015.SZ,协鑫能科,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9282,48.41115,347,559,212,False,0.253807,1.0,0.283333,0.0,0.998264,1,1.02,920809.BJ,安达科技,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9283,48.407738,33,110,77,False,0.357143,0.77,0.424444,0.0,0.961806,22,1.528,601778.SH,晶科科技,Q_E_HAZ_WASTE_INTENSITY,危险固体废物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9284,48.406411,236,394,158,False,0.581395,1.0,0.155556,0.0,0.498264,289,0.56,002892.SZ,科力尔,Q_G_CASH_REALIZATION,营业收现率,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9285,48.404287,265,464,199,False,0.434783,1.0,0.166667,0.0,0.836806,94,0.6,600011.SH,华能国际,Q_S_EDU_PER_EMPLOYEE,工会和职工教育经费,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9286,48.401547,277,459,182,False,0.393701,1.0,0.333333,0.0,0.522569,275,1.2,000862.SZ,银星能源,Q_S_DONATION_RATE,社会公益投入占比,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9287,48.396573,333,431,98,False,0.273224,0.98,0.283333,0.0,0.998264,1,1.02,002221.SZ,东华能源,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9288,48.391813,226,266,40,False,0.657895,0.4,0.5,0.0,0.944444,32,1.8,600982.SH,宁波能源,Q_E_GHG_REDUCTION_RATE,温室气体减排率,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9289,48.388757,229,291,62,False,0.632911,0.62,0.283333,0.0,0.998264,1,1.02,688556.SH,高测股份,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9290,48.388628,323,469,146,False,0.289017,1.0,0.333333,0.0,0.782986,125,1.2,688573.SH,信宇人,Q_S_PAY_PER_EMPLOYEE,员工薪酬,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9291,48.383574,54,152,98,False,0.510204,0.98,0.233333,0.0,0.529514,271,0.84,601991.SH,大唐发电,Q_G_ROA,总资产报酬率,G,False,0,,,0,missing_candidate,extend_extraction_rules,2
9292,48.375076,332,463,131,False,0.274725,1.0,0.275556,0.0,0.961806,22,0.992,300690.SZ,双一科技,Q_E_PM_INTENSITY,颗粒物排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9293,48.375076,332,463,131,False,0.274725,1.0,0.275556,0.0,0.961806,22,0.992,300690.SZ,双一科技,Q_E_WASTEWATER_INTENSITY,废水/污水排放强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9294,48.373943,288,377,89,False,0.362319,0.89,0.283333,0.0,0.998264,1,1.02,002927.SZ,泰永长征,Q_E_CLEAN_ENERGY_INTENSITY,绿色/可再生/清洁能源生产/使用强度,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
9295,48.369414,122,181,59,False,0.724638,0.59,0.277778,0.0,0.855903,83,1.0,301358.SZ,湖南裕能,Q_S_BENEFIT_PER_EMPLOYEE,员工福利、社保和公积金费用,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9296,48.369414,219,278,59,False,0.724638,0.59,0.277778,0.0,0.855903,83,1.0,600416.SH,湘电股份,Q_S_BENEFIT_PER_EMPLOYEE,员工福利、社保和公积金费用,S,False,0,,,0,missing_candidate,extend_extraction_rules,2
9297,48.360742,338,457,119,False,0.265957,1.0,0.273333,0.0,0.987847,7,0.984,603489.SH,八方股份,Q_E_ALTERNATIVE_WATER_RATE,再生水或其他替代水源占比,E,False,0,,,0,missing_candidate,extend_extraction_rules,2
