company_code,company_name,report_year,indicator_code,value,source,confidence
000027.SZ,深圳能源,2025,Q_G_OPERATING_PROFIT_GROWTH,2.21972705529,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_CASH_REALIZATION,102.914338526,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_CASH_CURRENT_LIABILITY,31.0277306984,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_EBITDA_INTEREST,2.67857743498,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_ROA,4.01324865489,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_BENEFIT_PER_EMPLOYEE,4.83279007354,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_ENV_INVEST_RATE,20.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_INDEPENDENT_DIRECTOR_RATE,104.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_LABOR_CONTRACT_RATE,100.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_SOCIAL_INSURANCE_RATE,104.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_WATER_INTENSITY,12840.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_GHG_EMISSION,104.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_G_BOARD_MEETING_FREQ,104.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_ENERGY_INTENSITY,2510.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_CLEAN_ENERGY_INTENSITY,106.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_ENERGY_CONSUMPTION,106.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_SO2_EMISSION,2172.61,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_NOX_EMISSION,9856.7,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_EMPLOYEE_TRAINING_HOUR,104.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_FEMALE_MANAGER_RATE,104.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_S_EMPLOYEE_TURNOVER_RATE,104.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_PM_EMISSION,396.05,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_WASTEWATER_DISCHARGE,582400.0,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_GHG_INTENSITY,6893.58978892,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_NOX_INTENSITY,2269.57995606,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_PM_INTENSITY,91.1935172621,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_SO2_INTENSITY,500.259935712,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_WASTEWATER_INTENSITY,134.102018567,extracted,0.9
000027.SZ,深圳能源,2025,Q_E_SOLID_WASTE_INTENSITY,0.004374894149675516,calculated,0.85
000027.SZ,深圳能源,2025,Q_E_GHG_REDUCTION_RATE,13.6783156641,industry_filled,0.6
000027.SZ,深圳能源,2025,Q_E_ALTERNATIVE_WATER_RATE,48.97,industry_filled,0.6
000027.SZ,深圳能源,2025,Q_E_HAZ_WASTE_INTENSITY,0.500762563488,industry_filled,0.6
000027.SZ,深圳能源,2025,Q_S_SAFETY_INVEST_RATE,8.0,industry_filled,0.6
000027.SZ,深圳能源,2025,Q_S_DONATION_RATE,0.0101674609757,industry_filled,0.6
000027.SZ,深圳能源,2025,Q_G_EBITDA_MARGIN,14.3784319991,industry_filled,0.6
000027.SZ,深圳能源,2025,Q_G_COST_REVENUE_RATE,95.1661055048,industry_filled,0.6
00003.HK,HK & CHINA GAS,2025,Q_E_NOX_EMISSION,127.0,extracted,0.9
000037.SZ,深南电A,2025,Q_G_REVENUE_GROWTH,-9.32121598325,extracted,0.9
000037.SZ,深南电A,2025,Q_G_REVENUE,7.0,extracted,0.9
000037.SZ,深南电A,2025,Q_G_ROE,10.28,extracted,0.9
000037.SZ,深南电A,2025,Q_S_PAY_PER_EMPLOYEE,29.4317689115,extracted,0.9
000037.SZ,深南电A,2025,Q_S_RD_RATE,76.0,extracted,0.9
000037.SZ,深南电A,2025,Q_G_BOARD_SIZE,34.0,extracted,0.9
000037.SZ,深南电A,2025,Q_G_DEBT_ASSET_RATE,23.1866706891,extracted,0.9
000037.SZ,深南电A,2025,Q_S_DIVIDEND_PER_SHARE,0.032,extracted,0.9
000037.SZ,深南电A,2025,Q_G_ASSET_TURNOVER,0.185684848428,extracted,0.9
000037.SZ,深南电A,2025,Q_G_AR_TURNOVER,11.6401367928,extracted,0.9
000037.SZ,深南电A,2025,Q_G_CAPITAL_ACCUMULATION,17.8619890342,extracted,0.9
