company_code,company_name,report_year,indicator_code,decision,candidate_count,distinct_values,selected_value,policy_version,reason
000096.SZ,广聚能源,2025,Q_S_EDU_PER_EMPLOYEE,auto_confirmed,1,0.126115,0.126115,public-disclosure-v5,strict_extraction_evidence_consistent
000096.SZ,广聚能源,2025,Q_S_PAY_PER_EMPLOYEE,auto_confirmed,1,16.7182,16.7182,public-disclosure-v5,strict_extraction_evidence_consistent
000096.SZ,广聚能源,2025,Q_S_RD_RATE,auto_confirmed,1,0,0,public-disclosure-v5,strict_extraction_evidence_consistent
000155.SZ,川能动力,2025,Q_G_AR_TURNOVER,auto_confirmed,1,36.3526,36.3526,public-disclosure-v5,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.135528,0.135528,public-disclosure-v5,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,3.92254,3.92254,public-disclosure-v5,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_CASH_REALIZATION,auto_confirmed,1,128.685,128.685,public-disclosure-v5,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_COST_REVENUE_RATE,auto_confirmed,1,76.5976,76.5976,public-disclosure-v5,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,2,52.94|52.94,52.94,public-disclosure-v5,consolidated_statement_year_end_derived
000155.SZ,川能动力,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,3.94042,3.94042,public-disclosure-v5,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_EBITDA_MARGIN,auto_confirmed,1,52.7366,52.7366,public-disclosure-v5,strict_extraction_evidence_consistent
000155.SZ,川能动力,2025,Q_G_OPERATING_MARGIN,auto_confirmed,1,23.0355,23.0355,public-disclosure-v5,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_OPERATING_PROFIT_GROWTH,auto_confirmed,1,4.79163,4.79163,public-disclosure-v5,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,17.8315,17.8315,public-disclosure-v5,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_G_ROE,auto_confirmed,2,4.81,4.81,public-disclosure-v5,official_annual_direct_consistent
000155.SZ,川能动力,2025,Q_S_DONATION_RATE,auto_confirmed,1,0.0001399,0.000139905,public-disclosure-v5,strict_extraction_evidence_consistent
000155.SZ,川能动力,2025,Q_S_RD_RATE,auto_confirmed,1,0.82,0.82,public-disclosure-v5,strict_extraction_evidence_consistent
000400.SZ,许继电气,2025,Q_E_GHG_INTENSITY,auto_confirmed,1,19.6773,19.6773,public-disclosure-v5,official_esg_direct_consistent
000400.SZ,许继电气,2025,Q_E_GHG_REDUCTION_RATE,auto_confirmed,1,-1.72414,-1.72414,public-disclosure-v5,strict_extraction_evidence_consistent
000400.SZ,许继电气,2025,Q_E_NOX_INTENSITY,auto_confirmed,1,0.940507,0.940507,public-disclosure-v5,strict_extraction_evidence_consistent
000400.SZ,许继电气,2025,Q_E_PM_INTENSITY,auto_confirmed,1,0.578979,0.578979,public-disclosure-v5,strict_extraction_evidence_consistent
000400.SZ,许继电气,2025,Q_E_WASTEWATER_INTENSITY,auto_confirmed,1,12.354,12.354,public-disclosure-v5,strict_extraction_evidence_consistent
000400.SZ,许继电气,2025,Q_G_AR_TURNOVER,auto_confirmed,1,2.64812,2.64812,public-disclosure-v5,official_annual_direct_consistent
000400.SZ,许继电气,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.582029,0.582029,public-disclosure-v5,official_annual_direct_consistent
000400.SZ,许继电气,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,8.06282,8.06282,public-disclosure-v5,official_annual_direct_consistent
000400.SZ,许继电气,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,49.0307,49.0307,public-disclosure-v5,consolidated_statement_year_end_derived
000400.SZ,许继电气,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,-12.2723,-12.2723,public-disclosure-v5,official_annual_direct_consistent
000400.SZ,许继电气,2025,Q_G_ROE,auto_confirmed,2,9.94,9.94,public-disclosure-v5,official_annual_direct_consistent
000400.SZ,许继电气,2025,Q_S_BENEFIT_PER_EMPLOYEE,auto_confirmed,1,4.25559,4.25559,public-disclosure-v5,strict_extraction_evidence_consistent
000400.SZ,许继电气,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.221,0.221,public-disclosure-v5,official_annual_direct_consistent
000400.SZ,许继电气,2025,Q_S_EDU_PER_EMPLOYEE,auto_confirmed,1,0.699942,0.699942,public-disclosure-v5,strict_extraction_evidence_consistent
000400.SZ,许继电气,2025,Q_S_ENV_INVEST_RATE,manual_required,1,0.03,,public-disclosure-v5,conflicting_or_ineligible_sources
000400.SZ,许继电气,2025,Q_S_PAY_PER_EMPLOYEE,auto_confirmed,1,19.511,19.511,public-disclosure-v5,strict_extraction_evidence_consistent
000400.SZ,许继电气,2025,Q_S_RD_RATE,auto_confirmed,2,5.71,5.71,public-disclosure-v5,strict_extraction_evidence_consistent
000407.SZ,胜利股份,2025,Q_G_ROE,auto_confirmed,1,5.14,5.14,public-disclosure-v5,official_annual_direct_consistent
000407.SZ,胜利股份,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,1,0.06,0.06,public-disclosure-v5,official_annual_direct_consistent
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,-281.322,-281.322,public-disclosure-v5,official_annual_direct_consistent
00042.HK,NE ELECTRIC,2025,Q_G_EBITDA_MARGIN,auto_confirmed,1,-43.9642,-43.9642,public-disclosure-v5,strict_extraction_evidence_consistent
00042.HK,NE ELECTRIC,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,4.94052,4.94052,public-disclosure-v5,official_annual_direct_consistent
000421.SZ,南京公用,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.569936,0.569936,public-disclosure-v5,official_annual_direct_consistent
000421.SZ,南京公用,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,-0.962124,-0.962124,public-disclosure-v5,official_annual_direct_consistent
000421.SZ,南京公用,2025,Q_G_DEBT_ASSET_RATE,auto_confirmed,1,61.9661,61.9661,public-disclosure-v5,consolidated_statement_year_end_derived
000421.SZ,南京公用,2025,Q_G_REVENUE_GROWTH,auto_confirmed,1,6.26951,6.26951,public-disclosure-v5,official_annual_direct_consistent
000421.SZ,南京公用,2025,Q_G_ROE,auto_confirmed,1,1.76,1.76,public-disclosure-v5,official_annual_direct_consistent
000421.SZ,南京公用,2025,Q_S_DIVIDEND_PER_SHARE,auto_confirmed,2,0.06,0.06,public-disclosure-v5,official_annual_direct_consistent
000421.SZ,南京公用,2025,Q_S_RD_RATE,auto_confirmed,1,0.28,0.28,public-disclosure-v5,strict_extraction_evidence_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_ENERGY_INTENSITY,auto_confirmed,2,5920,5920,public-disclosure-v5,official_esg_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_GHG_INTENSITY,auto_confirmed,2,18790,18790,public-disclosure-v5,official_esg_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_NOX_INTENSITY,auto_confirmed,1,2075.52,2075.52,public-disclosure-v5,strict_extraction_evidence_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_PM_INTENSITY,auto_confirmed,1,175.686,175.686,public-disclosure-v5,strict_extraction_evidence_consistent
000531.SZ,穗恒运Ａ,2025,Q_E_SO2_INTENSITY,auto_confirmed,1,852.74,852.74,public-disclosure-v5,strict_extraction_evidence_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_AR_TURNOVER,auto_confirmed,1,22.0269,22.0269,public-disclosure-v5,official_annual_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_ASSET_TURNOVER,auto_confirmed,1,0.312607,0.312607,public-disclosure-v5,official_annual_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_CAPITAL_ACCUMULATION,auto_confirmed,1,3.80473,3.80473,public-disclosure-v5,official_annual_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_CASH_REALIZATION,auto_confirmed,1,118.885,118.885,public-disclosure-v5,official_annual_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_COST_REVENUE_RATE,auto_confirmed,1,98.5502,98.5502,public-disclosure-v5,official_annual_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_CURRENT_ASSET_TURNOVER,auto_confirmed,1,3.00289,3.00289,public-disclosure-v5,official_annual_direct_consistent
000531.SZ,穗恒运Ａ,2025,Q_G_EBITDA_INTEREST,auto_confirmed,1,2.21133,2.21133,public-disclosure-v5,official_annual_direct_consistent
