stock_code,historical_stock_code,historical_name,historical_abbr,current_chinese_name,current_chinese_short_name,hsic_sub_sector,continuity_status,industry_review_status,h_share_clue,priority,next_action,evidence_url,resolution_evidence_url,reason
01621.HK,01621.HK,域高国际控股有限公司,域高国际控股,域高國際控股有限公司,域高國際控股,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1621,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01713.HK,01713.HK,四川能投发展股份有限公司,四川能投发展,四川能投發展股份有限公司 - H股,四川能投發展,常規電力,name_difference,proposed,True,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1713,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01738.HK,01738.HK,飞尚无烟煤资源有限公司,飞尚无烟煤,飛尚無煙煤資源有限公司,飛尚無煙煤,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1738,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01811.HK,01811.HK,中国广核新能源控股有限公司,中广核新能源,中國廣核新能源控股有限公司,中廣核新能源,非傳統/ 可再生能源,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1811,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01921.HK,01921.HK,达力普控股有限公司,达力普控股,達力普控股有限公司,達力普控股,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1921,,历史与当前名称不做简繁或模糊自动归并，需证据复核
01938.HK,01938.HK,珠江石油天然气钢管控股有限公司,珠江钢管,珠江石油天然氣鋼管控股有限公司,珠江鋼管,油氣設備與服務,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1938,,历史与当前名称不做简繁或模糊自动归并，需证据复核
02012.HK,02012.HK,阳光油砂有限公司,阳光油砂,陽光油砂有限公司,陽光油砂,油氣生產商,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2012,,历史与当前名称不做简繁或模糊自动归并，需证据复核
02380.HK,02380.HK,中国电力国际发展有限公司,中国电力,中國電力國際發展有限公司,中國電力,非傳統/ 可再生能源,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2380,,历史与当前名称不做简繁或模糊自动归并，需证据复核
02386.HK,02386.HK,中石化炼化工程(集团)股份有限公司,中石化炼化工程,中石化煉化工程(集團)股份有限公司 - H股,中石化煉化工程,油氣設備與服務,name_difference,proposed,True,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2386,,历史与当前名称不做简繁或模糊自动归并，需证据复核
02688.HK,02688.HK,新奥能源控股有限公司,新奥能源,新奧能源控股有限公司,新奧能源,燃氣供應,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2688,,历史与当前名称不做简繁或模糊自动归并，需证据复核
02798.HK,02798.HK,久泰邦达能源控股有限公司,久泰邦达能源,久泰邦達能源控股有限公司,久泰邦達能源,煤炭,name_difference,proposed,False,2,verify_name_continuity,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2798,,历史与当前名称不做简繁或模糊自动归并，需证据复核
