company_code,company_name,error
002112.SZ,三变科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300443.SZ,金雷股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300051.SZ,琏升科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300933.SZ,中辰股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300724.SZ,捷佳伟创,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301487.SZ,盟固利,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300035.SZ,中科电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300409.SZ,道氏技术,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300283.SZ,温州宏丰,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301040.SZ,中环海陆,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300510.SZ,金冠股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000421.SZ,南京公用,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002927.SZ,泰永长征,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300427.SZ,红相股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300690.SZ,双一科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300018.SZ,中元股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002358.SZ,森源电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300953.SZ,震裕科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301163.SZ,宏德股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000601.SZ,韶能股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300457.SZ,赢合科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000531.SZ,穗恒运Ａ,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300141.SZ,和顺电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002452.SZ,长高电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002857.SZ,三晖电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300842.SZ,帝科股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002090.SZ,金智科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002471.SZ,中超控股,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000767.SZ,晋控电力,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300140.SZ,节能环境,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002546.SZ,新联电子,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300648.SZ,星云股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002879.SZ,长缆科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
001896.SZ,豫能控股,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002364.SZ,中恒电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002309.SZ,中利集团,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002629.SZ,仁智股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002060.SZ,广东建工,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300444.SZ,双杰电气,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
301155.SZ,海力风电,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300222.SZ,科大智能,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300069.SZ,金利华电,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300410.SZ,正业科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002196.SZ,方正电机,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300713.SZ,英可瑞,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300423.SZ,昇辉科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300853.SZ,申昊科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300490.SZ,华自科技,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300340.SZ,科恒股份,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
002828.SZ,贝肯能源,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
300670.SZ,大烨智能,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
000692.SZ,惠天热电,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
