stock_code,company_name,document_count,annual_report_count,esg_report_count,report_years,document_types,annual_status,esg_status,next_action
01738.HK,FS ANTHRACITE,,,,,,collected,collected,
01798.HK,DATANG RENEW,,,,,,collected,missing,
01799.HK,XINTE ENERGY,,,,,,collected,collected,
01811.HK,CGN NEW ENERGY,,,,,,collected,collected,
01878.HK,SOUTHGOBI,,,,,,collected,missing,
01921.HK,DALIPAL HLDG,,,,,,collected,missing,
01938.HK,CHU KONG PIPE,,,,,,collected,missing,
01940.HK,CGII HLDGS,,,,,,collected,collected,
02012.HK,SUNSHINE OIL,,,,,,collected,collected,
02178.HK,PETRO-KING,,,,,,collected,missing,
02236.HK,WISON ENGRG,,,,,,collected,collected,
02380.HK,CHINA POWER,,,,,,collected,collected,
02386.HK,SINOPEC SEG,,,,,,collected,collected,
02688.HK,ENN ENERGY,,,,,,collected,collected,
02728.HK,JINTAI ENERGY H,,,,,,collected,collected,
02798.HK,PER ENERGY,,,,,,collected,missing,
03303.HK,JUTAL OIL SER,,,,,,collected,collected,
03337.HK,ANTON OILFIELD,,,,,,collected,collected,
03395.HK,JX ENERGY,,,,,,collected,missing,
03633.HK,ZHONGYU ENERGY,,,,,,collected,collected,
03668.HK,YANCOAL AUS,,,,,,collected,collected,
03800.HK,GCL TECH,,,,,,collected,collected,
03868.HK,XINYI ENERGY,,,,,,collected,collected,
03899.HK,CIMC ENRIC,,,,,,collected,collected,
06828.HK,BG BLUE SKY,,,,,,collected,collected,
06885.HK,JINMA ENERGY,,,,,,collected,missing,
08132.HK,CENTURY EN INTL,,,,,,collected,missing,
08270.HK,CHINA CBM,,,,,,collected,collected,
08347.HK,F8 ENT,,,,,,collected,missing,
08536.HK,TL NATURAL GAS,,,,,,collected,missing,
08631.HK,YUFENGCHANG HLD,,,,,,collected,missing,
09689.HK,JTF INTL,,,,,,collected,missing,
300001.SZ,特锐德,,,,,,collected,collected,
300014.SZ,亿纬锂能,,,,,,collected,missing,
300018.SZ,中元股份,,,,,,collected,missing,
300035.SZ,中科电气,,,,,,collected,missing,
300037.SZ,新宙邦,,,,,,collected,missing,
300040.SZ,九洲集团,,,,,,collected,missing,
300051.SZ,琏升科技,,,,,,collected,missing,
300062.SZ,中能电气,,,,,,collected,collected,
300069.SZ,金利华电,,,,,,collected,missing,
300073.SZ,当升科技,,,,,,collected,collected,
300080.SZ,易成新能,,,,,,collected,missing,
300105.SZ,龙源技术,,,,,,collected,missing,
300118.SZ,东方日升,,,,,,collected,missing,
300129.SZ,泰胜风能,,,,,,collected,collected,
300140.SZ,节能环境,,,,,,collected,missing,
300141.SZ,和顺电气,,,,,,collected,missing,
300153.SZ,科泰电源,,,,,,collected,missing,
300185.SZ,通裕重工,,,,,,collected,missing,
300191.SZ,潜能恒信,,,,,,collected,missing,
300207.SZ,欣旺达,,,,,,collected,collected,
300222.SZ,科大智能,,,,,,collected,missing,
300265.SZ,通光线缆,,,,,,collected,missing,
300274.SZ,阳光电源,,,,,,collected,collected,
300283.SZ,温州宏丰,,,,,,collected,missing,
300286.SZ,安科瑞,,,,,,collected,missing,
300316.SZ,晶盛机电,,,,,,collected,missing,
300317.SZ,珈伟新能,,,,,,collected,missing,
300332.SZ,天壕能源,,,,,,collected,missing,
300340.SZ,科恒股份,,,,,,collected,missing,
300360.SZ,炬华科技,,,,,,collected,missing,
300376.SZ,易事特,,,,,,collected,collected,
300390.SZ,天华新能,,,,,,collected,missing,
300393.SZ,中来股份,,,,,,collected,missing,
300407.SZ,凯发电气,,,,,,collected,missing,
300409.SZ,道氏技术,,,,,,collected,missing,
300410.SZ,正业科技,,,,,,collected,missing,
300423.SZ,昇辉科技,,,,,,collected,missing,
300427.SZ,红相股份,,,,,,collected,missing,
300432.SZ,富临精工,,,,,,collected,missing,
300438.SZ,鹏辉能源,,,,,,collected,collected,
300443.SZ,金雷股份,,,,,,collected,missing,
300444.SZ,双杰电气,,,,,,collected,missing,
300450.SZ,先导智能,,,,,,collected,missing,
300457.SZ,赢合科技,,,,,,collected,missing,
300483.SZ,首华燃气,,,,,,collected,missing,
300490.SZ,华自科技,,,,,,collected,missing,
300491.SZ,通合科技,,,,,,collected,collected,
300510.SZ,金冠股份,,,,,,collected,collected,
300514.SZ,友讯达,,,,,,collected,missing,
300568.SZ,星源材质,,,,,,collected,missing,
300569.SZ,天能重工,,,,,,collected,missing,
300593.SZ,新雷能,,,,,,collected,missing,
300617.SZ,安靠智电,,,,,,collected,missing,
300619.SZ,金银河,,,,,,collected,missing,
300626.SZ,华瑞股份,,,,,,collected,collected,
300648.SZ,星云股份,,,,,,collected,missing,
300660.SZ,江苏雷利,,,,,,collected,missing,
300670.SZ,大烨智能,,,,,,collected,missing,
300690.SZ,双一科技,,,,,,collected,collected,
300693.SZ,盛弘股份,,,,,,collected,missing,
300713.SZ,英可瑞,,,,,,collected,missing,
300724.SZ,捷佳伟创,,,,,,collected,missing,
300750.SZ,宁德时代,,,,,,collected,missing,
300751.SZ,迈为股份,,,,,,collected,missing,
300763.SZ,锦浪科技,,,,,,collected,missing,
300769.SZ,德方纳米,,,,,,collected,collected,
300772.SZ,运达股份,,,,,,collected,collected,
300776.SZ,帝尔激光,,,,,,collected,collected,
300820.SZ,英杰电气,,,,,,collected,collected,
300827.SZ,上能电气,,,,,,collected,missing,
300842.SZ,帝科股份,,,,,,collected,missing,
300850.SZ,新强联,,,,,,collected,collected,
300853.SZ,申昊科技,,,,,,collected,missing,
300870.SZ,欧陆通,,,,,,collected,collected,
300880.SZ,迦南智能,,,,,,collected,collected,
300882.SZ,万胜智能,,,,,,collected,missing,
300904.SZ,威力传动,,,,,,collected,missing,
300907.SZ,康平科技,,,,,,collected,missing,
300919.SZ,中伟新材,,,,,,collected,collected,
300932.SZ,三友联众,,,,,,collected,collected,
300933.SZ,中辰股份,,,,,,collected,missing,
300953.SZ,震裕科技,,,,,,collected,collected,
301002.SZ,崧盛股份,,,,,,collected,missing,
301012.SZ,扬电科技,,,,,,collected,missing,
301023.SZ,奕帆传动,,,,,,collected,missing,
301040.SZ,中环海陆,,,,,,collected,missing,
301063.SZ,海锅股份,,,,,,collected,missing,
301082.SZ,久盛电气,,,,,,collected,missing,
301120.SZ,新特电气,,,,,,collected,missing,
301121.SZ,紫建电子,,,,,,collected,missing,
301150.SZ,中一科技,,,,,,collected,missing,
301152.SZ,天力锂能,,,,,,collected,missing,
301155.SZ,海力风电,,,,,,collected,missing,
301157.SZ,华塑科技,,,,,,collected,missing,
301163.SZ,宏德股份,,,,,,collected,missing,
301168.SZ,通灵股份,,,,,,collected,missing,
301179.SZ,泽宇智能,,,,,,collected,missing,
301210.SZ,金杨精密,,,,,,collected,missing,
301217.SZ,铜冠铜箔,,,,,,collected,missing,
301222.SZ,浙江恒威,,,,,,collected,missing,
301226.SZ,祥明智能,,,,,,collected,missing,
301232.SZ,飞沃科技,,,,,,collected,missing,
301238.SZ,瑞泰新材,,,,,,collected,missing,
301266.SZ,宇邦新材,,,,,,collected,missing,
301278.SZ,快可电子,,,,,,collected,missing,
301291.SZ,明阳电气,,,,,,collected,missing,
301292.SZ,海科新源,,,,,,collected,missing,
301295.SZ,美硕科技,,,,,,collected,missing,
301325.SZ,曼恩斯特,,,,,,collected,collected,
301327.SZ,华宝新能,,,,,,collected,missing,
301349.SZ,信德新材,,,,,,collected,missing,
301358.SZ,湖南裕能,,,,,,collected,collected,
301361.SZ,众智科技,,,,,,collected,missing,
301386.SZ,未来电器,,,,,,collected,collected,
301388.SZ,欣灵电气,,,,,,collected,missing,
301439.SZ,泓淋电力,,,,,,collected,collected,
301456.SZ,盘古智能,,,,,,collected,missing,
301487.SZ,盟固利,,,,,,collected,missing,
301502.SZ,华阳智能,,,,,,collected,missing,
301511.SZ,德福科技,,,,,,collected,missing,
301516.SZ,中远通,,,,,,collected,missing,
301587.SZ,中瑞股份,,,,,,collected,missing,
600011.SH,华能国际,,,,,,collected,missing,
600021.SH,上海电力,,,,,,collected,missing,
600023.SH,浙能电力,,,,,,collected,collected,
600025.SH,华能水电,,,,,,collected,missing,
600027.SH,华电国际,,,,,,collected,missing,
600028.SH,中国石化,,,,,,collected,collected,
600032.SH,浙江新能,,,,,,collected,collected,
600089.SH,特变电工,,,,,,collected,collected,
600098.SH,广州发展,,,,,,collected,collected,
600101.SH,明星电力,,,,,,collected,collected,
600110.SH,诺德股份,,,,,,collected,missing,
600116.SH,三峡水利,,,,,,collected,missing,
600149.SH,廊坊发展,,,,,,collected,missing,
600151.SH,航天机电,,,,,,collected,missing,
600152.SH,维科技术,,,,,,collected,missing,
600157.SH,永泰能源,,,,,,collected,missing,
600163.SH,中闽能源,,,,,,collected,collected,
600167.SH,联美控股,,,,,,collected,collected,
600188.SH,兖矿能源,,,,,,collected,missing,
600192.SH,长城电工,,,,,,collected,missing,
600207.SH,安彩高科,,,,,,collected,collected,
600212.SH,绿能慧充,,,,,,collected,missing,
600236.SH,桂冠电力,,,,,,collected,collected,
600241.SH,时代万恒,,,,,,collected,missing,
600256.SH,广汇能源,,,,,,collected,collected,
600268.SH,国电南自,,,,,,collected,missing,
600310.SH,广西能源,,,,,,collected,missing,
600312.SH,平高电气,,,,,,collected,missing,
600333.SH,长春燃气,,,,,,collected,missing,
600339.SH,中油工程,,,,,,collected,missing,
600346.SH,恒力石化,,,,,,collected,collected,
600379.SH,宝光股份,,,,,,collected,missing,
600395.SH,盘江股份,,,,,,collected,collected,
600396.SH,华电辽能,,,,,,collected,missing,
600397.SH,江钨装备,,,,,,collected,missing,
600405.SH,动力源,,,,,,collected,missing,
600406.SH,国电南瑞,,,,,,collected,missing,
600416.SH,湘电股份,,,,,,collected,missing,
600438.SH,通威股份,,,,,,collected,collected,
600452.SH,涪陵电力,,,,,,collected,missing,
600458.SH,时代新材,,,,,,collected,missing,
600468.SH,百利电气,,,,,,collected,missing,
600475.SH,华光环能,,,,,,collected,missing,
600478.SH,科力远,,,,,,collected,missing,
600481.SH,双良节能,,,,,,collected,collected,
600482.SH,中国动力,,,,,,collected,collected,
600483.SH,福能股份,,,,,,collected,collected,
600505.SH,西昌电力,,,,,,collected,missing,
600508.SH,上海能源,,,,,,collected,collected,
600509.SH,天富能源,,,,,,collected,missing,
600550.SH,保变电气,,,,,,collected,missing,
600577.SH,精达股份,,,,,,collected,missing,
600578.SH,京能电力,,,,,,collected,collected,
600580.SH,卧龙电驱,,,,,,collected,missing,
600617.SH,国新能源,,,,,,collected,missing,
600635.SH,大众公用,,,,,,collected,collected,
600642.SH,申能股份,,,,,,collected,missing,
600644.SH,乐山电力,,,,,,collected,missing,
600674.SH,川投能源,,,,,,collected,collected,
600681.SH,百川能源,,,,,,collected,missing,
600688.SH,上海石化,,,,,,collected,collected,
600719.SH,大连热电,,,,,,collected,missing,
600725.SH,云维股份,,,,,,collected,collected,
600726.SH,华电能源,,,,,,collected,missing,
600732.SH,爱旭股份,,,,,,collected,collected,
600744.SH,华银电力,,,,,,collected,collected,
600758.SH,辽宁能源,,,,,,collected,missing,
600777.SH,*ST新潮,,,,,,collected,collected,
600780.SH,通宝能源,,,,,,collected,collected,
600795.SH,国电电力,,,,,,collected,collected,
600803.SH,新奥股份,,,,,,collected,collected,
600821.SH,金开新能,,,,,,collected,collected,
600847.SH,万里股份,,,,,,collected,collected,
600863.SH,华能蒙电,,,,,,collected,missing,
600868.SH,梅雁吉祥,,,,,,collected,missing,
600869.SH,远东股份,,,,,,collected,missing,
600871.SH,石化油服,,,,,,collected,collected,
600875.SH,东方电气,,,,,,collected,missing,
600884.SH,杉杉股份,,,,,,collected,missing,
600885.SH,宏发股份,,,,,,collected,collected,
600886.SH,国投电力,,,,,,collected,missing,
600900.SH,长江电力,,,,,,collected,collected,
600903.SH,贵州燃气,,,,,,collected,collected,
600905.SH,三峡能源,,,,,,collected,collected,
600917.SH,重庆燃气,,,,,,collected,collected,
600925.SH,苏能股份,,,,,,collected,missing,
600938.SH,中国海油,,,,,,collected,missing,
600956.SH,新天绿能,,,,,,collected,collected,
600968.SH,海油发展,,,,,,collected,collected,
600969.SH,郴电国际,,,,,,collected,collected,
600973.SH,宝胜股份,,,,,,collected,missing,
600979.SH,广安爱众,,,,,,collected,missing,
600982.SH,宁波能源,,,,,,collected,missing,
600995.SH,南网储能,,,,,,collected,collected,
601001.SH,晋控煤业,,,,,,collected,collected,
601012.SH,隆基绿能,,,,,,collected,collected,
601016.SH,节能风电,,,,,,collected,missing,
601088.SH,中国神华,,,,,,collected,collected,
601126.SH,四方股份,,,,,,collected,collected,
601139.SH,深圳燃气,,,,,,collected,collected,
601179.SH,中国西电,,,,,,collected,missing,
601218.SH,吉鑫科技,,,,,,collected,missing,
601222.SH,林洋能源,,,,,,collected,missing,
601225.SH,陕西煤业,,,,,,collected,collected,
601233.SH,桐昆股份,,,,,,collected,collected,
601311.SH,骆驼股份,,,,,,collected,missing,
601567.SH,三星电气,,,,,,collected,collected,
601611.SH,中国核建,,,,,,collected,missing,
601615.SH,明阳智能,,,,,,collected,collected,
601616.SH,广电电气,,,,,,collected,missing,
601619.SH,嘉泽新能,,,,,,collected,collected,
601666.SH,平煤股份,,,,,,collected,collected,
601669.SH,中国电建,,,,,,collected,missing,
601700.SH,风范股份,,,,,,collected,missing,
601727.SH,上海电气,,,,,,collected,collected,
601778.SH,晶科科技,,,,,,collected,collected,
601808.SH,中海油服,,,,,,collected,missing,
601857.SH,中国石油,,,,,,collected,collected,
601865.SH,福莱特,,,,,,collected,missing,
601868.SH,中国能建,,,,,,collected,missing,
601877.SH,正泰电器,,,,,,collected,collected,
601898.SH,中煤能源,,,,,,collected,missing,
601908.SH,京运通,,,,,,collected,missing,
601918.SH,新集能源,,,,,,collected,collected,
601985.SH,中国核电,,,,,,collected,collected,
601991.SH,大唐发电,,,,,,collected,collected,
603016.SH,新宏泰,,,,,,collected,missing,
603026.SH,石大胜华,,,,,,collected,missing,
603031.SH,安孚科技,,,,,,collected,collected,
603032.SH,德新科技,,,,,,collected,collected,
603050.SH,科林电气,,,,,,collected,missing,
603053.SH,成都燃气,,,,,,collected,collected,
603063.SH,禾望电气,,,,,,collected,collected,
603070.SH,万控智造,,,,,,collected,missing,
603080.SH,新疆火炬,,,,,,collected,missing,
603097.SH,江苏华辰,,,,,,collected,missing,
603105.SH,芯能科技,,,,,,collected,missing,
603185.SH,弘元绿能,,,,,,collected,missing,
603191.SH,望变电气,,,,,,collected,missing,
603212.SH,赛伍技术,,,,,,collected,missing,
603218.SH,日月股份,,,,,,collected,missing,
603312.SH,西典新能,,,,,,collected,missing,
603318.SH,水发燃气,,,,,,collected,missing,
603320.SH,迪贝电气,,,,,,collected,collected,
603333.SH,尚纬股份,,,,,,collected,missing,
603344.SH,星德胜,,,,,,collected,missing,
603353.SH,和顺石油,,,,,,collected,missing,
603393.SH,新天然气,,,,,,collected,missing,
603396.SH,金辰股份,,,,,,collected,collected,
603489.SH,八方股份,,,,,,collected,missing,
603507.SH,振江股份,,,,,,collected,collected,
603530.SH,神马电力,,,,,,collected,missing,
603556.SH,海兴电力,,,,,,collected,missing,
603577.SH,汇金通,,,,,,collected,missing,
603606.SH,东方电缆,,,,,,collected,missing,
603618.SH,杭电股份,,,,,,collected,collected,
603619.SH,中曼石油,,,,,,collected,missing,
603628.SH,清源股份,,,,,,collected,missing,
603659.SH,璞泰来,,,,,,collected,missing,
603689.SH,皖天然气,,,,,,collected,collected,
603693.SH,江苏新能,,,,,,collected,collected,
603706.SH,东方环宇,,,,,,collected,collected,
603727.SH,博迈科,,,,,,collected,missing,
603728.SH,鸣志电器,,,,,,collected,missing,
603798.SH,康普顿,,,,,,collected,missing,
603806.SH,福斯特,,,,,,collected,missing,
603819.SH,神力股份,,,,,,collected,missing,
603829.SH,洛凯股份,,,,,,collected,missing,
603861.SH,白云电器,,,,,,collected,collected,
603897.SH,长城科技,,,,,,collected,missing,
603906.SH,龙蟠科技,,,,,,collected,missing,
603985.SH,恒润股份,,,,,,collected,collected,
603988.SH,中电电机,,,,,,collected,missing,
605011.SH,杭州热电,,,,,,collected,collected,
605028.SH,世茂能源,,,,,,collected,collected,
605066.SH,天正电气,,,,,,collected,missing,
605090.SH,九丰能源,,,,,,collected,missing,
605117.SH,德业股份,,,,,,collected,collected,
605162.SH,新中港,,,,,,collected,collected,
605169.SH,洪通燃气,,,,,,collected,missing,
605196.SH,华通线缆,,,,,,collected,collected,
605222.SH,起帆电缆,,,,,,collected,missing,
605368.SH,蓝天燃气,,,,,,collected,missing,
605378.SH,野马电池,,,,,,collected,missing,
605580.SH,恒盛能源,,,,,,collected,collected,
688005.SH,容百科技,,,,,,collected,collected,
688006.SH,杭可科技,,,,,,collected,collected,
688032.SH,禾迈股份,,,,,,collected,collected,
688063.SH,派能科技,,,,,,collected,collected,
688116.SH,天奈科技,,,,,,collected,collected,
688147.SH,微导纳米,,,,,,collected,missing,
688148.SH,芳源股份,,,,,,collected,missing,
688155.SH,先惠技术,,,,,,collected,missing,
688191.SH,智洋创新,,,,,,collected,missing,
688223.SH,晶科能源,,,,,,collected,missing,
688226.SH,威腾电气,,,,,,collected,missing,
688248.SH,南网科技,,,,,,collected,collected,
688275.SH,万润新能,,,,,,collected,missing,
688303.SH,大全能源,,,,,,collected,collected,
688330.SH,宏力达,,,,,,collected,missing,
688339.SH,亿华通,,,,,,collected,collected,
688345.SH,博力威,,,,,,collected,missing,
688348.SH,昱能科技,,,,,,collected,missing,
688349.SH,三一重能,,,,,,collected,missing,
688353.SH,华盛锂电,,,,,,collected,missing,
688388.SH,嘉元科技,,,,,,collected,collected,
688390.SH,固德威,,,,,,collected,collected,
688392.SH,骄成超声,,,,,,collected,missing,
688408.SH,中信博,,,,,,collected,missing,
688429.SH,时创能源,,,,,,collected,missing,
