company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
00003.HK,HK & CHINA GAS,2025,X_E_CLEAN_PRODUCTION,清洁生产,1.5,2,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_E_GREEN_OFFICE,绿色办公,1.5,2,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_S_JUST_TRANSITION,公正转型,2.0,2,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_S_EMPLOYEE_RIGHTS,员工权益保障,1.6,2,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_G_GOVERNANCE_MECHANISM,治理机制,2.0,2,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_G_CORPORATE_STRUCTURE,公司架构,2.0,2,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_G_DISCLOSURE,信息披露,5.0,1,evidence_missing,locate_additional_public_evidence
00003.HK,HK & CHINA GAS,2025,X_G_TAX,纳税情况,4.0,1,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_ENV_SYSTEM,环保体系,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_EMERGENCY,应急管理,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_TRAINING,环保培训,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_COMPLIANCE,环境合规,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_IMPACT,环境影响,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_WATER,水资源,2.25,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_WASTEWATER,废水,2.25,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_WASTE_GAS,废气,2.25,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_SOLID_WASTE,固体废物,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_HAZ_WASTE,危险废物,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_GREEN_TRANSITION,绿色转型,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_CLEAN_PRODUCTION,清洁生产,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_GREEN_SUPPLY_CHAIN,绿色供应链,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_GREEN_OFFICE,绿色办公,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_E_GREEN_FINANCE,绿色融资,1.5,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_S_PUBLIC_WELFARE,社会公益,2.0,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_S_RD_INNOVATION,研发创新,2.0,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_S_JUST_TRANSITION,公正转型,2.0,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_S_EMPLOYEE_RIGHTS,员工权益保障,1.6,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_S_OCCUPATIONAL_HEALTH,员工职业健康,1.6,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_S_FEEDBACK,员工沟通与反馈,1.6,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_S_CUSTOMER_SERVICE,客户服务,2.0,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_S_PRODUCT_QUALITY,产品质量,2.0,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_S_SUPPLY_CHAIN,供应链管理,2.0,2,evidence_missing,locate_additional_public_evidence
000037.SZ,深南电A,2025,X_G_GOVERNANCE_MECHANISM,治理机制,2.0,2,evidence_missing,locate_additional_public_evidence
