company_code,company_name,indicator_code,value,source,abs_indicator,abs_value,revenue,unit
600795.SH,国电电力,Q_E_SO2_INTENSITY,0.17034374779309416,calculated,Q_E_SO2_EMISSION,29.0,170243994133.7,克/万元
600821.SH,金开新能,Q_E_ENERGY_INTENSITY,0.22018269266778734,calculated,Q_E_ENERGY_CONSUMPTION,76.0,3451679106.98,千克/万元
600821.SH,金开新能,Q_E_NOX_INTENSITY,11.009134633389367,calculated,Q_E_NOX_EMISSION,38.0,3451679106.98,克/万元
600871.SH,石化油服,Q_E_SOLID_WASTE_INTENSITY,28.57092918039752,calculated,Q_E_SOLID_WASTE_GENERATION,51.0,17850312.0,千克/万元
600871.SH,石化油服,Q_E_WASTEWATER_INTENSITY,44.81714381238827,calculated,Q_E_WASTEWATER_DISCHARGE,80.0,17850312.0,千克/万元
600885.SH,宏发股份,Q_E_HAZ_WASTE_INTENSITY,0.5334288796488861,calculated,Q_E_HAZ_WASTE_GENERATION,917.63,17202480686.91,千克/万元
600900.SH,长江电力,Q_E_SOLID_WASTE_INTENSITY,0.035713482234565504,calculated,Q_E_SOLID_WASTE_GENERATION,308.0,86241940222.2,千克/万元
600900.SH,长江电力,Q_E_HAZ_WASTE_INTENSITY,0.035713482234565504,calculated,Q_E_HAZ_WASTE_GENERATION,308.0,86241940222.2,千克/万元
600925.SH,苏能股份,Q_E_SO2_INTENSITY,18.551975262530494,calculated,Q_E_SO2_EMISSION,235.0,12667114777.51,克/万元
600956.SH,新天绿能,Q_E_GHG_INTENSITY,0.028743139456918167,calculated,Q_E_GHG_EMISSION,57.0,19830819137.01,千克/万元
600956.SH,新天绿能,Q_E_SO2_INTENSITY,5.193935726425564,calculated,Q_E_SO2_EMISSION,103.0,19830819137.01,克/万元
600956.SH,新天绿能,Q_E_SOLID_WASTE_INTENSITY,0.03227299868846952,calculated,Q_E_SOLID_WASTE_GENERATION,64.0,19830819137.01,千克/万元
600968.SH,海油发展,Q_E_GHG_INTENSITY,0.07742442195274106,calculated,Q_E_GHG_EMISSION,78.0,10074340632.16,千克/万元
600968.SH,海油发展,Q_E_NOX_INTENSITY,6.9483455598613775,calculated,Q_E_NOX_EMISSION,70.0,10074340632.16,克/万元
600968.SH,海油发展,Q_E_SOLID_WASTE_INTENSITY,0.1151440121348457,calculated,Q_E_SOLID_WASTE_GENERATION,116.0,10074340632.16,千克/万元
