company_code,company_name,report_year,document_type,source_url
000937.SZ,冀中能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/ac53922b-6401-4521-a7dc-db1cdc1c5c3e.PDF
000966.SZ,长源电力,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/0ec1b7b3-9c73-4ebe-96cd-9782a630fda6.PDF
000968.SZ,蓝焰控股,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/e8e58391-9f7d-4e3e-a20f-f91de853f3ff.PDF
000993.SZ,闽东电力,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/bde59dd0-8054-47c4-aecb-bb7e0e860c7d.PDF
001208.SZ,华菱线缆,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-30/56775ab6-ab4a-48fc-8176-0ea4367b2869.pdf
001258.SZ,立新能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/c4de7ed7-ade8-4b19-862a-a453dfedb428.PDF
001269.SZ,欧晶科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/902f94d2-33d3-4e7c-9c36-ecab85315b76.PDF
001283.SZ,豪鹏科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-03/7c730243-2ecc-4169-9bda-1a44011d3de6.PDF
001283.SZ,豪鹏科技,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-16/2b63f8cc-9b74-4cda-8d1b-f80d8ecb7c70.PDF
001289.SZ,龙源电力,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-01/fac89145-0b4c-4e33-8bf0-d72fb2f548d4.PDF
001299.SZ,美能能源,2025,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/f7696a92-7048-415a-a1ea-5e606706c7e9.PDF
001299.SZ,美能能源,2025,esg_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/c6c93731-14e4-494f-a0f3-82d9ef9cb3ba.PDF
