stock_code,universe_name,snapshot_name,included,status,source_action,date_action,entity_action,reason
688772.SH,珠海冠宇,珠海冠宇,True,matched,filled,filled,preserved,证券代码及名称匹配
01277.HK,KINETIC DEV,KINETIC DEV,True,matched,filled,filled,preserved,证券代码及名称匹配
605011.SH,杭州热电,杭州热电,True,matched,filled,filled,preserved,证券代码及名称匹配
600483.SH,福能股份,福能股份,True,matched,filled,filled,preserved,证券代码及名称匹配
00002.HK,CLP HOLDINGS,CLP HOLDINGS,True,matched,filled,filled,preserved,证券代码及名称匹配
600167.SH,联美控股,联美控股,True,matched,filled,filled,preserved,证券代码及名称匹配
00650.HK,PRODUCTIVE TECH,PRODUCTIVE TECH,True,matched,filled,filled,preserved,证券代码及名称匹配
603606.SH,东方电缆,东方电缆,True,matched,filled,filled,preserved,证券代码及名称匹配
601808.SH,中海油服,中海油服,True,matched,filled,filled,preserved,证券代码及名称匹配
00196.HK,HONGHUA GROUP,HONGHUA GROUP,True,matched,filled,filled,preserved,证券代码及名称匹配
001258.SZ,立新能源,立新能源,True,matched,filled,filled,preserved,证券代码及名称匹配
01251.HK,SPT ENERGY,SPT ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
01303.HK,HUILI RES,HUILI RES,True,matched,filled,filled,preserved,证券代码及名称匹配
601991.SH,大唐发电,大唐发电,True,matched,filled,filled,preserved,证券代码及名称匹配
601139.SH,深圳燃气,深圳燃气,True,matched,filled,filled,preserved,证券代码及名称匹配
01393.HK,HIDILI INDUSTRY,HIDILI INDUSTRY,True,matched,filled,filled,preserved,证券代码及名称匹配
001208.SZ,华菱线缆,华菱线缆,True,matched,filled,filled,preserved,证券代码及名称匹配
03800.HK,GCL TECH,GCL TECH,True,matched,filled,filled,preserved,证券代码及名称匹配
002340.SZ,格林美,格林美,True,matched,filled,filled,preserved,证券代码及名称匹配
600688.SH,上海石化,上海石化,True,matched,filled,filled,preserved,证券代码及名称匹配
300450.SZ,先导智能,先导智能,True,matched,filled,filled,preserved,证券代码及名称匹配
000027.SZ,深圳能源,深圳能源,True,matched,filled,filled,preserved,证券代码及名称匹配
000040.SZ,东旭蓝天新能源股份有限公司,,False,unmatched,unchanged,unchanged,unchanged,证券代码未匹配官方快照
688349.SH,三一重能,三一重能,True,matched,filled,filled,preserved,证券代码及名称匹配
002706.SZ,良信股份,良信股份,True,matched,filled,filled,preserved,证券代码及名称匹配
600339.SH,中油工程,中油工程,True,matched,filled,filled,preserved,证券代码及名称匹配
600795.SH,国电电力,国电电力,True,matched,filled,filled,preserved,证券代码及名称匹配
600505.SH,西昌电力,西昌电力,True,matched,filled,filled,preserved,证券代码及名称匹配
300919.SZ,中伟新材,中伟新材,True,matched,filled,filled,preserved,证券代码及名称匹配
01101.HK,HUARONG ENERGY,HUARONG ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
600863.SH,华能蒙电,华能蒙电,True,matched,filled,filled,preserved,证券代码及名称匹配
600917.SH,重庆燃气,重庆燃气,True,matched,filled,filled,preserved,证券代码及名称匹配
300376.SZ,易事特,易事特,True,matched,filled,filled,preserved,证券代码及名称匹配
300751.SZ,迈为股份,迈为股份,True,matched,filled,filled,preserved,证券代码及名称匹配
600027.SH,华电国际,华电国际,True,matched,filled,filled,preserved,证券代码及名称匹配
08270.HK,CHINA CBM,CHINA CBM,True,matched,filled,filled,preserved,证券代码及名称匹配
06885.HK,JINMA ENERGY,JINMA ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
601918.SH,新集能源,新集能源,True,matched,filled,filled,preserved,证券代码及名称匹配
00042.HK,NE ELECTRIC,NE ELECTRIC,True,matched,filled,filled,preserved,证券代码及名称匹配
00276.HK,MONGOLIA ENERGY,MONGOLIA ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
02798.HK,PER ENERGY,PER ENERGY,True,matched,filled,filled,preserved,证券代码及名称匹配
600025.SH,华能水电,华能水电,True,matched,filled,filled,preserved,证券代码及名称匹配
300207.SZ,欣旺达,欣旺达,True,matched,filled,filled,preserved,证券代码及名称匹配
688819.SH,天能股份,天能股份,True,matched,filled,filled,preserved,证券代码及名称匹配
00866.HK,CHINA QINFA,CHINA QINFA,True,matched,filled,filled,preserved,证券代码及名称匹配
01080.HK,SHENGLI PIPE,SHENGLI PIPE,True,matched,filled,filled,preserved,证券代码及名称匹配
00065.HK,GRAND OCEAN AR,GRAND OCEAN AR,True,matched,filled,filled,preserved,证券代码及名称匹配
