company_code,company_name,official_domain,candidate_url,source_channel,evidence_file,evidence_snippet,evidence_count,verification_status,next_action
605090.SH,九丰能源,jovo.com.cn,https://jovo.com.cn/,document_text_website_field,data/text/ci_collection/605090.SH/2025/annual_report.txt,公司网址 www.jovo.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
688005.SH,容百科技,ronbaymat.com,https://ronbaymat.com/,document_text_website_field,data/text/ci_collection/688005.SH/2025/annual_report.txt,公司网址 www.ronbaymat.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
688148.SH,芳源股份,fangyuan-group.com,https://fangyuan-group.com/,document_text_website_field,data/text/ci_collection/688148.SH/2025/annual_report.txt,公司网址 www.fangyuan-group.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
688392.SH,骄成超声,sbt-sh.com,https://sbt-sh.com/,document_text_website_field,data/text/ci_collection/688392.SH/2025/annual_report.txt,公司网址 www.sbt-sh.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
688499.SH,利元亨,lyric-robot.com,https://lyric-robot.com/,document_text_website_field,data/text/ci_collection/688499.SH/2025/annual_report.txt,公司网址 www.lyric-robot.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
688503.SH,聚和材料,fusion-materials.com,https://fusion-materials.com/,document_text_website_field,data/text/ci_collection/688503.SH/2025/annual_report.txt,公司网址 www.fusion-materials.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
688551.SH,科威尔,kewell.com.cn,https://kewell.com.cn/,document_text_website_field,data/text/ci_collection/688551.SH/2025/esg_report.txt,公司网址：www.kewell.com.cn,4,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
688556.SH,高测股份,sse.com,https://sse.com/,document_text_url,data/text/688556.SH/2025/annual_report.txt,www.sse.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
688597.SH,煜邦电力,yupont.com,https://yupont.com/,document_text_website_field,data/text/ci_collection/688597.SH/2025/annual_report.txt,公司网址 www.yupont.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
688680.SH,海优新材,hiuv.com,https://hiuv.com/,document_text_website_field,data/text/ci_collection/688680.SH/2025/annual_report.txt,公司网址 www.hiuv.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
688681.SH,科汇股份,kehui.cn,https://kehui.cn/,document_text_website_field,data/text/ci_collection/688681.SH/2025/annual_report.txt,公司网址 www.kehui.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920046.BJ,亿能电力,yinow.cn,https://yinow.cn/,document_text_website_field,data/text/ci_collection/920046.BJ/2025/annual_report.txt,公司网址 www.yinow.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920062.BJ,科润智控,krgroup.cn,https://krgroup.cn/,document_text_website_field,data/text/ci_collection/920062.BJ/2025/annual_report.txt,公司网址 www.krgroup.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920152.BJ,昆工科技,hendera.com,https://hendera.com/,document_text_website_field,data/text/ci_collection/920152.BJ/2025/annual_report.txt,公司网址 www.hendera.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920167.BJ,同享科技,tonyshare.com,https://tonyshare.com/,document_text_website_field,data/text/ci_collection/920167.BJ/2025/annual_report.txt,公司网址 www.tonyshare.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920185.BJ,贝特瑞,btrchina.com,https://btrchina.com/,document_text_website_field,data/text/ci_collection/920185.BJ/2025/annual_report.txt,公司网址 www.btrchina.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920237.BJ,力佳科技,szlijia.com,https://szlijia.com/,document_text_website_field,data/text/ci_collection/920237.BJ/2025/annual_report.txt,公司网址 www.szlijia.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920252.BJ,天宏锂电,cnthpower.com,https://cnthpower.com/,document_text_website_field,data/text/ci_collection/920252.BJ/2025/annual_report.txt,公司网址 www.cnthpower.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920368.BJ,连城数控,stcn.com,https://stcn.com/,document_text_url,data/text/920368.BJ/2025/annual_report.txt,www.stcn.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920375.BJ,派诺科技,pmac.com.cn,https://pmac.com.cn/,document_text_website_field,data/text/ci_collection/920375.BJ/2025/annual_report.txt,公司网址 www.pmac.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920496.BJ,许昌智能,xjpmf.com,https://xjpmf.com/,document_text_website_field,data/text/ci_collection/920496.BJ/2025/annual_report.txt,公司网址 www.xjpmf.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920522.BJ,纳科诺尔,naknor.com,https://naknor.com/,document_text_website_field,data/text/ci_collection/920522.BJ/2025/annual_report.txt,公司网址 www.naknor.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920556.BJ,雅达股份,yada.com.cn,https://yada.com.cn/,document_text_website_field,data/text/ci_collection/920556.BJ/2025/annual_report.txt,公司网址 www.yada.com.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920639.BJ,晨光电缆,cgcable.com,https://cgcable.com/,document_text_website_field,data/text/ci_collection/920639.BJ/2025/annual_report.txt,公司网址 www.cgcable.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920682.BJ,球冠电缆,qrunning.com,https://qrunning.com/,document_text_website_field,data/text/ci_collection/920682.BJ/2025/annual_report.txt,公司网址 www.qrunning.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920809.BJ,安达科技,adkjny.com,https://adkjny.com/,document_text_website_field,data/text/ci_collection/920809.BJ/2025/annual_report.txt,公司网址 www.adkjny.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920914.BJ,远航精密,sinonic.com,https://sinonic.com/,document_text_website_field,data/text/ci_collection/920914.BJ/2025/annual_report.txt,公司网址 www.sinonic.com,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
920985.BJ,海泰新能,haitai-solar.cn,https://haitai-solar.cn/,document_text_website_field,data/text/ci_collection/920985.BJ/2025/annual_report.txt,公司网址 www.haitai-solar.cn,2,candidate_unverified_gap_fill,人工核验后写入官网域名审核批次
