company_code,company_name,indicator_code,in_v23_obs,direct_extract,derived_now,text_signal,has_revenue_signal,doc_count,text_chars,failure_reason,extract_values
688408.SH,中信博,Q_E_NOX_INTENSITY,False,False,False,False,True,1,246110,no_text_signal,
688408.SH,中信博,Q_E_SO2_INTENSITY,False,False,False,False,True,1,246110,no_text_signal,
688408.SH,中信博,Q_E_WATER_INTENSITY,False,False,False,False,True,1,246110,no_text_signal,
688408.SH,中信博,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,True,1,246110,no_text_signal,
688408.SH,中信博,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,1,246110,no_text_signal,
600406.SH,国电南瑞,Q_E_GHG_INTENSITY,False,False,False,False,True,1,289580,no_text_signal,
600406.SH,国电南瑞,Q_E_ENERGY_INTENSITY,False,False,False,False,True,1,289580,no_text_signal,
600406.SH,国电南瑞,Q_E_NOX_INTENSITY,False,False,False,False,True,1,289580,no_text_signal,
600406.SH,国电南瑞,Q_E_SO2_INTENSITY,False,False,False,False,True,1,289580,no_text_signal,
600406.SH,国电南瑞,Q_E_WATER_INTENSITY,False,False,False,True,True,1,289580,text_signal_but_rules_miss,
600406.SH,国电南瑞,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,True,1,289580,no_text_signal,
600406.SH,国电南瑞,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,1,289580,no_text_signal,
000400.SZ,许继电气,Q_E_GHG_INTENSITY,True,False,True,True,True,2,244172,ok_confirmed,
000400.SZ,许继电气,Q_E_ENERGY_INTENSITY,False,False,False,True,True,2,244172,text_signal_but_rules_miss,
000400.SZ,许继电气,Q_E_NOX_INTENSITY,True,False,True,True,True,2,244172,ok_confirmed,
000400.SZ,许继电气,Q_E_SO2_INTENSITY,False,False,False,False,True,2,244172,no_text_signal,
000400.SZ,许继电气,Q_E_WATER_INTENSITY,False,False,False,True,True,2,244172,text_signal_but_rules_miss,
000400.SZ,许继电气,Q_E_SOLID_WASTE_INTENSITY,False,False,False,True,True,2,244172,text_signal_but_rules_miss,
000400.SZ,许继电气,Q_S_SAFETY_INVEST_RATE,False,False,False,True,True,2,244172,text_signal_but_rules_miss,
688248.SH,南网科技,Q_E_GHG_INTENSITY,False,False,False,True,True,2,346084,text_signal_but_rules_miss,
688248.SH,南网科技,Q_E_ENERGY_INTENSITY,False,False,False,False,True,2,346084,no_text_signal,
688248.SH,南网科技,Q_E_NOX_INTENSITY,False,False,False,True,True,2,346084,text_signal_but_rules_miss,
688248.SH,南网科技,Q_E_SO2_INTENSITY,False,False,False,False,True,2,346084,no_text_signal,
688248.SH,南网科技,Q_E_WATER_INTENSITY,False,False,False,True,True,2,346084,text_signal_but_rules_miss,
688248.SH,南网科技,Q_E_SOLID_WASTE_INTENSITY,False,False,False,True,True,2,346084,text_signal_but_rules_miss,
688248.SH,南网科技,Q_S_SAFETY_INVEST_RATE,False,False,False,True,True,2,346084,text_signal_but_rules_miss,
600968.SH,海油发展,Q_E_GHG_INTENSITY,False,False,False,True,True,2,305063,text_signal_but_rules_miss,
600968.SH,海油发展,Q_E_ENERGY_INTENSITY,False,False,False,True,True,2,305063,text_signal_but_rules_miss,
600968.SH,海油发展,Q_E_NOX_INTENSITY,False,False,False,True,True,2,305063,text_signal_but_rules_miss,
600968.SH,海油发展,Q_E_SO2_INTENSITY,False,False,False,True,True,2,305063,text_signal_but_rules_miss,
600968.SH,海油发展,Q_E_WATER_INTENSITY,False,False,False,True,True,2,305063,text_signal_but_rules_miss,
600968.SH,海油发展,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,True,2,305063,no_text_signal,
600968.SH,海油发展,Q_S_SAFETY_INVEST_RATE,False,False,False,True,True,2,305063,text_signal_but_rules_miss,
01193.HK,CHINA RES GAS,Q_E_GHG_INTENSITY,False,False,False,False,False,2,895329,no_text_signal,
01193.HK,CHINA RES GAS,Q_E_ENERGY_INTENSITY,False,False,False,False,False,2,895329,no_text_signal,
01193.HK,CHINA RES GAS,Q_E_NOX_INTENSITY,False,False,False,False,False,2,895329,no_text_signal,
01193.HK,CHINA RES GAS,Q_E_SO2_INTENSITY,False,False,False,True,False,2,895329,text_signal_but_rules_miss,
01193.HK,CHINA RES GAS,Q_E_WATER_INTENSITY,False,False,False,False,False,2,895329,no_text_signal,
01193.HK,CHINA RES GAS,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,False,2,895329,no_text_signal,
01193.HK,CHINA RES GAS,Q_S_SAFETY_INVEST_RATE,False,False,False,False,False,2,895329,no_text_signal,
301327.SZ,华宝新能,Q_E_GHG_INTENSITY,False,False,False,False,True,1,202698,no_text_signal,
301327.SZ,华宝新能,Q_E_ENERGY_INTENSITY,False,False,False,False,True,1,202698,no_text_signal,
301327.SZ,华宝新能,Q_E_NOX_INTENSITY,False,False,False,False,True,1,202698,no_text_signal,
301327.SZ,华宝新能,Q_E_SO2_INTENSITY,False,False,False,False,True,1,202698,no_text_signal,
301327.SZ,华宝新能,Q_E_WATER_INTENSITY,False,False,False,False,True,1,202698,no_text_signal,
301327.SZ,华宝新能,Q_E_SOLID_WASTE_INTENSITY,False,False,False,False,True,1,202698,no_text_signal,
301327.SZ,华宝新能,Q_S_SAFETY_INVEST_RATE,False,False,False,False,True,1,202698,no_text_signal,
00956.HK,00956.HK,Q_E_GHG_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
00956.HK,00956.HK,Q_E_ENERGY_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
00956.HK,00956.HK,Q_E_NOX_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
00956.HK,00956.HK,Q_E_SO2_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
00956.HK,00956.HK,Q_E_WATER_INTENSITY,False,False,False,False,False,0,0,no_text_signal,
