company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason
000531.SZ,穗恒运Ａ,2025,Q_S_RD_RATE,1,3.09,18,3.09,single_or_consistent
000531.SZ,穗恒运Ａ,2025,Q_S_SAFETY_INVEST_RATE,1,0.636537,47,0.636537,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_AR_TURNOVER,1,106.024,73,106.024,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_ASSET_TURNOVER,1,0.756978,73,0.756978,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_CAPITAL_ACCUMULATION,1,11.4693,73,11.4693,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_CASH_REALIZATION,1,93.1728,77,93.1728,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_COST_REVENUE_RATE,1,93.153,75,93.153,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_DEBT_ASSET_RATE,1,60.9155,73,60.9155,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_EBITDA_INTEREST,1,50.2389,75,50.2389,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_OPERATING_MARGIN,1,7.34579,75,7.34579,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_OPERATING_PROFIT_GROWTH,1,4.30449,75,4.30449,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_REVENUE_GROWTH,1,-7.46115,8,-7.46115,single_or_consistent
000533.SZ,顺钠股份,2025,Q_G_ROE,1,11.1,8,11.1,single_or_consistent
000533.SZ,顺钠股份,2025,Q_S_BENEFIT_PER_EMPLOYEE,1,1.79043,148,1.79043,single_or_consistent
000533.SZ,顺钠股份,2025,Q_S_DONATION_RATE,1,0.0150422,155,0.0150422,single_or_consistent
000533.SZ,顺钠股份,2025,Q_S_EDU_PER_EMPLOYEE,1,0.238051,148,0.238051,single_or_consistent
000533.SZ,顺钠股份,2025,Q_S_PAY_PER_EMPLOYEE,1,12.5127,148,12.5127,single_or_consistent
000533.SZ,顺钠股份,2025,Q_S_RD_RATE,1,4.23,33,4.23,single_or_consistent
000537.SZ,绿发电力,2025,Q_G_AR_TURNOVER,1,0.82483,102,0.82483,single_or_consistent
000537.SZ,绿发电力,2025,Q_G_ASSET_TURNOVER,1,0.051835,104,0.051835,single_or_consistent
000537.SZ,绿发电力,2025,Q_G_CAPITAL_ACCUMULATION,1,5.04962,104,5.04962,single_or_consistent
000537.SZ,绿发电力,2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.342379,102,0.342379,single_or_consistent
000537.SZ,绿发电力,2025,Q_G_DEBT_ASSET_RATE,2,73.81|73.8117,99|104,,conflicting_candidates
000537.SZ,绿发电力,2025,Q_G_REVENUE_GROWTH,1,27.4133,8,27.4133,single_or_consistent
000537.SZ,绿发电力,2025,Q_G_ROE,2,4.05,8|194,4.05,single_or_consistent
000537.SZ,绿发电力,2025,Q_S_BENEFIT_PER_EMPLOYEE,1,6.2231,161,6.2231,single_or_consistent
000537.SZ,绿发电力,2025,Q_S_DIVIDEND_PER_SHARE,2,0.12,53|188,0.12,single_or_consistent
000537.SZ,绿发电力,2025,Q_S_DONATION_RATE,1,0.0163092,170,0.0163092,single_or_consistent
000537.SZ,绿发电力,2025,Q_S_EDU_PER_EMPLOYEE,1,1.07437,161,1.07437,single_or_consistent
000537.SZ,绿发电力,2025,Q_S_PAY_PER_EMPLOYEE,1,25.9414,161,25.9414,single_or_consistent
000537.SZ,绿发电力,2025,Q_S_RD_RATE,1,0.06,23,0.06,single_or_consistent
000539.SZ,粤电力Ａ,2025,Q_G_DEBT_ASSET_RATE,3,77.71,17|90|214,77.71,single_or_consistent
000539.SZ,粤电力Ａ,2025,Q_G_REVENUE_GROWTH,1,-9.82852,10,-9.82852,single_or_consistent
000539.SZ,粤电力Ａ,2025,Q_G_ROE,1,2.59,10,2.59,single_or_consistent
000539.SZ,粤电力Ａ,2025,Q_S_DIVIDEND_PER_SHARE,1,0.02,52,0.02,single_or_consistent
000539.SZ,粤电力Ａ,2025,Q_S_RD_RATE,1,1.1,25,1.1,single_or_consistent
000543.SZ,皖能电力,2025,Q_E_GHG_INTENSITY,1,14465.1,20,14465.1,single_or_consistent
000543.SZ,皖能电力,2025,Q_E_SOLID_WASTE_INTENSITY,1,3364.13,26,3364.13,single_or_consistent
000543.SZ,皖能电力,2025,Q_G_AR_TURNOVER,1,6.82776,82,6.82776,single_or_consistent
000543.SZ,皖能电力,2025,Q_G_DEBT_ASSET_RATE,1,62.72,76,62.72,single_or_consistent
000543.SZ,皖能电力,2025,Q_G_REVENUE_GROWTH,1,-9.26471,9,-9.26471,single_or_consistent
000543.SZ,皖能电力,2025,Q_G_ROE,2,12.95,9|237,12.95,single_or_consistent
000543.SZ,皖能电力,2025,Q_S_DIVIDEND_PER_SHARE,2,0.379,45|225,0.379,single_or_consistent
000543.SZ,皖能电力,2025,Q_S_DONATION_RATE,1,0.00451608,191,0.00451608,single_or_consistent
000543.SZ,皖能电力,2025,Q_S_RD_RATE,2,0.78,15|21,0.78,single_or_consistent
000554.SZ,泰山石油,2025,Q_E_GHG_REDUCTION_RATE,1,-22.5102,44,-22.5102,single_or_consistent
000554.SZ,泰山石油,2025,Q_G_CAPITAL_ACCUMULATION,1,7.88898,71,7.88898,single_or_consistent
000554.SZ,泰山石油,2025,Q_G_DEBT_ASSET_RATE,1,30.9716,71,30.9716,single_or_consistent
000554.SZ,泰山石油,2025,Q_G_QUICK_RATIO,1,712.444,70,712.444,single_or_consistent
000554.SZ,泰山石油,2025,Q_G_ROE,1,14.22,8,14.22,single_or_consistent
000554.SZ,泰山石油,2025,Q_G_TWO_FUNDS_RATE,1,45.9691,69,45.9691,single_or_consistent
000554.SZ,泰山石油,2025,Q_S_DIVIDEND_PER_SHARE,4,0.023|0.085|72.119,13|40|44|183,,conflicting_candidates
000591.SZ,太阳能,2025,Q_G_ASSET_TURNOVER,1,0.0983455,93,0.0983455,single_or_consistent
000591.SZ,太阳能,2025,Q_G_CAPITAL_ACCUMULATION,1,1.62338,93,1.62338,single_or_consistent
000591.SZ,太阳能,2025,Q_G_DEBT_ASSET_RATE,2,53.89|53.8901,87|93,,conflicting_candidates
000591.SZ,太阳能,2025,Q_G_REVENUE_GROWTH,1,-17.9103,8,-17.9103,single_or_consistent
000591.SZ,太阳能,2025,Q_G_ROE,1,3.47,8,3.47,single_or_consistent
000591.SZ,太阳能,2025,Q_S_DIVIDEND_PER_SHARE,1,0.013,43,0.013,single_or_consistent
000591.SZ,太阳能,2025,Q_S_RD_RATE,1,2,22,2,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_AR_TURNOVER,1,85.8414,72,85.8414,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_ASSET_TURNOVER,1,0.786232,72,0.786232,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_CAPITAL_ACCUMULATION,1,2.20434,72,2.20434,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_CASH_REALIZATION,1,118.815,77,118.815,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_COST_REVENUE_RATE,1,94.0366,75,94.0366,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_DEBT_ASSET_RATE,1,49.9826,72,49.9826,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_EBITDA_INTEREST,1,3.18524,75,3.18524,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_EBITDA_MARGIN,1,9.21403,75,9.21403,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_OPERATING_MARGIN,1,2.49113,75,2.49113,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_OPERATING_PROFIT_GROWTH,1,29.8168,75,29.8168,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_REVENUE_GROWTH,1,-12.501,7,-12.501,single_or_consistent
000593.SZ,德龙汇能,2025,Q_G_ROE,1,2.37,7,2.37,single_or_consistent
000593.SZ,德龙汇能,2025,Q_S_RD_RATE,1,0.02,19,0.02,single_or_consistent
000600.SZ,建投能源,2025,Q_E_NOX_INTENSITY,1,2061.74,76,2061.74,single_or_consistent
000600.SZ,建投能源,2025,Q_E_SO2_INTENSITY,1,1195.54,76,1195.54,single_or_consistent
000600.SZ,建投能源,2025,Q_G_AR_TURNOVER,1,7.92891,111,7.92891,single_or_consistent
000600.SZ,建投能源,2025,Q_G_ASSET_TURNOVER,1,0.46474,112,0.46474,single_or_consistent
000600.SZ,建投能源,2025,Q_G_CAPITAL_ACCUMULATION,1,18.2346,112,18.2346,single_or_consistent
000600.SZ,建投能源,2025,Q_G_CASH_REALIZATION,1,114.497,117,114.497,single_or_consistent
000600.SZ,建投能源,2025,Q_G_COST_REVENUE_RATE,1,87.4066,115,87.4066,single_or_consistent
000600.SZ,建投能源,2025,Q_G_DEBT_ASSET_RATE,3,59.1779|59.18,21|105|112,,conflicting_candidates
000600.SZ,建投能源,2025,Q_G_EBITDA_INTEREST,1,7.21063,115,7.21063,single_or_consistent
000600.SZ,建投能源,2025,Q_G_OPERATING_MARGIN,1,14.8796,115,14.8796,single_or_consistent
000600.SZ,建投能源,2025,Q_G_OPERATING_PROFIT_GROWTH,1,315.382,115,315.382,single_or_consistent
000600.SZ,建投能源,2025,Q_G_REVENUE_GROWTH,1,-3.11091,8,-3.11091,single_or_consistent
000600.SZ,建投能源,2025,Q_G_ROE,1,16.58,9,16.58,single_or_consistent
000600.SZ,建投能源,2025,Q_S_DIVIDEND_PER_SHARE,2,0.32,68|309,0.32,single_or_consistent
000600.SZ,建投能源,2025,Q_S_RD_RATE,2,5.91,27|53,5.91,single_or_consistent
000600.SZ,建投能源,2025,Q_S_SAFETY_INVEST_RATE,1,0.65,54,0.65,single_or_consistent
000601.SZ,韶能股份,2025,Q_G_DEBT_ASSET_RATE,1,65.94,213,65.94,single_or_consistent
000601.SZ,韶能股份,2025,Q_G_REVENUE_GROWTH,1,7.96819,8,7.96819,single_or_consistent
000601.SZ,韶能股份,2025,Q_G_ROE,1,2.61,9,2.61,single_or_consistent
000601.SZ,韶能股份,2025,Q_S_DIVIDEND_PER_SHARE,1,0.05,52,0.05,single_or_consistent
000601.SZ,韶能股份,2025,Q_S_RD_RATE,1,0.92,27,0.92,single_or_consistent
00061.HK,GREEN LEADER,2025,Q_G_CAPITAL_ACCUMULATION,1,-19.8568,182,-19.8568,single_or_consistent
00061.HK,GREEN LEADER,2025,Q_G_REVENUE_GROWTH,1,28.0312,82,28.0312,single_or_consistent
00061.HK,GREEN LEADER,2025,Q_G_ROE,1,-32.8145,182,-32.8145,single_or_consistent
000637.SZ,茂化实华,2025,Q_G_ASSET_TURNOVER,1,1.4366,95,1.4366,single_or_consistent
000637.SZ,茂化实华,2025,Q_G_CAPITAL_ACCUMULATION,1,-20.957,95,-20.957,single_or_consistent
000637.SZ,茂化实华,2025,Q_G_DEBT_ASSET_RATE,2,69.03|69.0333,95|116,,conflicting_candidates
