batch_task_rank,batch_action,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority,diagnostic_category,diagnostic_excerpt,text_file_count,diagnostic_text_files,scoring_authorized
11,inspect_esg_tables,13,99.322917,24,287,263,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002039.SZ,黔源电力,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,no_matching_disclosure_in_text,,1,data/text/002039.SZ/2025/annual_report.txt,False
12,inspect_esg_tables,14,99.322917,27,369,342,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002056.SZ,横店东磁,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,"69 32,144.39 使用权资产处置收益 482,646.74 合 计 1,447,731.69 514,791.13 74、营业外收入 单位：元 项目 本期发生额 上期发生额 计入当期非经常性损益的金 额 保险赔款 3,046,631.89 4,820,686.45 3,046,631.89 碳排放权收益 2,991,973.58 非流动资产毁损报废利得 1,521,900.28 2,173,525.71 1,521,900.28 违约金及赔偿收入 3,386,816.44 3,386,816.44 其他 464,210.94 2,307,026.24 464,210.94 合计 8,419,559.55 12,293,211.98 8,419,559.55 75、营业外支出 单位：元 项目 本期发生额 上期发生额 计入当期非经常性损益的金 额 对外捐赠 158,421.41 120,000.00 158,421.41 非流动资产毁损报废损失 4,601,832.81 4,655,345.97 4,601,832.81 地方水利建设基金 64,472.74 62,068.01 其",1,data/text/002056.SZ/2025/annual_report.txt,False
13,inspect_esg_tables,15,99.322917,28,385,357,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,00206.HK,CM-ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,"ntal and social responsibilities, the Group has formally integrated carbon reduction into its overall sustainable development strategy. Accordingly, the Group has systematically formulated and strictly implemented a series of scientific and feasible GHG emission control measures to effectively reduce both the intensity and total volume of our emissions. These specific measures are as follows: Factory Manufacturing 工廠製造 綠動未來，低碳領航 （續） 排放物與廢棄物 （續） 溫室氣體 本集團深刻認識到，溫室氣體排放是引發全球氣候 變暖的主要驅動因素之一，而能源消耗則是溫室氣 ",1,data/text/hkex_reports/00206.HK/2025/annual_report.txt,False
14,inspect_esg_tables,16,99.322917,165,276,111,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002074.SZ,国轩高科,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,no_matching_disclosure_in_text,,1,data/text/002074.SZ/2025/annual_report.txt,False
15,inspect_esg_tables,17,99.322917,196,307,111,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002090.SZ,金智科技,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,2 月，公司荣获“国家绿色工厂”荣誉称号。 公司自身的金智科技园已建成并成功运行多年兆瓦级的屋顶光伏电站，配备了储能、 充电桩、综合能效管控系统，实现了“光、储、充、管”及“源、网、荷、储”一体化， 在实现园区部分用电的自给自足的同时，有效降低了公司的总体能耗，且以可计量、可视 化的方式全景展示园区碳排放实时数据及路径。光伏系统年发电约 120 万 KWh，采用低压 （380V）用户侧并网，自发自用余电上网，年均节省标煤 485 吨，减少碳粉尘排放 326 吨， 减排二氧化碳 1196 吨。公司园区分布式光伏项目上网量获国家能源局核发了绿色电力证 56 === PAGE 57 === 江苏金智科技股份有限公司 2025 年年度报告全文 书，并已通过挂牌形式在“中国绿色电力证书交易平台”进行交易。报告期内，公司“金 智科技近零碳智慧园区项目”当选南京十佳低碳应用推广场景。 5、公共关系和社会公益事业 公司及公司员工一直致力于回报社会、回报国家，扶持国民教育、支援赈灾和各类社 会公益事业。公司坚持依法纳税、守法合规、诚信经营，纳税额逐年稳步上升。此外，公 司高度重视与政府部门、监管机关、大,1,data/text/002090.SZ/2025/annual_report.txt,False
16,inspect_esg_tables,18,99.322917,121,327,206,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002276.SZ,万马股份,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,行业节能减排；节能改造上，推进厂区设备与环保工艺 节能升级，有效降低能耗成本；运营管理上，常态化开展节能低碳活动，引导员工绿色办公、低碳生活； 数字化建设上，依托 PLM 系统实现产品全生命周期数字化管理，搭建碳资产管理平台，构建“监测-核 算-分析-减排”全链路碳治理闭环，实现从园区到产品的全方位碳排放管控。报告期内，公司未发生环 境污染事故及环境违法事件，凭借在绿色制造、节能降碳等方面的突出成效，成功入选工信部 2025 年 度国家级绿色工厂，达成了公司绿色低碳事业的里程碑式跨越，标志公司绿色制造水平跻身国家第一梯 队，为行业树立了绿色标杆。 坚守绿色发展初心，万马股份将以此荣耀为新起点，把绿色理念深植生产经营全环节，以更坚定的 行动践行可持续发展之路，用点滴之力汇聚行业绿色发展的磅礴动能，携手各界同仁共绘工业绿色高质 量发展新画卷！ 6．公共关系、社会公益事业 公司积极投身社会公益事业，以回馈社会。成立临安区首家企业级“助残共富基地” ，每年积极开 展爱心接力活动。2025 年度，公司开展了为环卫工撑起爱心伞全国百城公益行动、志愿服务走进金岫 村活动、助残共富爱心义卖等公益活动，,1,data/text/002276.SZ/2025/annual_report.txt,False
17,inspect_esg_tables,19,99.322917,174,359,185,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,00228.HK,CHINA ENERGY,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,"essing climate change. We will continue to improve strategy development, risk management and the identification and management of metrics and targets to tackle climate change in pursuit of sustainable development with various sectors of society. For GHG emissions data, please refer to KPI A1.4 Greenhouse gas emissions in total and where appropriate, intensity on page 113–114 of this ESG Report. For “Indicators and Target”, please refer to page 36 of this ESG Report. 風險分類氣候相關風險評估 關於風險分類氣候相關風險評估的細",2,data/text/hkex_reports/00228.HK/2025/annual_report.txt|data/text/hkex_reports/00228.HK/2025/esg_report.txt,False
18,inspect_esg_tables,20,99.322917,77,284,207,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002335.SZ,科华数据,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,".37 增值税借方余额重分类 201,274,902.21 107,966,512.37 预缴所得税 2,303,927.88 4,605,196.63 148 === PAGE 149 === 科华数据股份有限公司 2025 年年度报告全文 预缴其他税费 15,338.84 19,704.29 碳排放权资产 合计 640,057,022.19 345,301,033.66 其他说明： 碳排放配额变动情况： 2025 年度 项目 数量（单位：吨） 金额 1.2024 年12 月 31 日碳排放配额 14,848.00 —— 2.本期增加的碳排放配额 311,136.00 —— （1）免费分配取得的配额 307,823.00 － （2）购入取得的配额 3,313.00 348,102.27 3.本期减少的碳排放配额 324,034.00 —— （1）履约使用的配额 317,100.00 348,102.27 （2）出售的配额 6,934.00 215,115.88 4.2025 年12 月 31 日碳排放配额 1,950.00 —— 14、债权投资 （1） 债权投资的情况 单位：元 项目",1,data/text/002335.SZ/2025/annual_report.txt,False
19,inspect_esg_tables,22,99.322917,135,250,115,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002479.SZ,富春环保,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,"新污染物清单》，垃圾焚烧、化工、钢铁 等行业排放标准趋严，推动监测频次及精度升级。鉴于监测周期、政策力度及成本等因素， 用户企业主动监测意愿不强，监测需求释放滞后。 此外，在“3060”碳达峰、碳中和的远景目标下和相关政策的推动下，公司积极开展碳 排放配额的核查履约等相关工作。报告期内，公司积极参与碳排放交易，交易碳配额 32.62 万吨，交易总金额 1,972.55 万元。截至本报告期末，公司履约清缴后的碳排放配额（CEA） 结余量为 95.56 万吨。 2025 年，公司持续以党的二十大精神为指引，坚持稳中求进的工作总基调，以“拓展 循环经济，实现持续发展”的经营理念，以园区基地为依托，围绕下游用户需求，搭建“节 能+” 、 “环保+”的综合服务体系。报告期内，公司在稳健运营现有项目的同时，积极拓 展新项目、研发新技术，稳步推进多燃料替代、智慧电厂等项目建设与试运行，在改善环境 质量、优化能源结构的过程中实现自身高质量发展，努力将公司打造成国内循环经济产业领 域的卓越企业。 二、报告期内公司所处行业情况 （一）热电联产业务 根据中国证监会发布的《上市公司行业分类指引（2012 年修",1,data/text/002479.SZ/2025/annual_report.txt,False
20,inspect_esg_tables,23,99.322917,176,281,105,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002487.SZ,大金重工,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,已建设并运营辽 宁阜新彰武西六家子250MW 风电场项目及唐山十里海250MW 渔光互补光伏项目，总装机容量为500MW， 16 === PAGE 17 === 大金重工股份有限公司 2025年年度报告全文 均已并网发电。自 2023 年运行以来，累计上网电量 19.45 亿千瓦时，累计减少二氧化碳排放约 103.22 万 吨，此外，公司在建的新能源电站预计总装机容量为 950MW，持续贡献绿电，助力全球低碳转型。 （6）战略性、系统化推进可持续发展，助力公司全球化业务发展 公司从治理层面为 ESG 战略提供了坚实保障。2025 年，公司修订了《战略与可持续发展委员会实施 细则》，将原战略委员会正式更名为“战略与可持续发展委员会”，并由董事长亲自担任主任委员。委 员会下设“可持续发展中心”作为日常工作机构，确保可持续发展战略能够自上而下地有效推动和执行。 公司将可持续发展提升至核心战略层面，公司过去一年的 ESG 实践与经营战略高度协同，不仅获得 了多项极具分量的国际评级和认证，还在科学碳目标和绿色供应链等关键领域实现了行业引领，主要包 括： 2025 年 5 月，蓬莱大金正式通过科学,1,data/text/002487.SZ/2025/annual_report.txt,False
21,inspect_esg_tables,24,99.322917,121,315,194,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002506.SZ,协鑫集成,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,disclosed_non_revenue_denominator,能源 101-4 确定生物多样性影响 不适用 3-3 实质性议题管理 101-5 具有生物多样性影响的地点 不适用 能源管理与可再生能 源利用 === PAGE 87 === 协鑫集成科技股份有限公司 2025 年可持续发展报告 平等包容 开篇 可持续发展战略与治理 年度专题 商业互信 附录 自然生态 85 卓越创新 披露议题 / 披露项 披露项标题 章节索引 披露议题 / 披露项 披露项标题 章节索引 302-1 组织内部的能源消耗量 能源管理与可再生能 源利用 305-1 直接（范畴 1）温室气体排放 应对气候变化 305-2 能源间接（范畴 2）温室气体排放 应对气候变化 302-2 组织外部的能源消耗量 能源管理与可再生能 源利用 305-3 其他间接（范畴 3）温室气体排放 应对气候变化 305-4 温室气体排放强度 应对气候变化 302-3 能源强度 能源管理与可再生能 源利用 305-5 温室气体减排量 应对气候变化 305-7 氮氧化物（NOx）、硫氧化物（SOx） 和其他重大气体排放 污染物排放 302-4 减少能源消耗量 能源管理与可再生能 源利用 GRI 306 ,2,data/text/002506.SZ/2025/annual_report.txt|data/text/002506.SZ/2025/esg_report.txt,False
22,inspect_esg_tables,25,99.322917,177,376,199,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002531.SZ,天顺风能,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,腐蚀速率； 破坏性海浪及风暴潮增加。 • • 增加维护成本、设备寿命缩短； 风电设备更新周期缩短。 32 === PAGE 35 === 报告编制说明 董事长致辞 关于天顺风能 治理篇 运营篇 环境篇 社会篇 附录 转型风险 影响类别 风险类型 风险描述 潜在财务影响 应对策略 政策和 法律法规 温室气体排放 定价提高 • • • 现有产品和服务的政府气候合 规监管要求趋严； 产能扩张受限，控制生产及运 营安全的压力增加； 风险的不确定性高。 • • • • 环保设施的投运，导致制造成本增 • 加； 供应链的综合成本波动变大； 服务效率降低； 连续性生产被中断的可能性增大。 • • 持续监测国家、地区政策，识 别政策热点，积极将气候变化 纳入战略决策考量中； 加快淘汰高排放、产能落后的 设备设施； 加快绿电交易进展。 原材料成本上涨 市场 • • 原料价格提高，排放要求变化 趋严； 能源成本的突变和意外变化。 • 增加采购和制造成本。 • • 研发可回收、高性能替代原材 料； 加速风电场的开发运营进度。 • 利益相关方 负面反馈日益关切 声誉 • 投融资机构对企业ESG表现出 积极的态,2,data/text/002531.SZ/2025/annual_report.txt|data/text/002531.SZ/2025/esg_report.txt,False
23,inspect_esg_tables,26,99.322917,149,436,287,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002608.SZ,江苏国信,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,"全责任链条。扎实开展安全生产和消 防标准化达标建设工作，全面推进电力安全治理体系建设专项行动，持续开展“安全生产月”“消防宣传月”等活动。 能源板块方面，公司抓住政策机会，重大能源项目持续落地，国信滨电、国信沙洲、国信马洲百万千瓦煤电项目年内并 网发电，国信扬电三期开工建设。公司全年发电量迈上新台阶，迎峰度夏期间单日、单月电量均创历史新高。持续深化 精细化管理，多措并举压降煤炭成本，全年入厂煤价在同区域发电集团中处于较好水平，江苏省内煤机经济煤种掺烧率 同比增长 1 个百分点。供电煤耗和燃煤机组碳排放强度均有下降，融资成本持续压降。在新能源领域，报告期内公司深 化与江苏新能的合作，加大项目储备力度，持续推进参股项目建设。金融板块方面，公司立足自身功能定位，加大转型 发展和拓市增收力度。顺应信托“三分类”监管导向，围绕服务实体经济、助力“双碳”目标、乡村振兴等战略任务进 行前瞻性布局，加快发展主动管理类标品信托、家族信托等业务，不断增强服务国计民生能力，受托管理信托资产规模 突破万亿大关。 截至本报告期末，公司资产总额 1,012.84 亿元，较期初增长 5.59%；归属于上市公司股东的",1,data/text/002608.SZ/2025/annual_report.txt,False
24,inspect_esg_tables,27,99.322917,128,395,267,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002692.SZ,远程股份,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,related_disclosure_without_compatible_intensity,证 产品 CCC 认证；公司拥有自主进出口权，是“国家专精特新小巨人企业”“全国用户满意企业”“省级绿色工厂”“江 苏省计量保证确认单位”“守合同重信用企业”“江苏省智能制造示范车间”“中国线缆产业最具竞争力企业 100 强” “宜兴市工业明星企业” ，是全国电线电缆行业首批通过 ISO14064 温室气体核查的企业。公司先后获得了多种资质认 证，可以广泛参与各种电线电缆项目的工程招投标，为公司进一步做大做强奠定了坚实的基础。公司“远程”牌电线电 缆享有“全国用户满意产品”“江苏省名牌产品”“江苏省重点保护产品”“江苏省著名商标”等荣誉称号。 3、客户结构以及营销优势 公司主要客户为国家电网公司及其关联企业、中国国家铁路集团及其关联企业、中国宝武集团及其关联企业、中国 五矿集团及其关联企业等大型国企央企优质客户。这些大客户经济实力强、商业信誉好，对电线电缆产品的需求持续稳 定、产品品质要求较高、需求数量较大，公司将主要目标客户定位于这些大客户，不仅可以有效避免低价恶性竞争、提 高销售回款率和应收账款质量，还提高了公司的品牌影响力。公司产品销售以直销为主，直接面向客户，可以减少中间 环节,1,data/text/002692.SZ/2025/annual_report.txt,False
25,inspect_esg_tables,28,99.322917,90,217,127,True,1.0,1.0,1.0,1.0,0.932292,39,3.6,002709.SZ,天赐材料,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,no_matching_disclosure_in_text,,1,data/text/002709.SZ/2025/annual_report.txt,False
26,inspect_esg_tables,186,92.361111,70,219,149,True,1.0,1.0,0.716667,1.0,0.944444,32,2.58,00002.HK,CLP HOLDINGS,Q_E_ENERGY_INTENSITY,综合能源消耗强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0,ambiguous_intensity_disclosure,"ishing itself as a high- quality green marine fuel bunkering centre. Delivering Climate Vision 2050 CLP’s Climate Vision 2050 sets out our long-term ambition to transition to a low-carbon portfolio while continuing to deliver reliable and affordable energy. In 2025, we further reduced the Group’s greenhouse gas emissions intensity to 0.50 kilogramme carbon dioxide-equivalent per kilowatt hour as we lowered coal consumption by over 10% and further expanded our non-carbon portfolio. We also moved ",1,data/text/hkex_reports/00002.HK/2025/annual_report.txt,False
