impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,missing_esg_document,esg_status,company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
47,90.0,32,321,289,True,1.0,1.0,1.0,False,embedded_in_annual,09689.HK,JTF INTL,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
48,90.0,129,404,275,True,1.0,1.0,1.0,False,embedded_in_annual,300037.SZ,新宙邦,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
49,90.0,169,335,166,True,1.0,1.0,1.0,False,embedded_in_annual,300040.SZ,九洲集团,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
50,90.0,69,263,194,True,1.0,1.0,1.0,False,embedded_in_annual,300073.SZ,当升科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
51,90.0,166,424,258,True,1.0,1.0,1.0,False,embedded_in_annual,300105.SZ,龙源技术,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
52,90.0,78,374,296,True,1.0,1.0,1.0,False,embedded_in_annual,300191.SZ,潜能恒信,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
53,90.0,138,378,240,True,1.0,1.0,1.0,False,embedded_in_annual,300316.SZ,晶盛机电,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
54,90.0,137,280,143,True,1.0,1.0,1.0,False,embedded_in_annual,300376.SZ,易事特,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
55,90.0,197,338,141,True,1.0,1.0,1.0,False,embedded_in_annual,300407.SZ,凯发电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
56,90.0,36,369,333,True,1.0,1.0,1.0,False,embedded_in_annual,300483.SZ,首华燃气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
57,90.0,136,399,263,True,1.0,1.0,1.0,False,embedded_in_annual,300568.SZ,星源材质,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
58,90.0,101,275,174,True,1.0,1.0,1.0,False,embedded_in_annual,300693.SZ,盛弘股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
59,90.0,130,266,136,True,1.0,1.0,1.0,False,embedded_in_annual,300724.SZ,捷佳伟创,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
60,90.0,6,405,399,True,1.0,1.0,1.0,False,embedded_in_annual,300750.SZ,宁德时代,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
61,90.0,179,292,113,True,1.0,1.0,1.0,False,embedded_in_annual,300763.SZ,锦浪科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
62,90.0,103,295,192,True,1.0,1.0,1.0,False,embedded_in_annual,300820.SZ,英杰电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
63,90.0,185,430,245,True,1.0,1.0,1.0,False,embedded_in_annual,300827.SZ,上能电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
64,90.0,62,208,146,True,1.0,1.0,1.0,False,embedded_in_annual,300882.SZ,万胜智能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
65,90.0,158,437,279,True,1.0,1.0,1.0,False,embedded_in_annual,300953.SZ,震裕科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
66,90.0,165,337,172,True,1.0,1.0,1.0,False,embedded_in_annual,301168.SZ,通灵股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
67,90.0,156,336,180,True,1.0,1.0,1.0,False,embedded_in_annual,301388.SZ,欣灵电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
68,90.0,158,265,107,True,1.0,1.0,1.0,False,embedded_in_annual,600021.SH,上海电力,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
69,90.0,155,327,172,True,1.0,1.0,1.0,False,embedded_in_annual,600157.SH,永泰能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
70,90.0,91,433,342,True,1.0,1.0,1.0,False,embedded_in_annual,600188.SH,兖矿能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
71,90.0,191,353,162,True,1.0,1.0,1.0,False,embedded_in_annual,600310.SH,广西能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
72,90.0,126,319,193,True,1.0,1.0,1.0,False,collected,600395.SH,盘江股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
73,90.0,163,300,137,True,1.0,1.0,1.0,False,embedded_in_annual,600509.SH,天富能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
74,90.0,199,353,154,True,1.0,1.0,1.0,False,embedded_in_annual,600617.SH,国新能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
75,90.0,74,322,248,True,1.0,1.0,1.0,False,collected,600744.SH,华银电力,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
76,90.0,33,212,179,True,1.0,1.0,1.0,False,collected,600780.SH,XD通宝能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
77,90.0,63,477,414,True,1.0,1.0,1.0,False,embedded_in_annual,600875.SH,东方电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
78,90.0,148,281,133,True,1.0,1.0,1.0,False,embedded_in_annual,600925.SH,苏能股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
79,90.0,102,234,132,True,1.0,1.0,1.0,False,collected,600969.SH,郴电国际,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
80,90.0,187,361,174,True,1.0,1.0,1.0,False,embedded_in_annual,601222.SH,林洋能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
81,90.0,170,337,167,True,1.0,1.0,1.0,False,embedded_in_annual,603070.SH,万控智造,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
82,90.0,160,292,132,True,1.0,1.0,1.0,False,embedded_in_annual,603097.SH,江苏华辰,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
83,90.0,178,344,166,True,1.0,1.0,1.0,False,collected,603320.SH,迪贝电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
84,90.0,115,267,152,True,1.0,1.0,1.0,False,embedded_in_annual,603393.SH,新天然气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
85,90.0,88,210,122,True,1.0,1.0,1.0,False,collected,603507.SH,振江股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
86,90.0,183,420,237,True,1.0,1.0,1.0,False,embedded_in_annual,603577.SH,汇金通,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
87,90.0,196,330,134,True,1.0,1.0,1.0,False,embedded_in_annual,603628.SH,清源股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
88,90.0,150,310,160,True,1.0,1.0,1.0,False,embedded_in_annual,603727.SH,博迈科,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
89,90.0,141,251,110,True,1.0,1.0,1.0,False,embedded_in_annual,603728.SH,鸣志电器,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
90,90.0,197,374,177,True,1.0,1.0,1.0,False,embedded_in_annual,603819.SH,神力股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
91,90.0,177,296,119,True,1.0,1.0,1.0,False,embedded_in_annual,603829.SH,洛凯股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
92,90.0,156,384,228,True,1.0,1.0,1.0,False,collected,605028.SH,世茂能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
93,90.0,151,282,131,True,1.0,1.0,1.0,False,collected,605196.SH,华通线缆,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
94,90.0,174,341,167,True,1.0,1.0,1.0,False,embedded_in_annual,605222.SH,起帆电缆,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
