priority,company_code,company_name,report_year,indicator_code,indicator_weight,tier,candidate_count,distinct_values,max_confidence,current_rank,best_rank,worst_rank,rank_span,crosses_top_200,conflict_risk,boundary_risk,instability_risk,weight_risk,confidence_risk,impact_score,baseline_confidence_rank,baseline_weight_rank,next_action
94,688598.SH,金博股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,16.99|23.2159|23.22,0.94,346,213,413,200,False,1.0,0.793651,1.0,0.311111,0.06,79.807937,252,151,review_conflict_candidates
95,601669.SH,中国电建,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,79.59|79.5922,0.94,134,134,208,74,True,1.0,1.0,0.74,0.311111,0.06,79.766667,210,109,review_conflict_candidates
96,600758.SH,辽宁能源,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-15.1285|60.9293,0.91,181,181,260,79,True,1.0,1.0,0.79,0.233333,0.09,79.75,47,202,review_conflict_candidates
97,688616.SH,西力科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-32.5723|-3.51838,0.91,171,171,249,78,True,1.0,1.0,0.78,0.233333,0.09,79.55,103,262,review_conflict_candidates
98,300080.SZ,易成新能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,63.05|63.0518,0.94,419,214,484,270,False,1.0,0.78125,1.0,0.311111,0.06,79.497917,154,53,review_conflict_candidates
99,600379.SH,宝光股份,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-13.8757|-0.446103,0.91,178,178,255,77,True,1.0,1.0,0.77,0.233333,0.09,79.35,35,188,review_conflict_candidates
100,600644.SH,乐山电力,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,6.24241|7.40619,0.91,162,162,239,77,True,1.0,1.0,0.77,0.233333,0.09,79.35,42,197,review_conflict_candidates
101,600379.SH,宝光股份,2025,Q_G_ROE,2.1,manual_signature_required,2,6.7|6.7057,0.92,178,178,255,77,True,1.0,1.0,0.77,0.233333,0.08,79.3,112,189,review_conflict_candidates
102,603191.SH,望变电气,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,56.95|65.5809,0.94,64,64,184,120,False,1.0,0.757576,1.0,0.311111,0.06,78.906061,218,117,review_conflict_candidates
103,688226.SH,威腾电气,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,64.58|65.52|65.5235,0.94,150,150,218,68,True,1.0,1.0,0.68,0.311111,0.06,78.566667,237,136,review_conflict_candidates
104,002812.SZ,恩捷股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,44.17|44.48,0.9,201,201,270,69,False,1.0,0.980392,0.69,0.311111,0.1,78.476471,7,48,review_conflict_candidates
105,600438.SH,通威股份,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,72.63|72.6338,0.94,272,218,364,146,False,1.0,0.735294,1.0,0.311111,0.06,78.34902,185,84,review_conflict_candidates
106,603312.SH,西典新能,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,3.30647|28.5162,0.91,145,145,216,71,True,1.0,1.0,0.71,0.233333,0.09,78.15,70,228,review_conflict_candidates
107,00600.HK,AXERA,2025,Q_E_GHG_INTENSITY,9.0,manual_signature_required,2,12.5|7003.1,0.92,314,314,524,210,False,1.0,0.304878,1.0,1.0,0.08,78.021951,111,1,review_conflict_candidates
108,000600.SZ,建投能源,2025,Q_S_RD_RATE,3.0,manual_signature_required,2,5.85374|5.91,0.94,176,176,239,63,True,1.0,1.0,0.63,0.333333,0.06,77.9,124,5,review_conflict_candidates
109,688191.SH,智洋创新,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-13.9616|21.692,0.91,127,127,199,72,False,1.0,0.980392,0.72,0.233333,0.09,77.859804,87,245,review_conflict_candidates
110,688226.SH,威腾电气,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-14.7651|10.6502,0.91,150,150,218,68,True,1.0,1.0,0.68,0.233333,0.09,77.55,88,246,review_conflict_candidates
111,601727.SH,上海电气,2025,Q_S_RD_RATE,3.0,manual_signature_required,2,5|45,0.96,235,223,414,191,False,1.0,0.684932,1.0,0.333333,0.04,77.323288,274,27,review_conflict_candidates
112,688499.SH,利元亨,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,72.68|72.6819,0.94,166,166,227,61,True,1.0,1.0,0.61,0.311111,0.06,77.166667,245,144,review_conflict_candidates
113,003035.SZ,南网能源,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,66.15|66.1507,0.94,89,63,175,112,False,1.0,0.666667,1.0,0.311111,0.06,76.633333,149,50,review_conflict_candidates
114,001896.SZ,豫能控股,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,5,65|66.53|86.8|95,0.9,241,226,326,100,False,1.0,0.657895,1.0,0.311111,0.1,76.614035,5,40,review_conflict_candidates
115,600777.SH,*ST新潮,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,34.3467|34.35,0.94,153,153,211,58,True,1.0,1.0,0.58,0.311111,0.06,76.566667,193,93,review_conflict_candidates
116,600505.SH,西昌电力,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,3.94379|13.6193,0.91,151,151,213,62,True,1.0,1.0,0.62,0.233333,0.09,76.35,39,193,review_conflict_candidates
117,603906.SH,龙蟠科技,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,74.94|79.77|79.7703,0.94,287,227,379,152,False,1.0,0.649351,1.0,0.311111,0.06,76.200433,229,128,review_conflict_candidates
118,688499.SH,利元亨,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-33.3333|23.9799,0.91,166,166,227,61,True,1.0,1.0,0.61,0.233333,0.09,76.15,97,255,review_conflict_candidates
119,688499.SH,利元亨,2025,Q_G_ROE,2.1,manual_signature_required,3,1.54|2.26,0.92,166,166,227,61,True,1.0,1.0,0.61,0.233333,0.08,76.1,117,256,review_conflict_candidates
120,300444.SZ,双杰电气,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,68.07|76.0846,0.94,361,228,424,196,False,1.0,0.641026,1.0,0.311111,0.06,75.992308,156,55,review_conflict_candidates
121,002534.SZ,西子洁能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,57.26|57.2617,0.94,143,143,199,56,False,1.0,0.980392,0.56,0.311111,0.06,75.676471,139,44,review_conflict_candidates
122,688339.SH,亿华通,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-37.0624|-29.4907,0.91,282,225,373,148,False,1.0,0.666667,1.0,0.233333,0.09,75.616667,92,250,review_conflict_candidates
123,603806.SH,福斯特,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,19.5197|19.52,0.94,407,232,473,241,False,1.0,0.609756,1.0,0.311111,0.06,75.210569,228,127,review_conflict_candidates
124,688551.SH,科威尔,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,21.3|21.3025|24.01,0.94,72,33,168,135,False,1.0,0.609756,1.0,0.311111,0.06,75.210569,248,147,review_conflict_candidates
125,603906.SH,龙蟠科技,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-21.5471|0.842116,0.91,287,227,379,152,False,1.0,0.649351,1.0,0.233333,0.09,75.183766,79,237,review_conflict_candidates
126,600021.SH,上海电力,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,69.3152|69.32,0.94,106,96,181,85,False,1.0,0.724638,0.85,0.311111,0.06,75.082609,171,69,review_conflict_candidates
127,002709.SZ,天赐材料,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,33.0176|33.02,0.94,71,32,167,135,False,1.0,0.60241,1.0,0.311111,0.06,75.026908,143,47,review_conflict_candidates
128,688408.SH,中信博,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-23.7245|6.66667,0.91,250,229,339,110,False,1.0,0.632911,1.0,0.233333,0.09,74.772785,96,254,review_conflict_candidates
129,600116.SH,三峡水利,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,54.43|54.4319,0.94,118,118,189,71,False,1.0,0.819672,0.71,0.311111,0.06,74.65847,174,73,review_conflict_candidates
130,603185.SH,弘元绿能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,53.88|53.881,0.94,130,130,193,63,False,1.0,0.877193,0.63,0.311111,0.06,74.496491,217,116,review_conflict_candidates
131,605378.SH,野马电池,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,2,15.4058|15.41,0.94,425,238,500,262,False,1.0,0.568182,1.0,0.311111,0.06,74.171212,232,131,review_conflict_candidates
132,688638.SH,誉辰智能,2025,Q_G_DEBT_ASSET_RATE,2.8,manual_signature_required,3,52.7|67.42|67.4207,0.94,307,238,390,152,False,1.0,0.568182,1.0,0.311111,0.06,74.171212,254,153,review_conflict_candidates
133,600979.SH,广安爱众,2025,Q_G_REVENUE_GROWTH,2.1,manual_signature_required,2,-5.73975|7.17447,0.91,285,233,376,143,False,1.0,0.60241,1.0,0.233333,0.09,74.010241,55,212,review_conflict_candidates
