gap_rank,esg_status,company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
77,missing,001331.SZ,胜通能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
78,missing,001376.SZ,百通能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
79,missing,001896.SZ,豫能控股,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
80,missing,002015.SZ,协鑫能科,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
81,missing,002039.SZ,黔源电力,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
82,missing,002056.SZ,横店东磁,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
83,missing,00206.HK,CM-ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
84,missing,002060.SZ,广东建工,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
85,missing,002074.SZ,国轩高科,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
86,missing,002090.SZ,金智科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
87,missing,002112.SZ,三变科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
88,missing,002121.SZ,科陆电子,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
89,missing,002125.SZ,湘潭电化,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
90,missing,002128.SZ,电投能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
91,missing,002129.SZ,TCL中环,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
92,missing,002169.SZ,智光电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
93,missing,002196.SZ,方正电机,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
94,missing,002202.SZ,金风科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
95,missing,002218.SZ,拓日新能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
96,missing,002221.SZ,东华能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
97,missing,002245.SZ,蔚蓝锂芯,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
98,missing,002249.SZ,大洋电机,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
99,missing,002255.SZ,海陆重工,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
100,missing,002259.SZ,升达林业,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
101,missing,002267.SZ,陕天然气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
102,missing,002270.SZ,华明装备,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
103,missing,002276.SZ,万马股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
104,missing,002300.SZ,太阳电缆,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
105,missing,002309.SZ,中利集团,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
106,missing,002335.SZ,科华数据,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
107,missing,002339.SZ,积成电子,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
108,missing,002340.SZ,格林美,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
109,missing,002346.SZ,柘中股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
110,missing,002350.SZ,北京科锐,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
111,missing,002358.SZ,森源电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
112,missing,002364.SZ,中恒电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
113,missing,002366.SZ,融发核电,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
114,missing,002441.SZ,众业达,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
115,missing,002451.SZ,摩恩电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
116,missing,002452.SZ,长高电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
117,missing,002471.SZ,中超控股,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
118,missing,002479.SZ,富春环保,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
119,missing,002487.SZ,大金重工,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
120,missing,002490.SZ,山东墨龙,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
121,missing,002493.SZ,荣盛石化,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
122,missing,002498.SZ,汉缆股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
123,missing,002518.SZ,科士达,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
124,missing,002527.SZ,新时达,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
125,missing,002533.SZ,金杯电工,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
126,missing,002534.SZ,西子洁能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
127,missing,002546.SZ,新联电子,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
128,missing,002560.SZ,通达股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
129,missing,002576.SZ,通达动力,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
130,missing,002580.SZ,圣阳股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
131,missing,002606.SZ,大连电瓷,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
132,missing,002608.SZ,江苏国信,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
133,missing,002616.SZ,长青集团,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
134,missing,002623.SZ,亚玛顿,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
135,missing,002629.SZ,仁智股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
136,missing,002692.SZ,远程股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
137,missing,002700.SZ,万憬能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
138,missing,002709.SZ,天赐材料,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
139,missing,002733.SZ,雄韬股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
140,missing,00276.HK,MONGOLIA ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
141,missing,002801.SZ,微光股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
142,missing,002805.SZ,丰元股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
143,missing,002812.SZ,恩捷股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
144,missing,002823.SZ,凯中精密,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
145,missing,002828.SZ,贝肯能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
146,missing,002850.SZ,科达利,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
147,missing,002851.SZ,麦格米特,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
148,missing,002857.SZ,三晖电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
149,missing,002865.SZ,钧达股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
150,missing,002879.SZ,长缆科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
151,missing,002882.SZ,金龙羽,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
152,missing,002892.SZ,科力尔,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
153,missing,002893.SZ,京能热力,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
154,missing,002911.SZ,佛燃能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
155,missing,002927.SZ,泰永长征,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
156,missing,00295.HK,KONG SUN HOLD,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
157,missing,002953.SZ,日丰股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
158,missing,002980.SZ,华盛昌,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
159,missing,002986.SZ,宇新股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
160,missing,003021.SZ,兆威机电,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
161,missing,003022.SZ,联泓新科,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
162,missing,003035.SZ,南网能源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
163,missing,00353.HK,ENERGY INTINV,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
164,missing,003816.SZ,中国广核,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
165,missing,00600.HK,AXERA,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
166,missing,00632.HK,CHK OIL,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
167,missing,00645.HK,ARES ASIA,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
168,missing,00689.HK,EPI (HOLDINGS),2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
169,missing,00704.HK,HUSCOKE HLDGS,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
170,missing,00931.HK,CHINA HK POWER,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
171,missing,01080.HK,SHENGLI PIPE,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
172,missing,01277.HK,KINETIC DEV,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
173,missing,01393.HK,HIDILI INDUSTRY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
174,missing,01555.HK,MIE HOLDINGS,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
175,missing,01621.HK,VICO INTL HLDGS,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
176,missing,01938.HK,CHU KONG PIPE,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
177,missing,02178.HK,PETRO-KING,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
178,missing,02798.HK,PER ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
179,missing,03395.HK,JX ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
180,missing,06885.HK,JINMA ENERGY,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
181,missing,08132.HK,CENTURY EN INTL,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
182,missing,08347.HK,F8 ENT,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
183,missing,08536.HK,TL NATURAL GAS,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
184,missing,08631.HK,SUN KONG HLDGS,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
185,missing,09689.HK,JTF INTL,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
186,missing,300018.SZ,中元股份,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
187,missing,300035.SZ,中科电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
188,missing,300037.SZ,新宙邦,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
189,missing,300040.SZ,九洲集团,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
190,missing,300051.SZ,琏升科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
191,missing,300062.SZ,中能电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
192,missing,300069.SZ,金利华电,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
193,missing,300073.SZ,当升科技,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
194,missing,300080.SZ,易成新能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
195,missing,300105.SZ,龙源技术,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
196,missing,300129.SZ,泰胜风能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
197,missing,300140.SZ,节能环境,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
198,missing,300141.SZ,和顺电气,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
199,missing,300153.SZ,科泰电源,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
200,missing,300185.SZ,通裕重工,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
201,missing,300191.SZ,潜能恒信,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
202,missing,300222.SZ,科大智能,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
203,missing,300265.SZ,通光线缆,2025,X_E_BIODIVERSITY,生物多样性保护,7.5,1,evidence_missing,locate_additional_public_evidence
