company_code,company_name,report_year,document_type,source_channel,official_domain,candidate_url,domain_verification,download_status,next_action,scoring_authorized
000791.SZ,甘肃能源,2025,esg_report,issuer_official_website,nyfz.gepic.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000819.SZ,岳阳兴长,2025,annual_report,issuer_official_website,yyxc0819.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000819.SZ,岳阳兴长,2025,esg_report,issuer_official_website,yyxc0819.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000862.SZ,银星能源,2025,annual_report,issuer_official_website,yxny.chinalco.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000862.SZ,银星能源,2025,esg_report,issuer_official_website,yxny.chinalco.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000875.SZ,电投绿能,2025,annual_report,issuer_official_website,spicjl.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000883.SZ,湖北能源,2025,annual_report,issuer_official_website,hbny.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000899.SZ,赣能股份,2025,annual_report,issuer_official_website,000899.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000899.SZ,赣能股份,2025,esg_report,issuer_official_website,000899.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000922.SZ,佳电股份,2025,annual_report,issuer_official_website,jemlc.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000922.SZ,佳电股份,2025,esg_report,issuer_official_website,jemlc.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000937.SZ,冀中能源,2025,annual_report,issuer_official_website,jznygf.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000937.SZ,冀中能源,2025,esg_report,issuer_official_website,jznygf.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000966.SZ,长源电力,2025,annual_report,issuer_official_website,cydl.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000968.SZ,蓝焰控股,2025,annual_report,issuer_official_website,sxlykg.huaxingas.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
000993.SZ,闽东电力,2025,annual_report,issuer_official_website,mdep.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001208.SZ,华菱线缆,2025,annual_report,issuer_official_website,hlxl.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001258.SZ,立新能源,2025,annual_report,issuer_official_website,,,not_submitted,pending_official_url,登记公司官网域名并人工确认域名归属，再发现报告链接,False
001269.SZ,欧晶科技,2025,annual_report,issuer_official_website,ojingquartz.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001283.SZ,豪鹏科技,2025,annual_report,issuer_official_website,highpowertech.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001289.SZ,龙源电力,2025,annual_report,issuer_official_website,clypg.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001299.SZ,美能能源,2025,annual_report,issuer_official_website,meinenggas.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001299.SZ,美能能源,2025,esg_report,issuer_official_website,meinenggas.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001301.SZ,尚太科技,2025,annual_report,issuer_official_website,shangtaitech.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001301.SZ,尚太科技,2025,esg_report,issuer_official_website,shangtaitech.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001331.SZ,胜通能源,2025,annual_report,issuer_official_website,senton.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00135.HK,KUNLUN ENERGY,2024,annual_report,issuer_official_website,kunlun.com.hk,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00135.HK,KUNLUN ENERGY,2024,esg_report,issuer_official_website,kunlun.com.hk,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00135.HK,KUNLUN ENERGY,2025,annual_report,issuer_official_website,kunlun.com.hk,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00135.HK,KUNLUN ENERGY,2025,esg_report,issuer_official_website,kunlun.com.hk,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001376.SZ,百通能源,2025,annual_report,issuer_official_website,jjckb.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00182.HK,CONCORD NE,2024,annual_report,issuer_official_website,cnegroup.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00182.HK,CONCORD NE,2024,esg_report,issuer_official_website,cnegroup.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00182.HK,CONCORD NE,2025,annual_report,issuer_official_website,cnegroup.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00182.HK,CONCORD NE,2025,esg_report,issuer_official_website,cnegroup.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
001896.SZ,豫能控股,2025,annual_report,issuer_official_website,yuneng.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00196.HK,HONGHUA GROUP,2024,annual_report,issuer_official_website,hh-gltd.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00196.HK,HONGHUA GROUP,2024,esg_report,issuer_official_website,hh-gltd.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00196.HK,HONGHUA GROUP,2025,annual_report,issuer_official_website,hh-gltd.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00196.HK,HONGHUA GROUP,2025,esg_report,issuer_official_website,hh-gltd.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002015.SZ,协鑫能科,2025,annual_report,issuer_official_website,gcl-et.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002015.SZ,协鑫能科,2025,esg_report,issuer_official_website,gcl-et.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002028.SZ,思源电气,2025,annual_report,issuer_official_website,rs.stcn.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002028.SZ,思源电气,2025,esg_report,issuer_official_website,rs.stcn.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002039.SZ,黔源电力,2025,annual_report,issuer_official_website,gzqydl.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002056.SZ,横店东磁,2025,annual_report,issuer_official_website,dmegc.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00206.HK,CM-ENERGY,2024,annual_report,issuer_official_website,cm-energy.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00206.HK,CM-ENERGY,2025,annual_report,issuer_official_website,cm-energy.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002060.SZ,广东建工,2025,annual_report,issuer_official_website,gdcegs.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002074.SZ,国轩高科,2025,annual_report,issuer_official_website,gotion.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002074.SZ,国轩高科,2025,esg_report,issuer_official_website,gotion.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002090.SZ,金智科技,2025,annual_report,issuer_official_website,wiscom.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002090.SZ,金智科技,2025,esg_report,issuer_official_website,wiscom.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002112.SZ,三变科技,2025,annual_report,issuer_official_website,sanbian.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002121.SZ,科陆电子,2025,annual_report,issuer_official_website,szclou.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002125.SZ,湘潭电化,2025,annual_report,issuer_official_website,chinaemd.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002128.SZ,电投能源,2025,annual_report,issuer_official_website,,,not_submitted,pending_official_url,登记公司官网域名并人工确认域名归属，再发现报告链接,False
002128.SZ,电投能源,2025,esg_report,issuer_official_website,,,not_submitted,pending_official_url,登记公司官网域名并人工确认域名归属，再发现报告链接,False
002129.SZ,TCL中环,2025,annual_report,issuer_official_website,tzeco.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002129.SZ,TCL中环,2025,esg_report,issuer_official_website,tzeco.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002169.SZ,智光电气,2025,annual_report,issuer_official_website,gzzg.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002196.SZ,方正电机,2025,annual_report,issuer_official_website,fdm.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002202.SZ,金风科技,2025,annual_report,issuer_official_website,plcsj.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002202.SZ,金风科技,2025,esg_report,issuer_official_website,plcsj.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002218.SZ,拓日新能,2025,annual_report,issuer_official_website,topraysolar.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002221.SZ,东华能源,2025,annual_report,issuer_official_website,chinadhe.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002245.SZ,蔚蓝锂芯,2025,annual_report,issuer_official_website,azurecorp.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002245.SZ,蔚蓝锂芯,2025,esg_report,issuer_official_website,azurecorp.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002249.SZ,大洋电机,2025,annual_report,issuer_official_website,broad-ocean.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002255.SZ,海陆重工,2025,annual_report,issuer_official_website,hailu-boiler.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002259.SZ,升达林业,2025,annual_report,issuer_official_website,shengdawood.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002267.SZ,陕天然气,2025,annual_report,issuer_official_website,shaanxigas.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002267.SZ,陕天然气,2025,esg_report,issuer_official_website,shaanxigas.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002270.SZ,华明装备,2025,annual_report,issuer_official_website,huaming.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002276.SZ,万马股份,2025,annual_report,issuer_official_website,wanmaco.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00228.HK,CHINA ENERGY,2024,annual_report,issuer_official_website,hkicpa.org.hk,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00228.HK,CHINA ENERGY,2024,esg_report,issuer_official_website,hkicpa.org.hk,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00228.HK,CHINA ENERGY,2025,annual_report,issuer_official_website,hkicpa.org.hk,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
00228.HK,CHINA ENERGY,2025,esg_report,issuer_official_website,hkicpa.org.hk,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002300.SZ,太阳电缆,2025,annual_report,issuer_official_website,npcable.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002300.SZ,太阳电缆,2025,esg_report,issuer_official_website,npcable.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002309.SZ,中利集团,2025,annual_report,issuer_official_website,zhongli.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002335.SZ,科华数据,2025,annual_report,issuer_official_website,kehua.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002339.SZ,积成电子,2025,annual_report,issuer_official_website,ieslab.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002340.SZ,格林美,2025,annual_report,issuer_official_website,gem.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002340.SZ,格林美,2025,esg_report,issuer_official_website,gem.com.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002346.SZ,柘中股份,2025,annual_report,issuer_official_website,zhezhong.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002350.SZ,北京科锐,2025,annual_report,issuer_official_website,creat-gr.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002350.SZ,北京科锐,2025,esg_report,issuer_official_website,creat-gr.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002358.SZ,森源电气,2025,annual_report,issuer_official_website,hnsyec.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002364.SZ,中恒电气,2025,annual_report,issuer_official_website,hzzh.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002366.SZ,融发核电,2025,annual_report,issuer_official_website,ytthm.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002441.SZ,众业达,2025,annual_report,issuer_official_website,zqrb.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002451.SZ,摩恩电气,2025,annual_report,issuer_official_website,mornelectric.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002452.SZ,长高电新,2025,annual_report,issuer_official_website,changgaogroup.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002459.SZ,晶澳科技,2025,annual_report,issuer_official_website,bia.hinature.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002459.SZ,晶澳科技,2025,esg_report,issuer_official_website,bia.hinature.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002471.SZ,中超控股,2025,annual_report,issuer_official_website,zcdlgf.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002479.SZ,富春环保,2025,annual_report,issuer_official_website,zhefuet.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002479.SZ,富春环保,2025,esg_report,issuer_official_website,zhefuet.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002487.SZ,大金重工,2025,annual_report,issuer_official_website,dajin.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002487.SZ,大金重工,2025,esg_report,issuer_official_website,dajin.cn,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002490.SZ,山东墨龙,2025,annual_report,issuer_official_website,molonggroup.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002493.SZ,荣盛石化,2025,annual_report,issuer_official_website,cnrspc.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002493.SZ,荣盛石化,2025,esg_report,issuer_official_website,cnrspc.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002498.SZ,汉缆股份,2025,annual_report,issuer_official_website,hanhe-cable.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002506.SZ,协鑫集成,2025,annual_report,issuer_official_website,gclsi.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
002506.SZ,协鑫集成,2025,esg_report,issuer_official_website,gclsi.com,,verified,pending_report_discovery,在已核验官网域名下发现HTTPS年报/ESG报告PDF链接,False
