impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,key_indicator_risk,population_scarcity_risk,indicator_population,neutral_vs_zero_total_score_delta,company_code,company_name,indicator_code,indicator_name,dimension,key_indicator,candidate_count,report_years,source_pages,max_confidence,status,next_action,priority
38,99.340278,5,542,537,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00353.HK,ENERGY INTINV,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
39,99.340278,43,318,275,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00384.HK,CHINA GAS HOLD,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
40,99.340278,18,327,309,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00467.HK,UNITEDENERGY GP,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
41,99.340278,67,496,429,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00554.HK,HANS GP HLDGS,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
42,99.340278,63,236,173,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00579.HK,JNCEC,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
43,99.340278,131,543,412,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00607.HK,FULLSHARE,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
44,99.340278,141,432,291,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00632.HK,CHK OIL,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
45,99.340278,29,489,460,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00645.HK,ARES ASIA,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
46,99.340278,161,340,179,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00650.HK,PRODUCTIVE TECH,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
47,99.340278,27,217,190,True,1.0,1.0,1.0,1.0,0.934028,38,3.6,00666.HK,REPT BATTERO,Q_E_GHG_INTENSITY,温室气体排放强度,E,True,0,,,0,missing_candidate,extend_extraction_rules,0
