company_code,company_name,best_rank,worst_rank,rank_span,score_span,disclosure_rate,credibility_grade,stability_priority_score,next_action
03800.HK,GCL TECH,180,433,253,45.44,6.25,D,126.5,优先补证并复核缺失策略敏感性
603577.SH,汇金通,133,384,251,31.8,26.25,D,125.5,优先补证并复核缺失策略敏感性
920375.BJ,派诺科技,195,446,251,45.8,6.25,D,125.5,优先补证并复核缺失策略敏感性
00392.HK,BEIJING ENT,70,318,248,43.57,10.0,D,124.0,优先补证并复核缺失策略敏感性
920252.BJ,天宏锂电,280,528,248,49.16,1.25,D,124.0,优先补证并复核缺失策略敏感性
00135.HK,KUNLUN ENERGY,21,267,246,47.57,11.25,D,123.0,优先补证并复核缺失策略敏感性
300316.SZ,晶盛机电,78,323,245,30.72,27.5,D,122.5,优先补证并复核缺失策略敏感性
601898.SH,中煤能源,162,407,245,44.8,6.25,D,122.5,优先补证并复核缺失策略敏感性
06828.HK,BG BLUE SKY,30,271,241,45.52,11.25,D,120.5,优先补证并复核缺失策略敏感性
603806.SH,福斯特,232,473,241,33.8,22.5,D,120.5,优先补证并复核缺失策略敏感性
01250.HK,SDHS NEW ENERGY,91,331,240,43.24,10.0,D,120.0,优先补证并复核缺失策略敏感性
301226.SZ,祥明智能,221,460,239,33.52,23.75,D,119.5,优先补证并复核缺失策略敏感性
603016.SH,新宏泰,191,430,239,32.96,23.75,D,119.5,优先补证并复核缺失策略敏感性
001208.SZ,华菱线缆,149,386,237,44.32,7.5,D,118.5,优先补证并复核缺失策略敏感性
01205.HK,CITIC RESOURCES,7,241,234,55.75,11.25,D,117.0,优先补证并复核缺失策略敏感性
00206.HK,CM-ENERGY,295,526,231,48.6,2.5,D,115.5,优先补证并复核缺失策略敏感性
920368.BJ,连城数控,294,525,231,48.6,2.5,D,115.5,优先补证并复核缺失策略敏感性
600405.SH,动力源,295,524,229,35.0,21.25,D,114.5,优先补证并复核缺失策略敏感性
601218.SH,吉鑫科技,198,427,229,33.24,23.75,D,114.5,优先补证并复核缺失策略敏感性
605011.SH,杭州热电,27,256,229,28.83,27.5,D,114.5,优先补证并复核缺失策略敏感性
600167.SH,联美控股,187,415,228,33.06,20.0,D,114.0,优先补证并复核缺失策略敏感性
920809.BJ,安达科技,315,543,228,49.44,1.25,D,114.0,优先补证并复核缺失策略敏感性
00819.HK,TIANNENG POWER,210,437,227,45.44,6.25,D,113.5,优先补证并复核缺失策略敏感性
01811.HK,CGN NEW ENERGY,121,348,227,43.56,10.0,D,113.5,优先补证并复核缺失策略敏感性
001376.SZ,百通能源,150,376,226,44.04,8.75,D,113.0,优先补证并复核缺失策略敏感性
300035.SZ,中科电气,144,370,226,43.92,8.75,D,113.0,优先补证并复核缺失策略敏感性
688148.SH,芳源股份,242,468,226,34.36,21.25,D,113.0,优先补证并复核缺失策略敏感性
00579.HK,JNCEC,110,335,225,43.2,10.0,D,112.5,优先补证并复核缺失策略敏感性
000049.SZ,德赛电池,274,498,224,47.12,3.75,D,112.0,优先补证并复核缺失策略敏感性
002276.SZ,万马股份,119,343,224,31.92,26.25,D,112.0,优先补证并复核缺失策略敏感性
002608.SZ,江苏国信,292,515,223,47.96,2.5,D,111.5,优先补证并复核缺失策略敏感性
00704.HK,HUSCOKE HLDGS,228,451,223,45.8,6.25,D,111.5,优先补证并复核缺失策略敏感性
600192.SH,长城电工,247,470,223,34.44,22.5,D,111.5,优先补证并复核缺失策略敏感性
600725.SH,云维股份,273,496,223,35.6,21.25,D,111.5,优先补证并复核缺失策略敏感性
601616.SH,广电电气,219,441,222,33.6,23.75,D,111.0,优先补证并复核缺失策略敏感性
00607.HK,FULLSHARE,321,542,221,49.16,1.25,D,110.5,优先补证并复核缺失策略敏感性
01713.HK,SICHUAN EN INV,100,319,219,42.8,10.0,D,109.5,优先补证并复核缺失策略敏感性
300286.SZ,安科瑞,183,402,219,44.52,7.5,D,109.5,优先补证并复核缺失策略敏感性
920237.BJ,力佳科技,300,518,218,48.04,2.5,D,109.0,优先补证并复核缺失策略敏感性
920299.BJ,灿能电力,288,506,218,47.48,3.75,D,109.0,优先补证并复核缺失策略敏感性
002039.SZ,黔源电力,6,223,217,55.07,11.25,D,108.5,优先补证并复核缺失策略敏感性
00276.HK,MONGOLIA ENERGY,320,537,217,49.16,1.25,D,108.5,优先补证并复核缺失策略敏感性
08631.HK,YUFENGCHANG HLD,331,548,217,49.16,1.25,D,108.5,优先补证并复核缺失策略敏感性
600905.SH,三峡能源,39,256,217,29.82,26.25,D,108.5,优先补证并复核缺失策略敏感性
600995.SH,南网储能,16,233,217,26.57,27.5,D,108.5,优先补证并复核缺失策略敏感性
300626.SZ,华瑞股份,275,491,216,35.96,20.0,D,108.0,优先补证并复核缺失策略敏感性
600847.SH,万里股份,293,509,216,36.76,18.75,D,108.0,优先补证并复核缺失策略敏感性
600938.SH,中国海油,301,517,216,47.96,2.5,D,108.0,优先补证并复核缺失策略敏感性
00689.HK,EPI (HOLDINGS),269,483,214,46.64,5.0,D,107.0,优先补证并复核缺失策略敏感性
00600.HK,AXERA,314,524,210,48.2,1.25,D,105.0,优先补证并复核缺失策略敏感性
688353.SH,华盛锂电,254,464,210,35.0,21.25,D,105.0,优先补证并复核缺失策略敏感性
300274.SZ,阳光电源,60,268,208,41.6,13.75,D,104.0,优先补证并复核缺失策略敏感性
301222.SZ,浙江恒威,297,505,208,37.24,17.5,D,104.0,优先补证并复核缺失策略敏感性
600395.SH,盘江股份,91,299,208,31.8,26.25,D,104.0,优先补证并复核缺失策略敏感性
688275.SH,万润新能,252,459,207,35.16,21.25,D,103.5,优先补证并复核缺失策略敏感性
600032.SH,浙江新能,145,351,206,32.81,23.75,D,103.0,优先补证并复核缺失策略敏感性
600903.SH,贵州燃气,107,313,206,32.09,25.0,D,103.0,优先补证并复核缺失策略敏感性
688573.SH,信宇人,280,486,206,36.48,20.0,D,103.0,优先补证并复核缺失策略敏感性
000037.SZ,深南电A,71,276,205,41.24,12.5,D,102.5,优先补证并复核缺失策略敏感性
08132.HK,CENTURY EN INTL,281,486,205,46.64,5.0,D,102.5,优先补证并复核缺失策略敏感性
000096.SZ,广聚能源,64,267,203,30.8,27.5,D,101.5,优先补证并复核缺失策略敏感性
300073.SZ,当升科技,29,232,203,29.6,28.75,D,101.5,优先补证并复核缺失策略敏感性
600452.SH,涪陵电力,279,482,203,46.52,5.0,D,101.5,优先补证并复核缺失策略敏感性
601908.SH,京运通,260,463,203,35.56,20.0,D,101.5,优先补证并复核缺失策略敏感性
920152.BJ,昆工科技,321,523,202,48.04,2.5,D,101.0,优先补证并复核缺失策略敏感性
301502.SZ,华阳智能,182,383,201,33.8,22.5,D,100.5,优先补证并复核缺失策略敏感性
603798.SH,康普顿,309,510,201,37.52,17.5,D,100.5,优先补证并复核缺失策略敏感性
688598.SH,金博股份,213,413,200,34.16,22.5,D,100.0,优先补证并复核缺失策略敏感性
603618.SH,杭电股份,209,408,199,34.16,22.5,D,99.5,优先补证并复核缺失策略敏感性
000407.SZ,胜利股份,323,521,198,47.96,2.5,D,99.0,优先补证并复核缺失策略敏感性
08536.HK,TL NATURAL GAS,346,544,198,48.6,2.5,D,99.0,优先补证并复核缺失策略敏感性
600027.SH,华电国际,296,494,198,46.76,3.75,D,99.0,优先补证并复核缺失策略敏感性
600163.SH,中闽能源,40,238,198,30.18,26.25,D,99.0,优先补证并复核缺失策略敏感性
600719.SH,大连热电,287,485,198,37.12,20.0,D,99.0,优先补证并复核缺失策略敏感性
688680.SH,海优新材,212,410,198,34.16,22.5,D,99.0,优先补证并复核缺失策略敏感性
300444.SZ,双杰电气,228,424,196,34.8,21.25,D,98.0,优先补证并复核缺失策略敏感性
601700.SH,风范股份,200,396,196,34.16,22.5,D,98.0,优先补证并复核缺失策略敏感性
603985.SH,恒润股份,12,207,195,26.18,27.5,D,97.5,优先补证并复核缺失策略敏感性
