company_code,company_name,best_rank,worst_rank,rank_span,score_span,disclosure_rate,credibility_grade,stability_priority_score,next_action
603050.SH,科林电气,75,136,61,34.16,22.5,D,30.5,优先补证并复核缺失策略敏感性
688499.SH,利元亨,166,227,61,36.68,18.75,D,30.5,优先补证并复核缺失策略敏感性
000400.SZ,许继电气,87,147,60,34.55,16.25,D,30.0,优先补证并复核缺失策略敏感性
601126.SH,四方股份,43,103,60,32.92,23.75,D,30.0,优先补证并复核缺失策略敏感性
02380.HK,CHINA POWER,230,289,59,40.12,13.75,D,29.5,优先补证并复核缺失策略敏感性
300850.SZ,新强联,126,185,59,35.62,13.75,D,29.5,优先补证并复核缺失策略敏感性
00451.HK,GCL NEWENERGY,161,219,58,36.74,11.25,D,29.0,优先补证并复核缺失策略敏感性
600149.SH,廊坊发展,102,160,58,35.92,21.25,D,29.0,优先补证并复核缺失策略敏感性
600777.SH,*ST新潮,153,211,58,36.56,20.0,D,29.0,优先补证并复核缺失策略敏感性
301358.SZ,湖南裕能,51,108,57,33.24,23.75,D,28.5,优先补证并复核缺失策略敏感性
600025.SH,华能水电,33,90,57,32.96,23.75,D,28.5,优先补证并复核缺失策略敏感性
600982.SH,宁波能源,119,176,57,35.56,20.0,D,28.5,优先补证并复核缺失策略敏感性
603530.SH,神马电力,36,93,57,32.96,23.75,D,28.5,优先补证并复核缺失策略敏感性
605090.SH,九丰能源,218,275,57,39.12,15.0,D,28.5,优先补证并复核缺失策略敏感性
688778.SH,厦钨新能,80,137,57,34.64,21.25,D,28.5,优先补证并复核缺失策略敏感性
002534.SZ,西子洁能,143,199,56,36.68,18.75,D,28.0,优先补证并复核缺失策略敏感性
00968.HK,XINYI SOLAR,229,285,56,39.64,15.0,D,28.0,优先补证并复核缺失策略敏感性
300450.SZ,先导智能,53,109,56,33.52,23.75,D,28.0,优先补证并复核缺失策略敏感性
600236.SH,桂冠电力,1,57,56,21.62,30.0,D,28.0,优先补证并复核缺失策略敏感性
601918.SH,新集能源,63,119,56,34.32,22.5,D,28.0,优先补证并复核缺失策略敏感性
605066.SH,天正电气,146,202,56,36.68,18.75,D,28.0,优先补证并复核缺失策略敏感性
600458.SH,时代新材,79,132,53,35.0,21.25,D,26.5,优先补证并复核缺失策略敏感性
600681.SH,百川能源,28,81,53,35.2,20.0,D,26.5,优先补证并复核缺失策略敏感性
603105.SH,芯能科技,42,94,52,33.52,23.75,D,26.0,优先补证并复核缺失策略敏感性
603659.SH,璞泰来,44,95,51,33.6,23.75,D,25.5,优先补证并复核缺失策略敏感性
688155.SH,先惠技术,29,80,51,35.0,21.25,D,25.5,优先补证并复核缺失策略敏感性
688392.SH,骄成超声,62,113,51,34.44,22.5,D,25.5,优先补证并复核缺失策略敏感性
601139.SH,深圳燃气,52,102,50,34.16,22.5,D,25.0,优先补证并复核缺失策略敏感性
688345.SH,博力威,108,158,50,35.56,20.0,D,25.0,优先补证并复核缺失策略敏感性
002518.SZ,科士达,18,67,49,31.2,26.25,D,24.5,优先补证并复核缺失策略敏感性
600550.SH,保变电气,103,152,49,35.56,20.0,D,24.5,优先补证并复核缺失策略敏感性
603706.SH,东方环宇,52,101,49,34.36,21.25,D,24.5,优先补证并复核缺失策略敏感性
605169.SH,洪通燃气,49,98,49,34.16,22.5,D,24.5,优先补证并复核缺失策略敏感性
002828.SZ,贝肯能源,30,77,47,33.6,23.75,D,23.5,优先补证并复核缺失策略敏感性
600885.SH,宏发股份,12,59,47,30.94,23.75,D,23.5,优先补证并复核缺失策略敏感性
601567.SH,三星电气,35,82,47,33.8,22.5,D,23.5,优先补证并复核缺失策略敏感性
603897.SH,长城科技,31,78,47,33.8,22.5,D,23.5,优先补证并复核缺失策略敏感性
688503.SH,聚和材料,38,85,47,35.0,21.25,D,23.5,优先补证并复核缺失策略敏感性
688567.SH,孚能科技,108,155,47,35.64,21.25,D,23.5,优先补证并复核缺失策略敏感性
600674.SH,川投能源,27,73,46,33.4,23.75,D,23.0,优先补证并复核缺失策略敏感性
600863.SH,华能蒙电,65,111,46,35.0,21.25,D,23.0,优先补证并复核缺失策略敏感性
603344.SH,星德胜,66,112,46,35.0,21.25,D,23.0,优先补证并复核缺失策略敏感性
603689.SH,皖天然气,4,50,46,28.22,28.75,D,23.0,优先补证并复核缺失策略敏感性
603556.SH,海兴电力,41,86,45,34.16,22.5,D,22.5,优先补证并复核缺失策略敏感性
600101.SH,明星电力,49,92,43,35.0,21.25,D,21.5,优先补证并复核缺失策略敏感性
600642.SH,申能股份,48,91,43,35.0,21.25,D,21.5,优先补证并复核缺失策略敏感性
601233.SH,桐昆股份,50,93,43,35.0,21.25,D,21.5,优先补证并复核缺失策略敏感性
601311.SH,骆驼股份,23,65,42,32.96,23.75,D,21.0,优先补证并复核缺失策略敏感性
600098.SH,广州发展,8,48,40,30.6,27.5,D,20.0,优先补证并复核缺失策略敏感性
688248.SH,南网科技,24,64,40,33.6,23.75,D,20.0,优先补证并复核缺失策略敏感性
000899.SZ,赣能股份,14,52,38,35.65,21.25,D,19.0,优先补证并复核缺失策略敏感性
601225.SH,陕西煤业,3,41,38,28.88,25.0,D,19.0,优先补证并复核缺失策略敏感性
600968.SH,海油发展,13,49,36,32.0,25.0,D,18.0,优先补证并复核缺失策略敏感性
603606.SH,东方电缆,7,42,35,37.86,20.0,D,17.5,优先补证并复核缺失策略敏感性
605117.SH,德业股份,5,39,34,30.56,23.75,D,17.0,优先补证并复核缺失策略敏感性
605580.SH,恒盛能源,16,49,33,32.96,23.75,D,16.5,优先补证并复核缺失策略敏感性
001301.SZ,尚太科技,17,44,27,33.52,23.75,D,13.5,优先补证并复核缺失策略敏感性
603080.SH,新疆火炬,11,38,27,34.52,22.5,D,13.5,优先补证并复核缺失策略敏感性
600406.SH,国电南瑞,20,46,26,33.8,22.5,D,13.0,优先补证并复核缺失策略敏感性
02688.HK,ENN ENERGY,10,34,24,34.87,16.25,D,12.0,优先补证并复核缺失策略敏感性
002259.SZ,升达林业,2,22,20,33.94,25.0,D,10.0,优先补证并复核缺失策略敏感性
