company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,max_confidence,tier,next_action,reason
00650.HK,PRODUCTIVE TECH,2024,Q_G_CAPITAL_ACCUMULATION,1,-17.5138,221,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_G_EBITDA_INTEREST,1,-26.5256,216,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_G_REVENUE_GROWTH,1,-48.7105,216,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_G_ROE,1,-19.5139,221,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00650.HK,PRODUCTIVE TECH,2024,Q_S_RD_RATE,1,40.3412,216,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00666.HK,REPT BATTERO,2025,Q_G_CAPITAL_ACCUMULATION,1,14.8545,93,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00666.HK,REPT BATTERO,2025,Q_G_CASH_CURRENT_LIABILITY,1,12.0678,95,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00666.HK,REPT BATTERO,2025,Q_G_CURRENT_ASSET_TURNOVER,1,1.0778,92,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00666.HK,REPT BATTERO,2025,Q_G_QUICK_RATIO,1,86.6486,92,0.94,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00666.HK,REPT BATTERO,2025,Q_G_REVENUE_GROWTH,1,36.7392,90,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00666.HK,REPT BATTERO,2025,Q_S_PAY_PER_EMPLOYEE,1,17.8718,58,0.95,auto_policy_eligible,run_resolve_pending,strict_extraction_evidence_consistent
00666.HK,REPT BATTERO,2025,Q_S_RD_RATE,1,3.1509,90,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_ASSET_TURNOVER,1,0.0749,124,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_CAPITAL_ACCUMULATION,1,28.2966,124,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.4605,124,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_DEBT_ASSET_RATE,1,72.0947,125,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_EBITDA_INTEREST,1,1.1947,121,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_REVENUE_GROWTH,1,10.3552,121,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_ROA,1,2.5657,124,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00686.HK,BJ ENERGY INTL,2025,Q_G_ROE,1,0.1237,124,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00689.HK,EPI (HOLDINGS),2025,Q_G_CAPITAL_ACCUMULATION,1,6.3508,92,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00689.HK,EPI (HOLDINGS),2025,Q_G_CURRENT_ASSET_TURNOVER,1,0.3061,91,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00689.HK,EPI (HOLDINGS),2025,Q_G_EBITDA_INTEREST,1,5.8245,89,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00689.HK,EPI (HOLDINGS),2025,Q_G_REVENUE_GROWTH,1,-10.9203,89,0.93,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00704.HK,HUSCOKE HLDGS,2024,Q_G_AR_TURNOVER,1,38.6125,112,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00704.HK,HUSCOKE HLDGS,2024,Q_G_CAPITAL_ACCUMULATION,1,-4.0434,113,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00704.HK,HUSCOKE HLDGS,2024,Q_G_CURRENT_ASSET_TURNOVER,1,0.2435,112,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00704.HK,HUSCOKE HLDGS,2024,Q_G_EBITDA_INTEREST,1,0.0532,110,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
00704.HK,HUSCOKE HLDGS,2024,Q_G_ROE,1,-2.7736,113,0.94,auto_policy_eligible,run_resolve_pending,official_annual_direct_consistent
