序号,证券代码,公司简称,数值类别,披露率%,定量分,定性分,温室气体排放强度,综合能源消耗强度,氮氧化物排放强度,二氧化硫排放强度,水资源使用强度,一般固体废物排放强度,安全生产投入占比,研发费用占比,现金分红,资产负债率,可持续发展(ESG)分值
238,603988.SH,中电电机,指标数值,36.25,21.35,18.39,,,,,,,,3.51,0.045,38.9737,20.76
238,603988.SH,中电电机,指标分值,,,,,,,,,,,1.199,0.7321,2.3036,
239,002801.SZ,微光股份,指标数值,31.25,23.7,8.6,,,,,,,,4.38,0.35,16.4507,20.68
239,002801.SZ,微光股份,指标分值,,,,,,,,,,,1.4568,2.1669,0.5887,
240,603185.SH,弘元绿能,指标数值,35.0,21.28,17.93,,,,,,,,5.06,0.15,53.88,20.61
240,603185.SH,弘元绿能,指标分值,,,,,,,,,,,1.6603,1.202,2.7762,
241,603628.SH,清源股份,指标数值,35.0,21.69,16.18,,,,,,,,2.9,0.043,57.9,20.59
241,603628.SH,清源股份,指标分值,,,,,,,,,,,1.0259,0.7242,2.6479,
242,601218.SH,吉鑫科技,指标数值,40.0,20.8,19.54,,,,,,,,2.78,0.035,19.0021,20.55
242,601218.SH,吉鑫科技,指标分值,,,,,,,,,,,0.993,0.6931,0.7336,
243,000690.SZ,宝新能源,指标数值,37.5,19.51,24.58,,,,,,,,,0.2,41.5638,20.52
243,000690.SZ,宝新能源,指标分值,,,,,,,,,,,,1.4506,2.479,
244,603318.SH,水发燃气,指标数值,37.5,21.05,18.35,,,,,,,,0.74,0,60.35,20.51
244,603318.SH,水发燃气,指标分值,,,,,,,,,,,0.5143,0.5661,2.5207,
245,603906.SH,龙蟠科技,指标数值,41.25,18.89,26.94,,,,,,,,5.16,,74.94,20.5
245,603906.SH,龙蟠科技,指标分值,,,,,,,,,,,1.6899,,1.3667,
246,600550.SH,保变电气,指标数值,32.5,21.68,15.6,,,,,,,,5.16,,88.4568,20.47
246,600550.SH,保变电气,指标分值,,,,,,,,,,,1.6899,,0.4759,
247,600396.SH,华电辽能,指标数值,32.5,20.58,19.4,,,,,,,,,,70.8989,20.34
247,600396.SH,华电辽能,指标分值,,,,,,,,,,,,,1.7103,
248,002534.SZ,西子洁能,指标数值,36.25,21.09,17.23,,,,,,,,5.81,0.1,57.26,20.32
248,002534.SZ,西子洁能,指标分值,,,,,,,,,,,1.8792,0.9661,2.6753,
249,600871.SH,石化油服,指标数值,45.0,11.64,54.5,242.288,,,,1368.6906,,,2.8,0,88,20.21
249,600871.SH,石化油服,指标分值,,,,5.9252,,,,1.4138,,,0.9984,0.5661,0.497,
249,600884.SH,杉杉股份,指标数值,36.25,21.54,14.88,,,,,,,,5.57,,49.1001,20.21
249,600884.SH,杉杉股份,指标分值,,,,,,,,,,,1.8102,,2.7826,
250,00002.HK,CLP HOLDINGS,指标数值,38.75,17.29,31.7,,,,,,,,,,50.7949,20.17
250,00002.HK,CLP HOLDINGS,指标分值,,,,,,,,,,,,,2.7991,
251,301232.SZ,飞沃科技,指标数值,41.25,20.22,19.84,,,,,,,,3.05,0,68.1706,20.14
251,301232.SZ,飞沃科技,指标分值,,,,,,,,,,,1.0676,0.5661,1.9433,
252,002490.SZ,山东墨龙,指标数值,36.25,20.92,16.86,,,,,,,,2.56,0,81.45,20.11
252,002490.SZ,山东墨龙,指标分值,,,,,,,,,,,0.9337,0.5661,0.8719,
253,605368.SH,蓝天燃气,指标数值,27.5,23.08,8.1,,,,,,,,,,43.407,20.09
253,605368.SH,蓝天燃气,指标分值,,,,,,,,,,,,,2.5846,
254,000155.SZ,川能动力,指标数值,38.75,17.8,29.18,,,,,,,,0.82,,52.94,20.08
254,000155.SZ,川能动力,指标分值,,,,,,,,,,,0.5298,,2.7904,
255,600979.SH,广安爱众,指标数值,35.0,18.04,28.08,,,,,,,,0.02,,65.7241,20.05
255,600979.SH,广安爱众,指标分值,,,,,,,,,,,0.3884,,2.1439,
255,688353.SH,华盛锂电,指标数值,43.75,18.58,25.96,,,,,,,,5.96,,16.87,20.05
255,688353.SH,华盛锂电,指标分值,,,,,,,,,,,1.9216,,0.6111,
