序号,证券代码,公司简称,数值类别,披露率%,定量分,定性分,温室气体排放强度,综合能源消耗强度,氮氧化物排放强度,二氧化硫排放强度,水资源使用强度,一般固体废物排放强度,安全生产投入占比,研发费用占比,现金分红,资产负债率,可持续发展(ESG)分值
22,000922.SZ,佳电股份,指标分值,,,,6.0495,4.4072,,,,2.5562,0.7327,1.1787,1.0118,2.7705,
23,603985.SH,恒润股份,指标数值,71.25,34.73,62.8,289.3039,142.2368,,,,,,2.33,0.06,42.6026,40.35
23,603985.SH,恒润股份,指标分值,,,,5.8902,4.2429,,,,,,0.8735,0.7928,2.5407,
24,603689.SH,皖天然气,指标数值,63.75,37.66,49.34,,3,,,22.1362,,0.8065,0.13,0.35,42.96,40
24,603689.SH,皖天然气,指标分值,,,,,4.4385,,,1.4206,,1.1374,0.4061,2.1669,2.5606,
25,600508.SH,上海能源,指标数值,65.0,36.73,51.42,4555.1439,860,321.9265,244.9132,13980,,,4.12,0.3,35.3837,39.67
25,600508.SH,上海能源,指标分值,,,,2.5885,3.1554,1.5892,1.57,1.3502,,,1.379,1.9434,2.0224,
26,601877.SH,正泰电器,指标数值,72.5,34.36,60.42,,2.2226,,,,,,2.24,0.6,66.132,39.57
26,601877.SH,正泰电器,指标分值,,,,,4.4396,,,,,,0.8504,2.8489,2.1114,
27,003035.SZ,南网能源,指标数值,52.5,42.74,26.04,74.495,12,453.1143,,,122.6891,,1.71,0.021,66.15,39.4
27,003035.SZ,南网能源,指标分值,,,,6.0486,4.4261,1.4636,,,2.4121,,0.7209,0.6405,2.1099,
28,688660.SH,电气风电,指标数值,71.25,33.86,60.92,6.9,1.7,,,50,,,4.36,,87.9794,39.27
28,688660.SH,电气风电,指标分值,,,,6.0978,4.4403,,,1.4204,,,1.4508,,0.498,
29,601778.SH,晶科科技,指标数值,66.25,33.6,61.5,59.647,14.2058,,,100.2624,,,0.07,0.0283,61.09,39.18
29,601778.SH,晶科科技,指标分值,,,,6.0595,4.423,,,1.4202,,,0.3963,0.6676,2.476,
30,300274.SZ,阳光电源,指标数值,65.0,32.28,66.4,5.2478,4.0797,,,,,,4.68,0.69,58.0619,39.1
30,300274.SZ,阳光电源,指标分值,,,,6.099,4.437,,,,,,1.5467,2.9349,2.6405,
31,601012.SH,隆基绿能,指标数值,71.25,34.25,58.0,426.3643,,,,,39.2521,,6.11,0,64.43,39
31,601012.SH,隆基绿能,指标分值,,,,5.7875,,,,,2.532,,1.9635,0.5661,2.2443,
32,300880.SZ,迦南智能,指标数值,70.0,34.82,54.38,38,,,,,1.2,,7.3,0.15,28.03,38.73
32,300880.SZ,迦南智能,指标分值,,,,6.0752,,,,,2.5854,,2.2701,1.202,1.3969,
33,600732.SH,爱旭股份,指标数值,76.25,33.61,58.73,2313.2937,68.976,8.1593,,,24.6057,,2.25,,79.9455,38.63
33,600732.SH,爱旭股份,指标分值,,,,4.2954,4.3467,1.8626,,,2.5527,,0.853,,0.9767,
34,000533.SZ,顺钠股份,指标数值,66.25,32.15,61.8,16.8,6.8,,,133.1,,,4.23,,60.9155,38.08
34,000533.SZ,顺钠股份,指标分值,,,,6.0906,4.4333,,,1.42,,,1.4118,,2.4868,
35,600089.SH,特变电工,指标数值,67.5,31.27,64.85,3020,554.6,,,2813.5,214.4153,,4.92,0.36,55.6,37.98
35,600089.SH,特变电工,指标分值,,,,3.7315,3.6284,,,1.4066,2.2762,,1.6185,2.2087,2.7344,
36,000400.SZ,许继电气,指标数值,63.75,32.41,59.15,19.6773,,0.9405,,,3.6605,,5.71,0.221,49.0307,37.75
36,000400.SZ,许继电气,指标分值,,,,6.0885,,1.8683,,,2.582,,1.8506,1.5563,2.7815,
37,605011.SH,杭州热电,指标数值,70.0,33.22,55.67,,2085.2662,605.3084,156.9038,1397.3207,,,0.94,0.16,30.0948,37.71
37,605011.SH,杭州热电,指标分值,,,,,1.4287,1.3132,1.723,1.4137,,,0.5535,1.251,1.5717,
38,600098.SH,广州发展,指标数值,66.25,32.98,55.47,,,,,,,,1.27,0.35,61.76,37.48
38,600098.SH,广州发展,指标分值,,,,,,,,,,,0.622,2.1669,2.4333,
39,600903.SH,贵州燃气,指标数值,70.0,30.71,64.07,26.2334,,,,76.2275,,1.5062,0.23,0.014,65.44,37.38
39,600903.SH,贵州燃气,指标分值,,,,6.0838,,,,1.4203,,1.6563,0.4227,0.6151,2.1664,
40,600780.SH,通宝能源,指标数值,65.0,32.81,52.07,5029.9412,2835.4179,857.5322,391.6266,,,0.5364,0.02,0.18,30.8575,36.66
40,600780.SH,通宝能源,指标分值,,,,2.2716,0.7171,1.062,1.297,,,0.9374,0.3884,1.3502,1.6372,
41,300376.SZ,易事特,指标数值,53.75,38.18,29.52,18.3231,,,,508.6867,1.0561,,6.3308,0.002,49.2941,36.45
41,300376.SZ,易事特,指标分值,,,,6.0895,,,,1.4181,2.5856,,2.024,0.573,2.7855,
42,600917.SH,重庆燃气,指标数值,65.0,32.49,50.92,,1.638,,,108.8705,,1.3003,0.041,0.054,41.3574,36.17
42,600917.SH,重庆燃气,指标分值,,,,,4.4404,,,1.4201,,1.5089,0.3917,0.7682,2.4661,
43,601666.SH,平煤股份,指标数值,65.0,31.43,53.82,3733.3517,120,,,,1544.0662,9.23,3.29,,65.1476,35.91
43,601666.SH,平煤股份,指标分值,,,,3.1816,4.2746,,,,0.5141,2.5,1.1356,,2.1893,
44,688388.SH,嘉元科技,指标数值,67.5,29.96,58.67,0.0031,,,,,,,4.84,0.045,70,35.7
44,688388.SH,嘉元科技,指标分值,,,,6.1028,,,,,,,1.5946,0.7321,1.7876,
45,600163.SH,中闽能源,指标数值,55.0,33.21,45.52,34.4202,9.2535,,,,,1.3897,1.18,0.03,33.9,35.67
45,600163.SH,中闽能源,指标分值,,,,6.0778,4.4299,,,,,1.5738,0.6029,0.674,1.898,
46,688303.SH,大全能源,指标数值,73.75,28.51,63.95,,1997.8016,5.7249,,8975.9255,71.074,,4.52,1,8.62,35.6
46,688303.SH,大全能源,指标分值,,,,,1.532,1.8645,,1.3755,2.4867,,1.4987,2.9987,0.27,
47,600481.SH,双良节能,指标数值,70.0,29.8,58.6,5903.0663,978.8758,18.8896,,105.9165,7.1,0.2358,3.2,,85.0142,35.56
47,600481.SH,双良节能,指标分值,,,,1.7466,2.971,1.854,,1.4201,2.5772,0.7301,1.1099,,0.651,
48,600207.SH,安彩高科,指标数值,73.75,31.41,52.07,2108.4,582.2,,,67128.5,485.4093,0.42,3.17,,66.4406,35.55
48,600207.SH,安彩高科,指标分值,,,,4.4605,3.586,,,1.0802,1.8612,0.8548,1.1014,,2.0864,
49,002560.SZ,通达股份,指标数值,42.5,40.66,14.27,56.2669,32.6971,21.3284,,184.404,3.2453,,1.91,0.1,50.706,35.38
49,002560.SZ,通达股份,指标分值,,,,6.0619,4.3974,1.8521,,1.4197,2.5826,,0.7685,0.9661,2.7987,
50,600968.SH,海油发展,指标数值,60.0,33.22,43.75,,,,0.2522,,,,2.49,0.147,40.98,35.32
50,600968.SH,海油发展,指标分值,,,,,,,1.9624,,,,0.9152,1.1873,2.442,
51,002706.SZ,良信股份,指标数值,63.75,28.88,60.9,51.1,11.8,0,,616.6,0.4906,,7.44,0.2,,35.28
51,002706.SZ,良信股份,指标分值,,,,6.0657,4.4264,1.8691,,1.4176,2.5864,,2.3027,1.4506,,
52,300207.SZ,欣旺达,指标数值,63.75,28.75,60.37,230,60,,,1061.0942,12.2117,,6.92,0.09,71.25,35.08
52,300207.SZ,欣旺达,指标分值,,,,5.9343,4.3593,,,1.4154,2.5701,,2.1778,0.9213,1.6801,
53,600674.SH,川投能源,指标数值,63.75,30.55,52.9,,,,,,1.1907,0.81,2.19,0.5,33.5081,35.02
53,600674.SH,川投能源,指标分值,,,,,,,,,2.5854,1.14,0.8378,2.6667,1.8647,
54,603861.SH,白云电器,指标数值,70.0,28.64,59.69,,12.6013,,,851.9018,,0.3565,3.32,0.1255,60.8218,34.85
54,603861.SH,白云电器,指标分值,,,,,4.4253,,,1.4164,,0.8109,1.1442,1.0844,2.4926,
55,300073.SZ,当升科技,指标数值,53.75,35.35,31.01,441.1,,,,,,,4.68,0.283,31.1445,34.48
55,300073.SZ,当升科技,指标分值,,,,5.7764,,,,,,,1.5467,1.8627,1.6618,
56,600438.SH,通威股份,指标数值,73.75,26.99,64.33,,551.3,,72,,75.4972,,2.62,,72.63,34.46
56,600438.SH,通威股份,指标分值,,,,,3.6334,,1.8587,,2.4804,,0.9497,,1.5616,
57,300001.SZ,特锐德,指标数值,62.5,30.83,48.82,23,,1.2923,0.1267,160,,,3.51,0.2,63.0251,34.43
57,300001.SZ,特锐德,指标分值,,,,6.0861,,1.8681,1.9626,1.4199,,,1.199,1.4506,2.3472,
58,600821.SH,金开新能,指标数值,65.0,29.22,54.84,10.1491,,,,137.4617,,,0.36,0.1,72.4189,34.35
58,600821.SH,金开新能,指标分值,,,,6.0955,,,,1.42,,,0.4449,0.9661,1.5797,
59,600795.SH,国电电力,指标数值,65.0,28.71,56.42,13238.761,,,,14200,1534.1575,,0.59,0.241,73.45,34.25
59,600795.SH,国电电力,指标分值,,,,0.0543,,,,1.3491,0.5224,,0.4861,1.6565,1.4918,
60,688248.SH,南网科技,指标数值,65.0,27.57,60.46,,,,,,,,7.57,0.182,35.5291,34.15
60,688248.SH,南网科技,指标分值,,,,,,,,,,,2.3322,1.3602,2.0344,
61,600483.SH,福能股份,指标数值,70.0,27.61,58.77,,,,,,,0.9533,0.88,0.426,41.82,33.84
61,600483.SH,福能股份,指标分值,,,,,,,,,,1.2485,0.5415,2.4553,2.4947,
62,600032.SH,浙江新能,指标数值,62.5,28.86,52.05,1.0999,,,,11.991,,,0.27,0.064,66.786,33.5
62,600032.SH,浙江新能,指标分值,,,,6.102,,,,1.4206,,,0.4294,0.8094,2.0583,
63,601567.SH,三星电气,指标数值,63.75,29.45,49.12,,,0.185,,3000,,,4.23,0.63,54.3342,33.38
63,601567.SH,三星电气,指标分值,,,,,,1.8689,,1.4056,,,1.4118,2.8843,2.7672,
64,600101.SH,明星电力,指标数值,65.0,25.49,64.75,,,,,,,,1.05,0.11,25.068,33.34
64,600101.SH,明星电力,指标分值,,,,,,,,,,,0.5758,1.0118,1.1572,
65,000531.SZ,穗恒运Ａ,指标数值,73.75,27.33,56.29,18790,5920,2075.5185,852.7404,1439105.3211,1480,0.6365,3.09,0.05,,33.12
65,000531.SZ,穗恒运Ａ,指标分值,,,,0.0008,0.0066,0.1957,0.5041,0,0.5697,1.0105,1.0789,0.752,,
66,600956.SH,新天绿能,指标数值,70.0,25.83,62.2,,,5.8318,,,,,1.4,0.2,66.3,33.11
66,600956.SH,新天绿能,指标分值,,,,,,1.8645,,,,,0.6504,1.4506,2.0978,
67,002028.SZ,思源电气,指标数值,58.75,25.09,65.0,34.1,9.5879,,,213.1,,0.1832,6.04,,,33.07
67,002028.SZ,思源电气,指标分值,,,,6.0781,4.4294,,,1.4196,,0.6961,1.944,,,
68,301386.SZ,未来电器,指标数值,61.25,26.56,58.9,45.9,13.3,,,489.0486,5.4247,0.2928,4.07,0.5,12.6509,33.02
68,301386.SZ,未来电器,指标分值,,,,6.0695,4.4243,,,1.4182,2.5795,0.7677,1.364,2.6667,0.4113,
69,02688.HK,ENN ENERGY,指标数值,61.25,27.47,52.68,,3.4785,0.9,0.1331,60.913,0.0748,,,,,32.51
69,02688.HK,ENN ENERGY,指标分值,,,,,4.4379,1.8684,1.9626,1.4204,2.587,,,,,
70,688472.SH,阿特斯,指标数值,67.5,25.57,60.17,,,,,,32.1897,,1.62,0,63.65,32.49
70,688472.SH,阿特斯,指标分值,,,,,,,,,2.542,,0.7,0.5661,2.3023,
71,002479.SZ,富春环保,指标数值,52.5,36.15,17.75,7510,2820,834.8531,,20060,733.1629,0.5716,4.04,0.1,46.9628,32.47
71,002479.SZ,富春环保,指标分值,,,,0.9946,0.7286,1.0843,,1.3193,1.4842,0.9629,1.3551,0.9661,2.7331,
72,605162.SH,新中港,指标数值,65.0,29.19,45.54,12145.5264,,,,,,,3.43,0.16,29.96,32.46
72,605162.SH,新中港,指标分值,,,,0.1059,,,,,,,1.1758,1.251,1.5602,
73,688599.SH,天合光能,指标数值,68.75,25.65,59.4,,118.4959,,,6034.9194,21.7197,,2.8127,,74.02,32.4
73,688599.SH,天合光能,指标分值,,,,,4.2767,,,1.3903,2.5567,,1.0019,,1.4436,
74,688390.SH,固德威,指标数值,62.5,23.87,66.35,40.979,,,,,,0.0871,6.9,0,69.497,32.37
74,688390.SH,固德威,指标分值,,,,6.0731,,,,,,0.6361,2.1727,0.5661,1.8307,
75,603606.SH,东方电缆,指标数值,51.25,30.02,40.58,,,,,,,,3.51,0.56,46.6867,32.13
75,603606.SH,东方电缆,指标分值,,,,,,,,,,,1.199,2.7889,2.7244,
76,000819.SZ,岳阳兴长,指标数值,56.25,25.37,59.12,425.8681,,,,,0.7332,,2.04,,35.8879,32.12
76,000819.SZ,岳阳兴长,指标分值,,,,5.7879,,,,,2.5861,,0.8003,,2.0638,
77,601126.SH,四方股份,指标数值,62.5,27.34,50.55,,,,,,,,8.93,0.72,61.463,31.98
77,601126.SH,四方股份,指标分值,,,,,,,,,,,2.5958,2.9522,2.4525,
78,300850.SZ,新强联,指标数值,60.0,25.99,55.15,484.9,225.4443,,,,,0.36,6.04,0.295,38.12,31.82
78,300850.SZ,新强联,指标分值,,,,5.7433,4.1226,,,,,0.8132,1.944,1.9199,2.24,
79,601619.SH,嘉泽新能,指标数值,62.5,27.9,46.69,26.9063,,,,63.7,,,0,0.02,65.13,31.66
79,601619.SH,嘉泽新能,指标分值,,,,6.0833,,,,1.4204,,,0.3852,0.6368,2.1906,
80,01798.HK,DATANG RENEW,指标数值,65.0,25.48,55.63,112,,,,167.2,0.3827,4.41,,,67.369,31.51
80,01798.HK,DATANG RENEW,指标分值,,,,6.0212,,,,1.4198,2.5865,2.4893,,,2.0103,
81,300870.SZ,欧陆通,指标数值,65.0,24.51,58.27,,,,,666.4362,3.6762,,6.7,0.309,51.1,31.26
81,300870.SZ,欧陆通,指标分值,,,,,,,,1.4173,2.582,,2.1218,1.9852,2.7999,
81,688778.SH,厦钨新能,指标数值,61.25,26.22,51.42,,,,,890,,,2.74,0.5,37.98,31.26
81,688778.SH,厦钨新能,指标分值,,,,,,,,1.4162,,,0.9821,2.6667,2.2294,
82,688339.SH,亿华通,指标数值,61.25,25.34,54.32,317.2695,,,,1007.3943,,,23.91,,41.0075,31.14
82,688339.SH,亿华通,指标分值,,,,5.8694,,,,1.4156,,,3,,2.4437,
83,001301.SZ,尚太科技,指标数值,55.0,28.87,39.37,,,,,,,,3.16,0.8,40.26,30.97
83,001301.SZ,尚太科技,指标分值,,,,,,,,,,,1.0986,2.9804,2.3942,
84,601139.SH,深圳燃气,指标数值,61.25,25.31,52.52,,,,,,,,4.08,0.16,59.9156,30.75
84,601139.SH,深圳燃气,指标分值,,,,,,,,,,,1.367,1.251,2.5457,
85,600028.SH,中国石化,指标数值,57.5,22.35,64.2,600.8,229.6708,66.4036,16.098,,,,,,54.08,30.72
85,600028.SH,中国石化,指标分值,,,,5.6551,4.1164,1.8154,1.9404,,,,,,2.7724,
86,301358.SZ,湖南裕能,指标数值,43.75,33.72,18.59,,295.107,,88.6712,2208.2531,,,1.1,0.356,66.8899,30.69
86,301358.SZ,湖南裕能,指标分值,,,,,4.0203,,1.8331,1.4096,,,0.5861,2.1921,2.0498,
87,601985.SH,中国核电,指标数值,61.25,24.61,54.77,,,,,,4.1674,,2.84,0.16,69.0061,30.64
87,601985.SH,中国核电,指标分值,,,,,,,,,2.5813,,1.0094,1.251,1.8726,
88,002927.SZ,泰永长征,指标数值,38.75,33.6,17.68,28.1,6.4,,,328.6914,0.6301,0.11,6.87,0,34.4117,30.41
88,002927.SZ,泰永长征,指标分值,,,,6.0824,4.4338,,,1.419,2.5862,0.6501,2.1652,0.5661,1.9412,
89,00196.HK,HONGHUA GROUP,指标数值,61.25,25.1,49.86,45.1842,,,,630,30,,5.2,,71.1288,30.05
89,00196.HK,HONGHUA GROUP,指标分值,,,,6.07,,,,1.4175,2.5451,,1.7018,,1.6905,
90,02236.HK,WISON ENGRG,指标数值,58.75,24.74,51.1,17.21,,,,398.528,1.139,,,,,30.01
90,02236.HK,WISON ENGRG,指标分值,,,,6.0903,,,,1.4187,2.5855,,,,,
91,600744.SH,华银电力,指标数值,61.25,28.68,32.39,16720.5,7107.6,,,21430,3409.6,1.1563,2.01,,93.25,29.42
91,600744.SH,华银电力,指标分值,,,,0.0045,0.0005,,,1.3124,0.0052,1.4021,0.7929,,0.2925,
92,688005.SH,容百科技,指标数值,63.75,20.85,60.52,,,,,,,,3.44,,64.4541,28.79
92,688005.SH,容百科技,指标分值,,,,,,,,,,,1.1787,,2.2425,
93,002506.SZ,协鑫集成,指标数值,61.25,21.65,57.3,300,,,,3500.5184,,0.2693,0.97,,93.8334,28.78
93,002506.SZ,协鑫集成,指标分值,,,,5.8822,,,,1.4031,,0.7522,0.5595,,0.2746,
93,01600.HK,TIAN LUN GAS,指标数值,60.0,23.53,49.76,32.3,,,,99.6,0.5,,,,60.2088,28.78
93,01600.HK,TIAN LUN GAS,指标分值,,,,6.0794,,,,1.4202,2.5864,,,,2.529,
94,002125.SZ,湘潭电化,指标数值,46.25,29.66,23.79,2254.8,809.9,511.9981,243.2733,35483.8,3661.3113,0.3,,0.115,36.51,28.48
94,002125.SZ,湘潭电化,指标分值,,,,4.3425,3.2332,1.4058,1.573,1.2408,0.0022,0.7726,,1.0349,2.1142,
95,601233.SH,桐昆股份,指标数值,52.5,25.02,41.92,,,,,,,,1.94,0.12,65.7688,28.4
95,601233.SH,桐昆股份,指标分值,,,,,,,,,,,0.7757,1.0583,2.1404,
96,002518.SZ,科士达,指标数值,41.25,31.05,17.48,,,,,,,,5.58,0.45,37.4833,28.33
96,002518.SZ,科士达,指标分值,,,,,,,,,,,1.8131,2.5315,2.1912,
97,603693.SH,江苏新能,指标数值,60.0,22.5,50.57,,,,,,,,0.29,0.15,53.34,28.12
97,603693.SH,江苏新能,指标分值,,,,,,,,,,,0.4328,1.202,2.7851,
98,300932.SZ,三友联众,指标数值,41.25,27.38,30.96,0.7193,,0.0919,0.0919,,,,4.34,0.19,47.6643,28.09
98,300932.SZ,三友联众,指标分值,,,,6.1023,,1.869,1.9626,,,,1.4448,1.4003,2.7528,
99,300882.SZ,万胜智能,指标数值,48.75,28.57,26.14,,,,,,,,6.14,0.2,35.9783,28.08
99,300882.SZ,万胜智能,指标分值,,,,,,,,,,,1.9718,1.4506,2.0712,
100,000600.SZ,建投能源,指标数值,56.25,20.93,56.32,,,2062,1195.5382,,,0.65,5.91,0.32,59.18,28.01
100,000600.SZ,建投能源,指标分值,,,,,,0.2008,0.169,,,1.0204,1.9075,2.0355,2.5856,
101,688006.SH,杭可科技,指标数值,60.0,23.75,44.52,,,,,,,,9.06,0.166,50.607,27.91
101,688006.SH,杭可科技,指标分值,,,,,,,,,,,2.6166,1.2806,2.7983,
102,601615.SH,明阳智能,指标数值,62.5,19.94,59.4,,,,,,,,2.91,0.185,68.59,27.83
102,601615.SH,明阳智能,指标分值,,,,,,,,,,,1.0287,1.3753,1.9079,
103,300014.SZ,亿纬锂能,指标数值,48.75,25.82,35.77,,,,,,,,5.59,0.245,64.18,27.81
103,300014.SZ,亿纬锂能,指标分值,,,,,,,,,,,1.816,1.6765,2.2632,
104,301325.SZ,曼恩斯特,指标数值,56.25,19.67,60.07,121.7683,,,,749.1547,,,16.19,0,40.1798,27.75
104,301325.SZ,曼恩斯特,指标分值,,,,6.0141,,,,1.4169,,,2.9948,0.5661,2.3888,
105,600023.SH,浙能电力,指标数值,61.25,24.07,42.44,19000,7000,2670.1383,,,,,0.5,0.33,42.5144,27.74
105,600023.SH,浙能电力,指标分值,,,,0.0006,0.0006,0.0546,,,,,0.4697,2.0803,2.5357,
106,03899.HK,CIMC ENRIC,指标数值,63.75,19.43,60.53,,,,,,,,,,57.1603,27.65
106,03899.HK,CIMC ENRIC,指标分值,,,,,,,,,,,,,2.6794,
107,002074.SZ,国轩高科,指标数值,48.75,26.57,31.39,,,9.6405,,,,,7.47,0.1,70.99,27.53
107,002074.SZ,国轩高科,指标分值,,,,,,1.8614,,,,,2.3096,0.9661,1.7025,
108,300409.SZ,道氏技术,指标数值,38.75,30.92,13.78,,,,,,,,2.68,0.25,40.93,27.49
108,300409.SZ,道氏技术,指标分值,,,,,,,,,,,0.9659,1.7013,2.4387,
109,002493.SZ,荣盛石化,指标数值,41.25,29.03,20.84,1705.8742,347.7314,,,6136.1357,,0.1855,1.62,0.1,74.9137,27.39
109,002493.SZ,荣盛石化,指标分值,,,,4.7846,3.942,,,1.3898,,0.6976,0.7,0.9661,1.3689,
110,301439.SZ,泓淋电力,指标数值,36.25,29.05,20.51,85.2138,113.5,,,648.4,,,3.65,0.2,37.997,27.34
110,301439.SZ,泓淋电力,指标分值,,,,6.0408,4.2838,,,1.4174,,,1.2398,1.4506,2.2307,
111,600025.SH,华能水电,指标数值,37.5,28.02,24.42,,,,,,,,0.49,0.205,61.13,27.3
111,600025.SH,华能水电,指标分值,,,,,,,,,,,0.4679,1.4757,2.4736,
112,600406.SH,国电南瑞,指标数值,40.0,27.68,24.24,,,,,,,,7.16,0.622,42.7306,27
112,600406.SH,国电南瑞,指标分值,,,,,,,,,,,2.2368,2.8756,2.5479,
113,002709.SZ,天赐材料,指标数值,43.75,28.72,19.99,,,,,,,,5.09,0.3,33.02,26.97
113,002709.SZ,天赐材料,指标分值,,,,,,,,,,,1.6692,1.9434,1.823,
114,688772.SH,珠海冠宇,指标数值,43.75,26.47,28.34,,,,,,,,12.89,0.3,65.32,26.84
114,688772.SH,珠海冠宇,指标分值,,,,,,,,,,,2.946,1.9434,2.1758,
115,603507.SH,振江股份,指标数值,57.5,20.73,51.22,,,,,,,,3.94,0.3,71.689,26.83
115,603507.SH,振江股份,指标分值,,,,,,,,,,,1.3254,1.9434,1.6423,
116,002259.SZ,升达林业,指标数值,31.25,30.85,10.48,,,,,,,,,,70.69,26.77
116,002259.SZ,升达林业,指标分值,,,,,,,,,,,,,1.7283,
117,605580.SH,恒盛能源,指标数值,41.25,28.88,17.79,,,,,,,,2.4,0.3,48.148,26.66
117,605580.SH,恒盛能源,指标分值,,,,,,,,,,,0.8916,1.9434,2.7644,
118,000899.SZ,赣能股份,指标数值,38.75,27.97,20.23,,,,,,,,3.84,0.567,65.33,26.42
118,000899.SZ,赣能股份,指标分值,,,,,,,,,,,1.2958,2.8006,2.175,
119,603080.SH,新疆火炬,指标数值,33.75,28.89,16.48,,,,,,,,,0.52,31.0214,26.41
119,603080.SH,新疆火炬,指标分值,,,,,,,,,,,,2.7121,1.6512,
120,603053.SH,成都燃气,指标数值,52.5,23.94,36.12,,,,,,,,0.17,0.3,37.6948,26.38
120,603053.SH,成都燃气,指标分值,,,,,,,,,,,0.4127,1.9434,2.2075,
121,02386.HK,SINOPEC SEG,指标数值,53.75,20.3,50.35,19.848,7.53,,,,,,,0.358,65.1226,26.31
121,02386.HK,SINOPEC SEG,指标分值,,,,6.0884,4.4323,,,,,,,2.2004,2.1912,
122,601311.SH,骆驼股份,指标数值,35.0,28.5,17.06,,,,,,,,2.99,0.36,34.7093,26.21
122,601311.SH,骆驼股份,指标分值,,,,,,,,,,,1.0509,2.2087,1.9662,
123,601727.SH,上海电气,指标数值,55.0,19.08,54.45,26.2049,,3.2884,,,,,5,0.0143,,26.15
123,601727.SH,上海电气,指标分值,,,,6.0838,,1.8665,,,,,1.6424,0.616,,
124,300450.SZ,先导智能,指标数值,42.5,26.37,24.64,,,,,,,,11.11,0.287,66.4218,26.02
124,300450.SZ,先导智能,指标分值,,,,,,,,,,,2.8518,1.8819,2.088,
125,00451.HK,GCL NEWENERGY,指标数值,58.75,19.21,53.18,12.4,6,,,349.5,,,2.9052,,,26
125,00451.HK,GCL NEWENERGY,指标分值,,,,6.0938,4.4344,,,1.4189,,,1.0273,,,
126,688116.SH,天奈科技,指标数值,53.75,23.8,34.65,,,,,,,,8.37,0.083,42.33,25.97
126,688116.SH,天奈科技,指标分值,,,,,,,,,,,2.4974,0.8905,2.525,
127,000096.SZ,广聚能源,指标数值,38.75,26.36,23.2,,,,,,,,0,0.075,25.3628,25.73
127,000096.SZ,广聚能源,指标分值,,,,,,,,,,,0.3852,0.8559,1.1803,
127,688681.SH,科汇股份,指标数值,41.25,27.18,19.96,,,,,,,,11.24,0.193,30.7339,25.73
127,688681.SH,科汇股份,指标分值,,,,,,,,,,,2.8615,1.4154,1.6265,
128,00135.HK,KUNLUN ENERGY,指标数值,63.75,17.39,58.63,,,,,,,,,0.3158,35.9717,25.64
128,00135.HK,KUNLUN ENERGY,指标分值,,,,,,,,,,,,2.0164,2.0706,
128,600969.SH,郴电国际,指标数值,51.25,23.2,35.39,,,,,,,0.7494,0.02,0.126,72.5137,25.64
128,600969.SH,郴电国际,指标分值,,,,,,,,,,1.0944,0.3884,1.0866,1.5716,
129,600635.SH,大众公用,指标数值,57.5,20.28,46.58,,,,,,,2.3591,0.02,0.05,55.1315,25.54
129,600635.SH,大众公用,指标分值,,,,,,,,,,2.1433,0.3884,0.752,2.7478,
130,01713.HK,SICHUAN EN INV,指标数值,52.5,19.21,50.52,418.0176,,4.7996,,,,,,,49.8714,25.47
130,01713.HK,SICHUAN EN INV,指标分值,,,,5.7938,,1.8653,,,,,,,2.7926,
131,603619.SH,中曼石油,指标数值,38.75,26.88,19.68,,,,,,,,3.5,0.34,63.08,25.44
131,603619.SH,中曼石油,指标分值,,,,,,,,,,,1.1961,2.1241,2.3433,
132,001299.SZ,美能能源,指标数值,40.0,27.04,18.88,,,,,,,,0.02,0.5,29.5194,25.41
132,001299.SZ,美能能源,指标分值,,,,,,,,,,,0.3884,2.6667,1.5226,
133,603530.SH,神马电力,指标数值,35.0,28.16,14.21,,,,,,,,4.02,0.35,31.8409,25.37
133,603530.SH,神马电力,指标分值,,,,,,,,,,,1.3492,2.1669,1.7217,
134,300769.SZ,德方纳米,指标数值,47.5,27.09,18.44,,250.9395,,,3280,,0.2056,2.03,0,63.93,25.36
134,300769.SZ,德方纳米,指标分值,,,,,4.0853,,,1.4042,,0.7105,0.7978,0.5661,2.2818,
135,001258.SZ,立新能源,指标数值,42.5,26.74,19.71,,,,,,,,0.66,0.03,75.91,25.33
135,001258.SZ,立新能源,指标分值,,,,,,,,,,,0.4991,0.674,1.287,
136,301150.SZ,中一科技,指标数值,40.0,26.95,17.93,,120,,,2712.9,,,3.49,0.28,44.73,25.15
136,301150.SZ,中一科技,指标分值,,,,,4.2746,,,1.4071,,,1.1932,1.8483,2.6489,
137,002249.SZ,大洋电机,指标数值,38.75,27.97,13.68,,,,,,,,5.65,0.196,46.1793,25.11
137,002249.SZ,大洋电机,指标分值,,,,,,,,,,,1.8333,1.4304,2.7072,
138,600167.SH,联美控股,指标数值,58.75,19.06,49.2,8273.7981,,2506.8373,747.1116,14501.3205,1958.868,,1.4,0.15,29.1403,25.09
138,600167.SH,联美控股,指标分值,,,,0.7332,,0.08,0.6583,1.3476,0.2428,,0.6504,1.202,1.4904,
139,002865.SZ,钧达股份,指标数值,42.5,26.34,20.04,,215.0765,,,13810.4103,30.8789,0.1384,1.45,,77.69,25.08
139,002865.SZ,钧达股份,指标分值,,,,,4.1377,,,1.3511,2.5439,0.6678,0.6615,,1.1454,
139,300690.SZ,双一科技,指标数值,36.25,26.73,18.46,140.1,31.5739,,,,,0.32,3.48,0.387,21.5659,25.08
139,300690.SZ,双一科技,指标分值,,,,6.0006,4.399,,,,,0.786,1.1903,2.3159,0.8997,
