stock_code,company_name,exchange,industry,entity_id,st_status,listing_status,energy_eligible,source_url,as_of_date
000553.SZ,安道麦A,SZSE,C 制造业,000553.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000554.SZ,泰山石油,SZSE,F 批发和零售业,000554.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000555.SZ,神州信息,SZSE,I 信息传输、软件和信息技术服务业,000555.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000557.SZ,西部创业,SZSE,G 交通运输、仓储和邮政业,000557.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000558.SZ,天府文旅,SZSE,N 水利、环境和公共设施管理业,000558.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000559.SZ,万向钱潮,SZSE,C 制造业,000559.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000560.SZ,我爱我家,SZSE,K 房地产业,000560.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000561.SZ,烽火电子,SZSE,C 制造业,000561.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000563.SZ,陕国投Ａ,SZSE,J 金融业,000563.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000564.SZ,供销大集,SZSE,F 批发和零售业,000564.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000565.SZ,渝三峡Ａ,SZSE,C 制造业,000565.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000566.SZ,海南海药,SZSE,C 制造业,000566.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000567.SZ,海德股份,SZSE,J 金融业,000567.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000568.SZ,泸州老窖,SZSE,C 制造业,000568.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000570.SZ,苏常柴Ａ,SZSE,C 制造业,000570.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000571.SZ,新大洲A,SZSE,B 采矿业,000571.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000572.SZ,海马汽车,SZSE,C 制造业,000572.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000573.SZ,粤宏远Ａ,SZSE,C 制造业,000573.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000576.SZ,甘化科工,SZSE,C 制造业,000576.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000581.SZ,威孚高科,SZSE,C 制造业,000581.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000582.SZ,北部湾港,SZSE,G 交通运输、仓储和邮政业,000582.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000586.SZ,汇源通信,SZSE,C 制造业,000586.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000589.SZ,贵州轮胎,SZSE,C 制造业,000589.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000590.SZ,古汉医药,SZSE,C 制造业,000590.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000591.SZ,太阳能,SZSE,D 电力、热力、燃气及水生产和供应业,000591.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000592.SZ,平潭发展,SZSE,C 制造业,000592.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000593.SZ,德龙汇能,SZSE,D 电力、热力、燃气及水生产和供应业,000593.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000595.SZ,新能股份,SZSE,C 制造业,000595.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000596.SZ,古井贡酒,SZSE,C 制造业,000596.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000597.SZ,东北制药,SZSE,C 制造业,000597.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000598.SZ,兴蓉环境,SZSE,D 电力、热力、燃气及水生产和供应业,000598.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000599.SZ,青岛双星,SZSE,C 制造业,000599.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000600.SZ,建投能源,SZSE,D 电力、热力、燃气及水生产和供应业,000600.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000601.SZ,韶能股份,SZSE,D 电力、热力、燃气及水生产和供应业,000601.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000603.SZ,盛达资源,SZSE,B 采矿业,000603.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000605.SZ,渤海股份,SZSE,D 电力、热力、燃气及水生产和供应业,000605.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000607.SZ,华媒控股,SZSE,L 租赁和商务服务业,000607.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000608.SZ,阳光股份,SZSE,K 房地产业,000608.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000609.SZ,*ST中迪,SZSE,S 综合,000609.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000610.SZ,*ST西旅,SZSE,L 租赁和商务服务业,000610.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000612.SZ,焦作万方,SZSE,C 制造业,000612.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000615.SZ,*ST美谷,SZSE,Q 卫生和社会工作,000615.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000617.SZ,中油资本,SZSE,J 金融业,000617.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000619.SZ,海螺新材,SZSE,C 制造业,000619.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000620.SZ,盈新发展,SZSE,K 房地产业,000620.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000623.SZ,吉林敖东,SZSE,C 制造业,000623.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000625.SZ,长安汽车,SZSE,C 制造业,000625.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
000626.SZ,远大控股,SZSE,F 批发和零售业,000626.SZ,,上市,,https://www.szse.cn/market/stock/company/,2026-07-28
