stock_code,company_name,exchange,sub_industry,included,exclusion_reason,entity_id,source_url,as_of_date
00182.HK,协合新能源集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00182.HK,,
600310.SH,广西能源,SSE,历史能源样本待复核,true,,600310.SH,,
00332.HK,元亨燃气控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00332.HK,,
601225.SH,陕西煤业,SSE,历史能源样本待复核,true,,601225.SH,,
00632.HK,中港石油有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00632.HK,,
00061.HK,绿领控股集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00061.HK,,
600525.SH,ST长园,SSE,历史能源样本待复核,false,ST/*ST排除,600525.SH,,
02386.HK,中石化炼化工程(集团)股份有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,02386.HK,,
002911.SZ,佛燃能源,SZSE,历史能源样本待复核,true,,002911.SZ,,
00836.HK,华润电力控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00836.HK,,
002608.SZ,江苏国信,SZSE,历史能源样本待复核,true,,002608.SZ,,
08347.HK,F8企业(控股)集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,08347.HK,,
002074.SZ,国轩高科,SZSE,历史能源样本待复核,true,,002074.SZ,,
00228.HK,中国能源开发控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00228.HK,,
03337.HK,安东油田服务集团,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,03337.HK,,
01713.HK,四川能投发展股份有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01713.HK,,
002531.SZ,天顺风能,SZSE,历史能源样本待复核,true,,002531.SZ,,
600089.SH,特变电工,SSE,历史能源样本待复核,true,,600089.SH,,
000723.SZ,美锦能源,SZSE,历史能源样本待复核,true,,000723.SZ,,
08631.HK,申港控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,08631.HK,,
688006.SH,杭可科技,SSE,历史能源样本待复核,true,,688006.SH,,
000875.SZ,电投绿能,SZSE,历史能源样本待复核,true,,000875.SZ,,
300626.SZ,华瑞股份,SZSE,历史能源样本待复核,true,,300626.SZ,,
688778.SH,厦钨新能,SSE,历史能源样本待复核,true,,688778.SH,,
00353.HK,能源国际投资控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00353.HK,,
600537.SH,*ST亿晶,SSE,历史能源样本待复核,false,ST/*ST排除,600537.SH,,
01205.HK,中信资源控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01205.HK,,
300185.SZ,通裕重工,SZSE,历史能源样本待复核,true,,300185.SZ,,
00346.HK,延长石油国际有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00346.HK,,
00295.HK,江山控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00295.HK,,
600011.SH,华能国际,SSE,历史能源样本待复核,true,,600011.SH,,
00607.HK,丰盛控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00607.HK,,
01381.HK,粤丰环保电力有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01381.HK,,
688707.SH,振华新材,SSE,历史能源样本待复核,true,,688707.SH,,
09689.HK,金泰丰国际控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,09689.HK,,
688567.SH,孚能科技,SSE,历史能源样本待复核,true,,688567.SH,,
688772.SH,珠海冠宇,SSE,历史能源样本待复核,true,,688772.SH,,
01277.HK,力量发展集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01277.HK,,
605011.SH,杭州热电,SSE,历史能源样本待复核,true,,605011.SH,,
600483.SH,福能股份,SSE,历史能源样本待复核,true,,600483.SH,,
00002.HK,中电控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00002.HK,,
600167.SH,联美控股,SSE,历史能源样本待复核,true,,600167.SH,,
00650.HK,普达特科技有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00650.HK,,
603606.SH,东方电缆,SSE,历史能源样本待复核,true,,603606.SH,,
601808.SH,中海油服,SSE,历史能源样本待复核,true,,601808.SH,,
00196.HK,宏华集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00196.HK,,
001258.SZ,立新能源,SZSE,历史能源样本待复核,true,,001258.SZ,,
01251.HK,华油能源集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01251.HK,,
01303.HK,汇力资源(集团)有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01303.HK,,
601991.SH,大唐发电,SSE,历史能源样本待复核,true,,601991.SH,,
601139.SH,深圳燃气,SSE,历史能源样本待复核,true,,601139.SH,,
01393.HK,恒鼎实业国际发展有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01393.HK,,
001208.SZ,华菱线缆,SZSE,历史能源样本待复核,true,,001208.SZ,,
03800.HK,协鑫科技控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,03800.HK,,
002340.SZ,格林美,SZSE,历史能源样本待复核,true,,002340.SZ,,
600688.SH,上海石化,SSE,历史能源样本待复核,true,,600688.SH,,
300450.SZ,先导智能,SZSE,历史能源样本待复核,true,,300450.SZ,,
000027.SZ,深圳能源,SZSE,历史能源样本待复核,true,,000027.SZ,,
000040.SZ,东旭蓝天新能源股份有限公司,SZSE,历史能源样本待复核,false,未匹配当前沪深正常上市底表,000040.SZ,,
688349.SH,三一重能,SSE,历史能源样本待复核,true,,688349.SH,,
002706.SZ,良信股份,SZSE,历史能源样本待复核,true,,002706.SZ,,
600339.SH,中油工程,SSE,历史能源样本待复核,true,,600339.SH,,
600795.SH,国电电力,SSE,历史能源样本待复核,true,,600795.SH,,
600505.SH,西昌电力,SSE,历史能源样本待复核,true,,600505.SH,,
300919.SZ,中伟新材,SZSE,历史能源样本待复核,true,,300919.SZ,,
01101.HK,中国华荣能源股份有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01101.HK,,
600863.SH,华能蒙电,SSE,历史能源样本待复核,true,,600863.SH,,
600917.SH,重庆燃气,SSE,历史能源样本待复核,true,,600917.SH,,
300376.SZ,易事特,SZSE,历史能源样本待复核,true,,300376.SZ,,
300751.SZ,迈为股份,SZSE,历史能源样本待复核,true,,300751.SZ,,
600027.SH,华电国际,SSE,历史能源样本待复核,true,,600027.SH,,
08270.HK,中国煤层气集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,08270.HK,,
06885.HK,河南金马能源股份有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,06885.HK,,
601918.SH,新集能源,SSE,历史能源样本待复核,true,,601918.SH,,
00042.HK,东北电气发展股份有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00042.HK,,
00276.HK,蒙古能源有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00276.HK,,
02798.HK,久泰邦达能源控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,02798.HK,,
600025.SH,华能水电,SSE,历史能源样本待复核,true,,600025.SH,,
300207.SZ,欣旺达,SZSE,历史能源样本待复核,true,,300207.SZ,,
688819.SH,天能股份,SSE,历史能源样本待复核,true,,688819.SH,,
00866.HK,中国秦发集团有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00866.HK,,
01080.HK,胜利油气管道控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01080.HK,,
00065.HK,弘海高新资源有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00065.HK,,
01811.HK,中国广核新能源控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01811.HK,,
002893.SZ,京能热力,SZSE,历史能源样本待复核,true,,002893.SZ,,
00645.HK,安域亚洲有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00645.HK,,
601619.SH,嘉泽新能,SSE,历史能源样本待复核,true,,601619.SH,,
300393.SZ,中来股份,SZSE,历史能源样本待复核,true,,300393.SZ,,
600268.SH,国电南自,SSE,历史能源样本待复核,true,,600268.SH,,
688779.SH,五矿新能,SSE,历史能源样本待复核,true,,688779.SH,,
002812.SZ,恩捷股份,SZSE,历史能源样本待复核,true,,002812.SZ,,
00451.HK,协鑫新能源控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00451.HK,,
01940.HK,CHINA GAS INDUSTRY INVESTMENT HOLDINGS CO. LTD.,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01940.HK,,
600644.SH,乐山电力,SSE,历史能源样本待复核,true,,600644.SH,,
00975.HK,MONGOLIAN MINING CORPORATION,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00975.HK,,
688663.SH,DR新风光,SSE,历史能源样本待复核,true,,688663.SH,,
00702.HK,中国油气控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00702.HK,,
688681.SH,科汇股份,SSE,历史能源样本待复核,true,,688681.SH,,
01738.HK,飞尚无烟煤资源有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01738.HK,,
600256.SH,广汇能源,SSE,历史能源样本待复核,true,,600256.SH,,
000703.SZ,恒逸石化,SZSE,历史能源样本待复核,true,,000703.SZ,,
002560.SZ,通达股份,SZSE,历史能源样本待复核,true,,002560.SZ,,
688560.SH,明冠新材,SSE,历史能源样本待复核,true,,688560.SH,,
03303.HK,巨涛海洋石油服务有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,03303.HK,,
600578.SH,京能电力,SSE,历史能源样本待复核,true,,600578.SH,,
000966.SZ,长源电力,SZSE,历史能源样本待复核,true,,000966.SZ,,
02728.HK,金泰能源控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,02728.HK,,
600101.SH,明星电力,SSE,历史能源样本待复核,true,,600101.SH,,
01608.HK,伟能集团国际控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01608.HK,,
600346.SH,恒力石化,SSE,历史能源样本待复核,true,,600346.SH,,
300037.SZ,新宙邦,SZSE,历史能源样本待复核,true,,300037.SZ,,
600482.SH,中国动力,SSE,历史能源样本待复核,true,,600482.SH,,
02178.HK,百勤油田服务有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,02178.HK,,
002039.SZ,黔源电力,SZSE,历史能源样本待复核,true,,002039.SZ,,
605090.SH,九丰能源,SSE,历史能源样本待复核,true,,605090.SH,,
08536.HK,TL Natural Gas Holdings Limited,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,08536.HK,,
00968.HK,信义光能控股有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00968.HK,,
600780.SH,XD通宝能,SSE,历史能源样本待复核,true,,600780.SH,,
688226.SH,威腾电气,SSE,历史能源样本待复核,true,,688226.SH,,
01229.HK,南南资源实业有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,01229.HK,,
002490.SZ,山东墨龙,SZSE,历史能源样本待复核,true,,002490.SZ,,
600023.SH,浙能电力,SSE,历史能源样本待复核,true,,600023.SH,,
601311.SH,骆驼股份,SSE,历史能源样本待复核,true,,601311.SH,,
00600.HK,中国基建投资有限公司,HKEX,历史能源样本待复核,false,HKEX官方快照尚未接入,00600.HK,,
