batch_task_rank,impact_rank,impact_score,best_rank,worst_rank,rank_span,crosses_top_n,boundary_risk,instability_risk,weight_risk,missing_esg_document,esg_status,company_code,company_name,report_year,indicator_code,indicator_name,indicator_weight,priority,status,next_action
85,392,77.5,125,260,135,True,1.0,1.0,0.5,False,embedded_in_annual,002479.SZ,富春环保,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
86,393,77.5,125,260,135,True,1.0,1.0,0.5,False,embedded_in_annual,002479.SZ,富春环保,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
87,395,77.5,124,410,286,True,1.0,1.0,0.5,False,embedded_in_annual,002692.SZ,远程股份,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
88,396,77.5,124,410,286,True,1.0,1.0,0.5,False,embedded_in_annual,002692.SZ,远程股份,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
89,398,77.5,7,391,384,True,1.0,1.0,0.5,False,embedded_in_annual,002850.SZ,科达利,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
90,399,77.5,7,391,384,True,1.0,1.0,0.5,False,embedded_in_annual,002850.SZ,科达利,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
91,402,77.5,5,541,536,True,1.0,1.0,0.5,False,embedded_in_annual,00353.HK,ENERGY INTINV,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
92,403,77.5,5,541,536,True,1.0,1.0,0.5,False,embedded_in_annual,00353.HK,ENERGY INTINV,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
93,404,77.5,74,490,416,True,1.0,1.0,0.5,False,collected,00554.HK,HANS GP HLDGS,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
94,405,77.5,74,490,416,True,1.0,1.0,0.5,False,collected,00554.HK,HANS GP HLDGS,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
95,409,77.5,37,512,475,True,1.0,1.0,0.5,False,embedded_in_annual,03395.HK,JX ENERGY,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
96,410,77.5,160,446,286,True,1.0,1.0,0.5,False,embedded_in_annual,08347.HK,F8 ENT,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
97,411,77.5,129,404,275,True,1.0,1.0,0.5,False,embedded_in_annual,300037.SZ,新宙邦,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
98,412,77.5,129,404,275,True,1.0,1.0,0.5,False,embedded_in_annual,300037.SZ,新宙邦,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
99,413,77.5,169,335,166,True,1.0,1.0,0.5,False,embedded_in_annual,300040.SZ,九洲集团,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
100,414,77.5,169,335,166,True,1.0,1.0,0.5,False,embedded_in_annual,300040.SZ,九洲集团,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
101,416,77.5,166,424,258,True,1.0,1.0,0.5,False,embedded_in_annual,300105.SZ,龙源技术,2025,X_E_CLIMATE_ACTION,应对气候变化,3.75,1,evidence_missing,locate_additional_public_evidence
102,417,77.5,166,424,258,True,1.0,1.0,0.5,False,embedded_in_annual,300105.SZ,龙源技术,2025,X_E_CLIMATE_RISK,气候风险水平,3.75,1,evidence_missing,locate_additional_public_evidence
