task_id,decision_id,stock_code,priority,next_action,historical_name,current_chinese_name,issuer_history_candidate_ids,issuer_history_pages,principal_business_candidate_ids,principal_business_pages,ah_identity_candidate_ids,ah_identity_pages,profile_evidence_url,candidate_count,review_readiness,outcome,related_a_code,entity_id,selected_candidate_ids,evidence_url,evidence_date,reviewer,reviewed_at,rationale,review_status
HKCONT-00182-HK,,00182.HK,2,verify_name_continuity,协合新能源集团有限公司,協合新能源集團有限公司,,,HKCE-00182-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P23-1|HKCE-00182-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P42-1|HKCE-00182-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P65-1|HKCE-00182-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P132-1|HKCE-00182-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P136-1,23|42|65|132|136,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=182,5,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00196-HK,,00196.HK,2,verify_name_continuity,宏华集团有限公司,宏華集團有限公司,,,HKCE-00196-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P53-1|HKCE-00196-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P81-1|HKCE-00196-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P115-1|HKCE-00196-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P116-1,53|81|115|116,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=196,4,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00206-HK,,00206.HK,2,verify_name_continuity,华商能源科技股份有限公司,華商能源科技股份有限公司,,,HKCE-00206-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P47-1|HKCE-00206-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P54-1|HKCE-00206-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P214-1,47|54|214,HKCE-00206-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P43-1|HKCE-00206-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P45-1|HKCE-00206-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P68-1|HKCE-00206-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P300-1,43|45|68|300,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=206,7,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00332-HK,,00332.HK,2,verify_name_continuity,元亨燃气控股有限公司,元亨燃氣控股有限公司,,,HKCE-00332-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2026-P5-1|HKCE-00332-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2026-P47-1|HKCE-00332-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2026-P72-1|HKCE-00332-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2026-P150-1|HKCE-00332-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2026-P192-1,5|47|72|150|192,HKCE-00332-HK-AH_IDENTITY-ANNUAL_REPORT-2026-P55-1|HKCE-00332-HK-AH_IDENTITY-ANNUAL_REPORT-2026-P56-1,55|56,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=332,7,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00346-HK,,00346.HK,2,verify_name_continuity,延长石油国际有限公司,延長石油國際有限公司,,,HKCE-00346-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P25-1|HKCE-00346-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P129-1,25|129,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=346,2,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00353-HK,,00353.HK,2,verify_name_continuity,能源国际投资控股有限公司,能源國際投資控股有限公司,,,HKCE-00353-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2024-P5-1|HKCE-00353-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2024-P7-1|HKCE-00353-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2024-P8-1|HKCE-00353-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2024-P13-1|HKCE-00353-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2024-P15-1,5|7|8|13|15,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=353,5,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00384-HK,,00384.HK,2,verify_name_continuity,中国燃气控股有限公司,中國燃氣控股有限公司,,,HKCE-00384-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P54-1|HKCE-00384-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P62-1|HKCE-00384-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P94-1|HKCE-00384-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P160-1|HKCE-00384-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P161-1|HKCE-00384-HK-PRINCIPAL_BUSINESS-ESG_REPORT-2025-P5-1|HKCE-00384-HK-PRINCIPAL_BUSINESS-ESG_REPORT-2025-P20-1|HKCE-00384-HK-PRINCIPAL_BUSINESS-ESG_REPORT-2025-P22-1|HKCE-00384-HK-PRINCIPAL_BUSINESS-ESG_REPORT-2025-P38-1|HKCE-00384-HK-PRINCIPAL_BUSINESS-ESG_REPORT-2025-P112-1,5|20|22|38|54|62|94|112|160|161,HKCE-00384-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P65-1|HKCE-00384-HK-AH_IDENTITY-ANNUAL_REPORT-2025-P191-1,65|191,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=384,12,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00451-HK,,00451.HK,2,verify_name_continuity,协鑫新能源控股有限公司,時代數字控股有限公司,HKCE-00451-HK-ISSUER_HISTORY-NAME_CHANGE_ANNOUNCEMENT-0-P1-1|HKCE-00451-HK-ISSUER_HISTORY-NAME_CHANGE_ANNOUNCEMENT-0-P2-1|HKCE-00451-HK-ISSUER_HISTORY-ANNUAL_REPORT-2025-P69-1,1|2|69,HKCE-00451-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P14-1|HKCE-00451-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P46-1|HKCE-00451-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P85-1|HKCE-00451-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P178-1|HKCE-00451-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P212-1,14|46|85|178|212,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=451,8,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00467-HK,,00467.HK,2,verify_name_continuity,联合能源集团有限公司,聯合能源集團有限公司,,,HKCE-00467-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P9-1|HKCE-00467-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P34-1|HKCE-00467-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P63-1|HKCE-00467-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P123-1|HKCE-00467-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P124-1,9|34|63|123|124,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=467,5,evidence_candidates_available,,,,,,,,,,unsigned
HKCONT-00554-HK,,00554.HK,2,verify_name_continuity,汉思能源有限公司,漢思集團控股有限公司,,,HKCE-00554-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P11-1|HKCE-00554-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P69-1|HKCE-00554-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P77-1|HKCE-00554-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P114-1|HKCE-00554-HK-PRINCIPAL_BUSINESS-ANNUAL_REPORT-2025-P150-1,11|69|77|114|150,,,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=554,5,evidence_candidates_available,,,,,,,,,,unsigned
