company_code,company_name,report_year,indicator_code,value,status,source_url,source_file,source_page,evidence_text,confidence
00332.HK,YUANHENGGAS-NEW,2026,Q_G_CAPITAL_ACCUMULATION,-10.5594,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700847.pdf,data/raw/hkex_reports/00332.HK/2026/annual_report.pdf,190,"English consolidated statement derived: Total equity 權益總額 244,808 273,710",0.94
00346.HK,YANCHANG PETRO,2025,Q_G_DEBT_ASSET_RATE,78.9713,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042101286.pdf,data/raw/hkex_reports/00346.HK/2025/annual_report.pdf,60,"English consolidated statement derived: Total liabilities 2,182,711 1,499,820 | Total assets 2,763,929 2,799,999",0.94
00346.HK,YANCHANG PETRO,2025,Q_G_ASSET_TURNOVER,6.2282,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042101286.pdf,data/raw/hkex_reports/00346.HK/2025/annual_report.pdf,59,"English consolidated statements derived: Revenue 8 17,326,524 29,184,915 | Total assets 2,763,929 2,799,999",0.94
00346.HK,YANCHANG PETRO,2025,Q_G_CAPITAL_ACCUMULATION,-55.2971,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042101286.pdf,data/raw/hkex_reports/00346.HK/2025/annual_report.pdf,59,"English consolidated statement derived: Total equity 581,218 1,300,179",0.94
00346.HK,YANCHANG PETRO,2025,Q_G_REVENUE_GROWTH,-40.6319,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042101286.pdf,data/raw/hkex_reports/00346.HK/2025/annual_report.pdf,57,"English consolidated income statement derived: Revenue 8 17,326,524 29,184,915",0.93
00353.HK,ENERGY INTINV,2024,Q_G_CAPITAL_ACCUMULATION,32.9297,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0725/2025072500637.pdf,data/raw/hkex_reports/00353.HK/2024/annual_report.pdf,67,"English consolidated statement derived: Total equity 總權益 1,799,952 1,354,063",0.94
00384.HK,CHINA GAS HOLD,2025,Q_G_CAPITAL_ACCUMULATION,6.6811,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0727/2026072700334.pdf,data/raw/hkex_reports/00384.HK/2025/annual_report.pdf,101,"English consolidated statement derived: Total equity 64,783,929 60,726,705",0.94
00451.HK,GCL NEWENERGY,2025,Q_G_CAPITAL_ACCUMULATION,-14.3634,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802107.pdf,data/raw/hkex_reports/00451.HK/2025/annual_report.pdf,79,"English consolidated statement derived: TOTAL EQUITY 4,135,189 4,828,764",0.94
00451.HK,GCL NEWENERGY,2025,Q_G_REVENUE_GROWTH,-4.0792,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802107.pdf,data/raw/hkex_reports/00451.HK/2025/annual_report.pdf,76,"English consolidated income statement derived: Revenue 6 1,062,567 1,107,755",0.93
00451.HK,GCL NEWENERGY,2025,Q_S_RD_RATE,2.9052,pending,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042802107.pdf,data/raw/hkex_reports/00451.HK/2025/annual_report.pdf,76,"English consolidated income statement derived: Research and development expenses (30,870) (29,360) | Revenue 6 1,062,567 1,107,755",0.93
