company_code,company_name,report_year,indicator_code,candidate_count,distinct_values,source_pages,recommended_value,review_reason,action,selected_value,reviewer,reviewed_at,note
600644.SH,乐山电力,2025,Q_G_REVENUE_GROWTH,2,6.24241|7.40619,7|8,,conflicting_candidates,,,,,
600674.SH,川投能源,2025,Q_G_REVENUE_GROWTH,2,3.64656|4.64746,7|8,,conflicting_candidates,,,,,
600681.SH,百川能源,2025,Q_G_REVENUE_GROWTH,2,2.25227|144.573,5|6,,conflicting_candidates,,,,,
600688.SH,上海石化,2025,Q_G_DEBT_ASSET_RATE,2,41.67|100,18,,conflicting_candidates,,,,,
600725.SH,云维股份,2025,Q_G_DEBT_ASSET_RATE,4,25.4793|25.48,7|9|11|67,,conflicting_candidates,,,,,
600725.SH,云维股份,2025,Q_G_REVENUE_GROWTH,2,-27.6515|-15.8267,6|7,,conflicting_candidates,,,,,
600726.SH,华电能源,2025,Q_G_REVENUE_GROWTH,2,-8.22279|64.8522,14|15,,conflicting_candidates,,,,,
600744.SH,华银电力,2025,Q_G_DEBT_ASSET_RATE,4,92.41|93.2477|93.25,9|10|35|71,,conflicting_candidates,,,,,
600758.SH,辽宁能源,2025,Q_G_REVENUE_GROWTH,2,-15.1285|60.9293,5|6,,conflicting_candidates,,,,,
600777.SH,*ST新潮,2025,Q_G_DEBT_ASSET_RATE,3,34.3467|34.35,5|13|85,,conflicting_candidates,,,,,
600780.SH,通宝能源,2025,Q_G_REVENUE_GROWTH,2,4.02306|27.5196,6|7,,conflicting_candidates,,,,,
600795.SH,国电电力,2025,Q_G_DEBT_ASSET_RATE,2,73.4474|73.45,71|100,,conflicting_candidates,,,,,
600795.SH,国电电力,2025,Q_G_ROE,2,10|12.283,7|39,,conflicting_candidates,,,,,
600803.SH,新奥股份,2025,Q_G_REVENUE_GROWTH,2,-3.22426|4.5489,8|9,,conflicting_candidates,,,,,
600847.SH,万里股份,2025,Q_G_REVENUE_GROWTH,2,-12.3866|3.88662,5|6,,conflicting_candidates,,,,,
600868.SH,梅雁吉祥,2025,Q_G_REVENUE_GROWTH,2,-19.3263|3.39954,6|7,,conflicting_candidates,,,,,
600871.SH,石化油服,2025,Q_G_REVENUE_GROWTH,2,-7.03175|-0.473512,9|11,,conflicting_candidates,,,,,
600875.SH,东方电气,2025,Q_G_REVENUE_GROWTH,2,-23.6338|13.1062,5|6,,conflicting_candidates,,,,,
600885.SH,宏发股份,2025,Q_G_DEBT_ASSET_RATE,2,31.47|31.4741,79|84,,conflicting_candidates,,,,,
600886.SH,国投电力,2025,Q_G_DEBT_ASSET_RATE,3,60.52|60.5241|80,16|65|98,,conflicting_candidates,,,,,
600886.SH,国投电力,2025,Q_G_ROE,3,5|10|11.35,9|10|65,,conflicting_candidates,,,,,
600900.SH,长江电力,2025,Q_G_DEBT_ASSET_RATE,2,58.2695|58.27,14|81,,conflicting_candidates,,,,,
600903.SH,贵州燃气,2025,Q_G_DEBT_ASSET_RATE,2,65.44|65.4408,96|102,,conflicting_candidates,,,,,
600905.SH,三峡能源,2025,Q_G_DEBT_ASSET_RATE,3,71.91|71.912,20|90|112,,conflicting_candidates,,,,,
600956.SH,新天绿能,2025,Q_G_DEBT_ASSET_RATE,3,66.3|66.3042,25|110|132,,conflicting_candidates,,,,,
600968.SH,海油发展,2025,Q_G_DEBT_ASSET_RATE,2,40.9785|40.98,14|70,,conflicting_candidates,,,,,
600968.SH,海油发展,2025,Q_G_REVENUE_GROWTH,2,-19.548|-4.10129,6|7,,conflicting_candidates,,,,,
600968.SH,海油发展,2025,Q_S_RD_RATE,2,2.49|3.33,19|23,,conflicting_candidates,,,,,
600979.SH,广安爱众,2025,Q_G_REVENUE_GROWTH,2,-5.73975|7.17447,7|9,,conflicting_candidates,,,,,
600982.SH,宁波能源,2025,Q_G_DEBT_ASSET_RATE,2,61.6299|61.63,92|237,,conflicting_candidates,,,,,
600982.SH,宁波能源,2025,Q_G_REVENUE_GROWTH,2,-10.7168|8.44302,7|8,,conflicting_candidates,,,,,
600995.SH,南网储能,2025,Q_G_DEBT_ASSET_RATE,2,54.61|54.6122,11|88,,conflicting_candidates,,,,,
601001.SH,晋控煤业,2025,Q_G_DEBT_ASSET_RATE,3,23|23.17|23.1719,4|6|65,,conflicting_candidates,,,,,
601001.SH,晋控煤业,2025,Q_G_REVENUE_GROWTH,2,-31.5408|-12.7959,6|7,,conflicting_candidates,,,,,
601012.SH,隆基绿能,2025,Q_G_DEBT_ASSET_RATE,3,64.428|64.43,24|112|121,,conflicting_candidates,,,,,
601012.SH,隆基绿能,2025,Q_G_ROE,2,-11.15|35,14|157,,conflicting_candidates,,,,,
601218.SH,吉鑫科技,2025,Q_G_REVENUE_GROWTH,2,15.6057|204.056,6|7,,conflicting_candidates,,,,,
601222.SH,林洋能源,2025,Q_G_DEBT_ASSET_RATE,2,29.41|39.184,23|89,,conflicting_candidates,,,,,
601233.SH,桐昆股份,2025,Q_G_REVENUE_GROWTH,2,-21.4975|-7.31969,7|9,,conflicting_candidates,,,,,
601233.SH,桐昆股份,2025,Q_S_DIVIDEND_PER_SHARE,2,0|0.12,14|51,,conflicting_candidates,,,,,
601615.SH,明阳智能,2025,Q_G_DEBT_ASSET_RATE,4,68.59|71.71|71.7114,87|98|236,,conflicting_candidates,,,,,
601619.SH,嘉泽新能,2025,Q_G_DEBT_ASSET_RATE,3,65.13|65.1318,62|69|74,,conflicting_candidates,,,,,
601619.SH,嘉泽新能,2025,Q_S_RD_RATE,1,0,42,0,single_or_consistent,,,,,
601666.SH,平煤股份,2025,Q_G_REVENUE_GROWTH,2,-32.1962|14.4122,6|8,,conflicting_candidates,,,,,
601666.SH,平煤股份,2025,Q_S_SAFETY_INVEST_RATE,1,9.23,31,9.23,single_or_consistent,,,,,
601669.SH,中国电建,2025,Q_G_DEBT_ASSET_RATE,2,79.59|79.5922,119|256,,conflicting_candidates,,,,,
601727.SH,上海电气,2025,Q_S_RD_RATE,2,5|45,20|57,,conflicting_candidates,,,,,
601778.SH,晶科科技,2025,Q_G_DEBT_ASSET_RATE,3,61.0862|61.09,92|106|115,,conflicting_candidates,,,,,
601778.SH,晶科科技,2025,Q_G_REVENUE_GROWTH,2,-18.3163|9.89884,6|8,,conflicting_candidates,,,,,
601808.SH,中海油服,2025,Q_G_REVENUE_GROWTH,2,-13.7773|4.10111,7|8,,conflicting_candidates,,,,,
601865.SH,福莱特,2025,Q_G_REVENUE_GROWTH,2,-16.6776|11.5249,7|8,,conflicting_candidates,,,,,
601868.SH,中国能建,2025,Q_G_REVENUE_GROWTH,2,-10.1593|3.71339,13|15,,conflicting_candidates,,,,,
601908.SH,京运通,2025,Q_G_REVENUE_GROWTH,2,-32.198|-18.8769,6|7,,conflicting_candidates,,,,,
601918.SH,新集能源,2025,Q_G_DEBT_ASSET_RATE,2,63.5274|63.53,10|55,,conflicting_candidates,,,,,
601918.SH,新集能源,2025,Q_G_REVENUE_GROWTH,2,-3.51154|0.28666,5|6,,conflicting_candidates,,,,,
601991.SH,大唐发电,2025,Q_G_REVENUE_GROWTH,2,-1.79651|11.9295,6|8,,conflicting_candidates,,,,,
603031.SH,安孚科技,2025,Q_G_REVENUE_GROWTH,2,2.93866|31.2051,8|9,,conflicting_candidates,,,,,
603032.SH,德新科技,2025,Q_G_DEBT_ASSET_RATE,4,23.297|23.3|29.78,19|89|100,,conflicting_candidates,,,,,
