company_code,company_name,report_year,document_type,source_url,published_date,title
600483.SH,福能股份,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600483_20260423_YT9Q.pdf,2026-04-23,福能股份2025年度可持续发展报告
600505.SH,西昌电力,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600505_20260423_O56I.pdf,2026-04-23,2025年年度报告
600508.SH,上海能源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-28/600508_20260328_BPQ5.pdf,2026-03-28,上海能源2025年年度报告
600508.SH,上海能源,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-28/600508_20260328_MJBD.pdf,2026-03-28,上海能源2025年度ESG报告
600509.SH,天富能源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-22/600509_20260422_2PIH.pdf,2026-04-22,新疆天富能源股份有限公司2025年年度报告
600550.SH,保变电气,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-11/600550_20260411_FDFQ.pdf,2026-04-11,保定天威保变电气股份有限公司2025年年度报告
600577.SH,精达股份,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600577_20260331_23PP.pdf,2026-03-31,精达股份2025年年度报告
600578.SH,京能电力,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-25/600578_20260425_KNWV.pdf,2026-04-25,京能电力：2025年年度报告
600578.SH,京能电力,2025,esg_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-25/600578_20260425_2RXP.pdf,2026-04-25,京能电力：2025年可持续发展暨ESG报告
600580.SH,卧龙电驱,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-21/600580_20260321_1V1Z.pdf,2026-03-21,卧龙电驱2025年年度报告
600617.SH,国新能源,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-23/600617_20260423_937U.pdf,2026-04-23,山西省国新能源股份有限公司2025年年度报告
600635.SH,大众公用,2025,annual_report,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/600635_20260331_NVKM.pdf,2026-03-31,2025年年度报告
