stock_code,company_name,published_date,title,document_type,source_url,source
['002606'].SZ,['大连电瓷'],2026-04-23,大连电瓷：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-23/ecbc2b8f-2aac-4038-8ec6-07e0843517bb.PDF,SZSE
['300390'].SZ,['天华新能'],2026-03-20,天华新能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-20/9c056a26-c968-4aad-a0bb-db67b6c34fd7.PDF,SZSE
['301587'].SZ,['中瑞股份'],2026-04-24,中瑞股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/9b7dfa0e-da4b-4049-ae65-4ec8a12e558b.PDF,SZSE
['002533'].SZ,['金杯电工'],2026-03-31,金杯电工：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/35d76772-6a6b-4dde-9439-b554040356ac.PDF,SZSE
['001269'].SZ,['欧晶科技'],2026-04-25,欧晶科技：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/902f94d2-33d3-4e7c-9c36-ecab85315b76.PDF,SZSE
['300191'].SZ,['潜能恒信'],2026-04-21,潜能恒信：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/573f8473-7c75-4fe0-a99d-1f9ff3bbf00f.PDF,SZSE
['002882'].SZ,['金龙羽'],2026-03-27,金龙羽：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-27/c8023ac6-3e17-46bd-8cf0-c28947ead96f.PDF,SZSE
['300820'].SZ,['英杰电气'],2026-04-28,英杰电气：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/af04c9c4-1899-4f81-8cce-15ff9f0f82b8.PDF,SZSE
['002270'].SZ,['华明装备'],2026-02-27,华明装备：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-02-27/47d249dd-be14-44f2-9261-0cf1708f32db.PDF,SZSE
['301325'].SZ,['曼恩斯特'],2026-04-29,曼恩斯特：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/10ae0306-78b4-4bb6-925e-181334b8b7dd.PDF,SZSE
['300332'].SZ,['天壕能源'],2026-04-24,天壕能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/911a156e-b658-48ad-8c98-59d5ef1ed8f1.PDF,SZSE
['300286'].SZ,['安科瑞'],2026-03-28,安科瑞：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/55588a36-d5a4-4116-918a-575522739340.PDF,SZSE
['002850'].SZ,['科达利'],2026-03-28,科达利：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-28/fa698b1e-6f1c-4857-8646-be7cf69c8999.PDF,SZSE
['002865'].SZ,['钧达股份'],2026-03-31,钧达股份：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/8edee58e-306e-46f7-b994-87ee238e35a4.PDF,SZSE
['000593'].SZ,['德龙汇能'],2026-04-25,德龙汇能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/8f7b360b-3f11-4214-8d16-a78f575d9aa1.PDF,SZSE
['000591'].SZ,['太阳能'],2026-04-24,太阳能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/e4246dbf-16d3-426d-853d-fb06a648fc88.PDF,SZSE
['301439'].SZ,['泓淋电力'],2026-04-28,泓淋电力：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/ec348018-231a-4ced-ac70-b15aa00279a0.PDF,SZSE
['002518'].SZ,['科士达'],2026-04-27,科士达：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-27/e54b4902-5747-4c1c-8dd5-a6112528cd82.PDF,SZSE
['300483'].SZ,['首华燃气'],2026-03-20,首华燃气：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-20/62957663-14a8-4395-b2c5-75dc632fd69b.PDF,SZSE
['000968'].SZ,['蓝焰控股'],2026-04-28,蓝焰控股：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-28/e8e58391-9f7d-4e3e-a20f-f91de853f3ff.PDF,SZSE
['300432'].SZ,['富临精工'],2026-04-29,富临精工：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/40831c7d-0f67-4d6c-ba32-5c1ca8197fab.PDF,SZSE
['002125'].SZ,['湘潭电化'],2026-04-25,湘潭电化：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-25/9814767f-89f7-43fb-8dcd-d31745ba9093.PDF,SZSE
['000543'].SZ,['皖能电力'],2026-04-24,皖能电力：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-24/3b3f544c-c39a-4da0-8493-880d50c9247f.PDF,SZSE
['001331'].SZ,['胜通能源'],2026-04-29,胜通能源：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-29/271cb7b4-b15b-4113-9501-fce9cef8707a.PDF,SZSE
['300880'].SZ,['迦南智能'],2026-04-21,迦南智能：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-21/7c49d271-07d8-49c0-b5d6-e3ac6b01aa94.PDF,SZSE
['001301'].SZ,['尚太科技'],2026-04-22,尚太科技：2025年年度报告,annual_report,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-22/d209877c-7229-4b60-8107-63d0d7bdefeb.PDF,SZSE
