stock_code,current_stock_code,company_name,exchange,matched_snapshot,evidence_file,evidence_pages
688005.SH,688005.SH,容百科技,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002358.SZ,002358.SZ,森源电气,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
301266.SZ,301266.SZ,宇邦新材,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
301386.SZ,301386.SZ,未来电器,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600475.SH,600475.SH,华光环能,SSE,True,data/reference/2025_top200_ocr.txt,67-72
300457.SZ,300457.SZ,赢合科技,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
603318.SH,603318.SH,水发燃气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600379.SH,600379.SH,宝光股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
603393.SH,603393.SH,新天然气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
601012.SH,601012.SH,隆基绿能,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002580.SZ,002580.SZ,圣阳股份,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
002364.SZ,002364.SZ,中恒电气,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
01250.HK,01250.HK,SDHS NEW ENERGY,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
300450.SZ,300450.SZ,先导智能,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
688567.SH,688567.SH,孚能科技,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00003.HK,00003.HK,HK & CHINA GAS,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
688147.SH,688147.SH,微导纳米,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002709.SZ,002709.SZ,天赐材料,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
00467.HK,00467.HK,UNITEDENERGY GP,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
002823.SZ,002823.SZ,凯中精密,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300491.SZ,300491.SZ,通合科技,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
002340.SZ,002340.SZ,格林美,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300129.SZ,300129.SZ,泰胜风能,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
688772.SH,688772.SH,珠海冠宇,SSE,True,data/reference/2025_top200_ocr.txt,67-72
603507.SH,603507.SH,振江股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600346.SH,600346.SH,恒力石化,SSE,True,data/reference/2025_top200_ocr.txt,67-72
000883.SZ,000883.SZ,湖北能源,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600635.SH,600635.SH,大众公用,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01635.HK,01635.HK,DZUG,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
605162.SH,605162.SH,新中港,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002533.SZ,002533.SZ,金杯电工,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600268.SH,600268.SH,国电南自,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002245.SZ,002245.SZ,蔚蓝锂芯,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600886.SH,600886.SH,国投电力,SSE,True,data/reference/2025_top200_ocr.txt,67-72
688660.SH,688660.SH,电气风电,SSE,True,data/reference/2025_top200_ocr.txt,67-72
03303.HK,03303.HK,JUTAL OIL SER,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
00934.HK,00934.HK,SINOPEC KANTONS,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
000682.SZ,000682.SZ,东方电子,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300724.SZ,300724.SZ,捷佳伟创,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
688390.SH,688390.SH,固德威,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600903.SH,600903.SH,贵州燃气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
03868.HK,03868.HK,XINYI ENERGY,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
600871.SH,600871.SH,石化油服,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01033.HK,01033.HK,SINOPEC SSC,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
600116.SH,600116.SH,三峡水利,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600151.SH,600151.SH,航天机电,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600089.SH,600089.SH,特变电工,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600925.SH,600925.SH,苏能股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00836.HK,00836.HK,CHINA RES POWER,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
688733.SH,688733.SH,壹石通,SSE,True,data/reference/2025_top200_ocr.txt,67-72
603689.SH,603689.SH,皖天然气,SSE,True,data/reference/2025_top200_ocr.txt,67-72
000937.SZ,000937.SZ,冀中能源,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
002493.SZ,002493.SZ,荣盛石化,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
601311.SH,601311.SH,骆驼股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
001283.SZ,001283.SZ,豪鹏科技,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
605011.SH,605011.SH,杭州热电,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600688.SH,600688.SH,上海石化,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00338.HK,00338.HK,SHANGHAI PECHEM,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
688303.SH,688303.SH,大全能源,SSE,True,data/reference/2025_top200_ocr.txt,67-72
300510.SZ,300510.SZ,金冠股份,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
603396.SH,603396.SH,金辰股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
601991.SH,601991.SH,大唐发电,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00991.HK,00991.HK,DATANG POWER,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
000554.SZ,000554.SZ,泰山石油,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
02728.HK,02728.HK,JINTAI ENERGY H,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
01623.HK,01623.HK,HILONG,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
300751.SZ,300751.SZ,迈为股份,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600483.SH,600483.SH,福能股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
603218.SH,603218.SH,日月股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600795.SH,600795.SH,国电电力,SSE,True,data/reference/2025_top200_ocr.txt,67-72
601918.SH,601918.SH,新集能源,SSE,True,data/reference/2025_top200_ocr.txt,67-72
601868.SH,601868.SH,中国能建,SSE,True,data/reference/2025_top200_ocr.txt,67-72
03996.HK,03996.HK,CH ENERGY ENG,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
01303.HK,01303.HK,HUILI RES,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
600642.SH,600642.SH,申能股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002608.SZ,002608.SZ,江苏国信,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600098.SH,600098.SH,广州发展,SSE,True,data/reference/2025_top200_ocr.txt,67-72
601001.SH,601001.SH,晋控煤业,SSE,True,data/reference/2025_top200_ocr.txt,67-72
002479.SZ,002479.SZ,富春环保,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
300569.SZ,300569.SZ,天能重工,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
002459.SZ,002459.SZ,晶澳科技,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
688032.SH,688032.SH,禾迈股份,SSE,True,data/reference/2025_top200_ocr.txt,67-72
600027.SH,600027.SH,华电国际,SSE,True,data/reference/2025_top200_ocr.txt,67-72
01071.HK,01071.HK,HUADIAN POWER,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
000862.SZ,000862.SZ,银星能源,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
000543.SZ,000543.SZ,皖能电力,SZSE,True,data/reference/2025_top200_ocr.txt,67-72
600011.SH,600011.SH,华能国际,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00902.HK,00902.HK,HUANENG POWER,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
688779.SH,688779.SH,五矿新能,SSE,True,data/reference/2025_top200_ocr.txt,67-72
00975.HK,00975.HK,MONGOL MINING,HKEX,True,data/reference/2025_top200_ocr.txt,67-72
835985.BJ,920985.BJ,海泰新能,BSE,True,data/reference/2025_top200_ocr.txt,67-72
