stock_code,chinese_name,chinese_short_name,company_summary,hsic_industry,hsic_sub_sector,csic_classification,listing_category,primary_market,incorporation_place,profile_updated_at,source_url,evidence_status
01229.HK,南南資源實業有限公司,南南資源,南南資源實業有限公司是一家主要從事煤炭的開采和銷售的投資控股公司。該公司通過三個分部經營其業務。煤礦業務分部從事煤炭的開采和銷售。可再生能源業務分部從事太陽能發電場的開發。資訊科技服務業務分部從事提供資訊科技外包、諮詢及技術服務。,能源業 - 煤炭,煤炭,,主要上市,,百慕達,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1229,candidate
00600.HK,愛芯元智半導體股份有限公司 - H股,愛芯元智,愛芯元智半導體股份有限公司是一家主要從事提供人工智能（AI）推理系統芯片（SoC）產品的中國公司。該公司專注為邊緣計算與終端設備AI應用打造感知與計算平台。該公司SoC產品的核心技術是愛芯通元混合精度神經網絡處理器（NPU）。該公司的產品主要包括SoC及相關產品，設計用於視覺終端、邊緣推理及智能汽車等領域。該公司還提供軟件、算法許可及技術支持相關的技術服務。該公司主要在中國國內開展業務。,資訊科技業 - 半導體,半導體,,主要上市,,中華人民共和國,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=600,candidate
00931.HK,中國港能智慧能源集團有限公司,中國港能,中國港能智慧能源集團有限公司是一家主要從事天然氣銷售及配送業務的投資控股公司。該公司透過三個分部經營業務。天然氣業務分部從事銷售及配送天然氣業務，包括批發液化天然氣及管道天然氣、點對點液化天然氣供應、汽車加氣站運營、液化天然氣管網，及提供液化天然氣物流服務。新能源業務分部從事發展及生產新能源技術產品，及提供智慧供能綜合解決方案。金融服務及其他業務分部提供液化天然氣車輛及設備的融資租賃服務、資產管理服務和放債服務。,公用事業 - 公用事業,非傳統/ 可再生能源,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=931,candidate
01938.HK,珠江石油天然氣鋼管控股有限公司,珠江鋼管,珠江石油天然氣鋼管控股有限公司是一家主要從事鋼管制造及銷售的公司。該公司經營兩個分部。鋼管分部從事制造及銷售焊接鋼管及提供相關制造服務，該公司産品包括直縫埋弧焊管和螺旋埋弧焊管等。物業開發及投資分部從事發展待售物業及就潛在物業租金收入進行物業投資。,能源業 - 石油及天然氣,油氣設備與服務,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1938,candidate
00006.HK,電能實業有限公司,電能實業,電能實業有限公司是一家主要從事投資能源及公用事業相關業務的投資控股公司。公司通過三個分部運營。投資分部從事投資能源及公用事業相關業務。投資於港燈電力投資分部從事投資於香港的生產及供應電力業務。所有其他活動分部從事該公司經營的其他業務。該公司的業務範圍包括火力及可再生能源發電，輸電和輸油，配電及配氣。該公司在國內市場和英國、澳洲、新西蘭、泰國、荷蘭、葡萄牙和加拿大等海外市場經營業務。,公用事業 - 公用事業,常規電力,,主要上市,,香港,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=6,candidate
01555.HK,ＭＩ能源控股有限公司,ＭＩ能源,MI能源控股有限公司是一家主要從事勘探、開發、生產及銷售原油的投資控股公司。該公司的主營業務是從事勘探、開發、生產和銷售石油、天然氣及其他石油產品及提供服務。該公司主要在中國國內市場開展業務。,能源業 - 石油及天然氣,油氣生產商,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1555,candidate
00819.HK,天能動力國際有限公司,天能動力,天能動力國際有限公司是一家主要從事電池製造業務的投資控股公司。該公司通過兩個分部運營業務。製造業務分部主要從事製造鉛酸電池產品、可再生資源產品、鋰電池產品及其他。貿易業務分部主要從事貿易業務。,工業 - 工業工程,能源儲存裝置,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=819,candidate
03395.HK,吉星新能源有限責任公司,吉星新能源,JX Energy Ltd是一家總部位於加拿大的油氣勘探開發公司，專注於加拿大西部的富液氣和輕質原油，其兩個核心業務區域分別爲阿爾伯塔山麓富液氣田和皮斯河輕質原油田。阿爾伯塔山麓包括Basing和Voyager兩個區域的天然氣田，兩個區域均已部分開發。皮斯河包括 Dawson 關鍵區域的輕質原油田，該區域已部分開發。阿爾伯塔山麓位於阿爾伯塔省埃德蒙頓西南約230公里處。Voyager的地質結構與其類似，距離Basing約 30 公里。,能源業 - 石油及天然氣,油氣生產商,,主要上市,,加拿大,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=3395,candidate
00689.HK,長盈集團(控股)有限公司,長盈集團（控股）,長盈集團（控股）有限公司是一家主要從事提供石油和天然氣勘探和生產服務的投資控股公司。該公司通過三個分部經營業務。石油勘探和生產分部從事石油和天然氣的勘探和銷售。放貸分部提供消費者貸款服務。證券投資分部包括持有證券。,能源業 - 石油及天然氣,油氣生產商,,主要上市,,百慕達,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=689,candidate
02012.HK,陽光油砂有限公司,陽光油砂,Sunshine Oilsands Ltd是一家總部位於加拿大的公司，專注於開發其在阿薩巴斯卡油砂地區持有的大量油砂和重油租賃權。該公司在阿爾伯塔省阿薩巴斯卡地區擁有油砂、石油和天然氣租賃權。其West Ells一期項目已投入運營，初始產量目標約爲每天5000桶。其資產類別包括West Ells、Thickwood、Legend、Muskwa、Harper、Opportunity、Portage和其他資產。West Ells地區佔地超過9856公頃，位於阿薩巴斯卡油砂地區，毗鄰多家知名國際石油公司。其常規重油產品組合包括通過與Renergy Petroleum (Canada) Co. Ltd.合資在Muskwa和Godin引進增產技術。Thickwood地區由油砂租賃區組成，佔地5888公頃連續總面積和淨面積。,能源業 - 石油及天然氣,油氣生產商,,主要上市,,加拿大,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=2012,candidate
01799.HK,新特能源股份有限公司 - H股,新特能源,新特能源股份有限公司是一家主要從事高純多晶硅的研發、生產和銷售，以及風能、光伏電站的開發、建設和運營的中國公司。該公司通過四個分部開展業務。多晶硅分部從事多晶硅及相關產品生產。風能、光伏電站建設分部從事建設光伏及風能發電廠。風能、光伏電站運營分部經營光伏及風能發電廠。其他分部從事逆變器、柔性直流換流閥和靜止無功發生器的生產銷售以及其他業務。該公司主要在國內市場開展其業務。,工業 - 工業工程,新能源物料,,主要上市,,中華人民共和國,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1799,candidate
00951.HK,超威動力控股有限公司,超威動力,超威動力控股有限公司是一家主要從事鉛酸動力電池及其他相關產品的製造及銷售的公司。該公司的產品主要包括電動自行車電池、電動車電池及特殊用途電動車電池等鉛酸動力電池、鋰離子電池以及可再生材料。該公司的產品主要應用於電動自行車、電動三輪車及特殊用途電動車等。該公司主要在國內市場開展業務。,工業 - 工業工程,能源儲存裝置,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=951,candidate
00704.HK,和嘉控股有限公司,和嘉控股,和嘉控股有限公司是一家主要從事焦炭生產業務的投資控股公司。該公司通過三個分部運營業務。焦炭生產分部從事精煤加工業務以產生焦炭以及焦炭副產品的銷售業務。煤炭相關附屬分部從事原煤洗選業務以產生精煤以及電力及熱力的銷售業務。焦炭貿易分部從事焦炭買賣業務。,能源業 - 煤炭,煤炭,,主要上市,,百慕達,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=704,candidate
08132.HK,百能國際能源控股有限公司,百能國際能源,百能國際能源控股有限公司（原名：中油港燃能源集團控股有限公司）是一家主要從事電源及數據線銷售業務的投資控股公司。該公司主要經營三種業務。電源及數據線業務主要提供醫療控制裝置及手機、個人護理產品和家用電器的電源線。商品貿易業務主要從事智能電話、玻璃及其他商品的買賣業務。買賣成品油及化工品業務主要買賣成品油及化工品。,能源業 - 石油及天然氣,油氣生產商,,主要上市,,開曼群島,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=8132,candidate
01878.HK,南戈壁資源有限公司,南戈壁,SouthGobi Resources Ltd是一家綜合性煤炭開採、開發和勘探公司。該公司擁有Ovoot Tolgoi露天煤礦（Ovoot Tolgoi礦）以及Soumber礦牀和Zag Suuj礦牀開發項目的100%權益。這些項目位於蒙古的Umnugobi Aimag（南戈壁省），彼此相距均在150公里（km）以內，並且緊鄰中蒙邊境。Ovoot Tolgoi礦是該公司的旗艦資產，地理位置優越，距中蒙邊境的Shivee Khuren-Ceke過境點（Shivee Khuren邊境口岸）超過40公里。Ovoot Tolgoi礦有兩個不同的礦坑：the Sunrise and Sunset pits。Soumber礦牀包括Central Soumber、East Soumber、Biluut、South Biluut和Jargalant Fields，位於Ovoot Tolgoi礦區以東約20公里處。Zag Suuj礦牀位於Ovoot Tolgoi礦區以東150多公里處，蒙古-中國邊境以北80多公里處。,能源業 - 煤炭,煤炭,,主要上市,,加拿大,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=1878,candidate
00666.HK,瑞浦蘭鈞能源股份有限公司 - H股,瑞浦蘭鈞,瑞浦蘭鈞能源股份有限公司是一家主要從事鋰離子電池產品的研發（R&D）、製造及銷售的中國公司。該公司主要從事動力（EV）及儲能（ESS）鋰離子電池單體、模組、電池包到系統應用的設計、研發、生產及銷售。該公司的主要產品包括動力電池系統，以及儲能電池系統。該公司的產品主要應用於新能源汽車、集中式電力儲能、工商業儲能和戶用儲能等場景。該公司的產品銷往國內外市場。,工業 - 工業工程,能源儲存裝置,,主要上市,,中華人民共和國,2026年7月29日09:48,https://www.hkex.com.hk/Market-Data/Securities-Prices/Equities/Equities-Quote?sc_lang=zh-HK&sym=666,candidate
