evaluation_year,report_year,historical_rank,stock_code,company_abbr,company_name,contact_name,company_city,exchange,st_flag,current_snapshot_status,historical_esg_score,source_file,source_value_row,source_score_row
2024,2023,83,00206.HK,华商能源,华商能源科技股份有限公司,李天平,,HKEX,False,not_applicable,47.26,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,167,168
2024,2023,84,00467.HK,联合能源集团,联合能源集团有限公司,马燕,,HKEX,False,not_applicable,47.18,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,169,170
2024,2023,85,603659.SH,璞泰来,上海璞泰来新能源科技股份有限公司,李天平,上海,SSE,False,matched,47.1,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,171,172
2024,2023,86,002493.SZ,荣盛石化,荣盛石化股份有限公司,马燕,杭州,SZSE,False,matched,47.05,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,173,174
2024,2023,87,600236.SH,桂冠电力,广西桂冠电力股份有限公司,李天平,南宁,SSE,False,matched,47,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,175,176
2024,2023,88,300316.SZ,晶盛机电,浙江晶盛机电股份有限公司,马燕,杭州,SZSE,False,matched,46.87,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,177,178
2024,2023,89,600475.SH,华光环能,无锡华光环保能源集团股份有限公司,李天平,无锡,SSE,False,matched,46.78,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,179,180
2024,2023,90,600886.SH,国投电力,国投电力控股股份有限公司,马燕,北京,SSE,False,matched,46.76,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,181,182
2024,2023,91,000922.SZ,佳电股份,哈尔滨电气集团佳木斯电机股份有限公司,李天平,哈尔滨,SZSE,False,matched,46.75,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,183,184
2024,2023,92,02380.HK,中国电力,中国电力国际发展有限公司,马燕,北京,HKEX,False,not_applicable,46.61,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,185,186
2024,2023,93,600905.SH,三峡能源,中国三峡新能源(集团)股份有限公司,李天平,武汉,SSE,False,matched,46.24,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,187,188
2024,2023,94,002479.SZ,富春环保,浙江富春江环保热电股份有限公司,马燕,杭州,SZSE,False,matched,46.12,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,189,190
2024,2023,95,01921.HK,达力普控股,达力普控股有限公司,李天平,沧州,HKEX,False,not_applicable,45.7,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,191,192
2024,2023,96,002267.SZ,陕天然气,陕西省天然气股份有限公司,马燕,西安,SZSE,False,matched,45.6,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,193,194
2024,2023,97,600151.SH,航天机电,上海航天汽车机电股份有限公司,李天平,上海,SSE,False,matched,45.36,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,195,196
2024,2023,98,601179.SH,中国西电,中国西电电气股份有限公司,马燕,西安,SSE,False,matched,45.28,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,197,198
2024,2023,99,600021.SH,上海电力,上海电力股份有限公司,李天平,上海,SSE,False,matched,45.27,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,199,200
2024,2023,100,00934.HK,中石化冠德,中石化冠德控股有限公司,马燕,北京,HKEX,False,not_applicable,45.23,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,201,202
2024,2023,101,00554.HK,汉思能源,汉思能源有限公司,李天平,,HKEX,False,not_applicable,45.22,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,203,204
2024,2023,102,01193.HK,华润燃气(一百),华润燃气控股有限公司,李天平,,HKEX,False,not_applicable,45.2,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,205,206
2024,2023,103,688223.SH,晶科能源,晶科能源股份有限公司,李天平,,SSE,False,matched,45.19,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,207,208
2024,2023,104,688472.SH,阿特斯,阿特斯阳光电力集团股份有限公司,郭海飞,,SSE,False,matched,45.18,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,209,210
2024,2023,105,603185.SH,弘元绿能,弘元绿色能源股份有限公司,李天平,,SSE,False,matched,45.12,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,211,212
2024,2023,106,603806.SH,福斯特,杭州福斯特应用材料股份有限公司,马燕,,SSE,False,matched,45.02,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,213,214
2024,2023,107,002709.SZ,天赐材料,广州天赐高新材料股份有限公司,李天平,,SZSE,False,matched,45,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,215,216
2024,2023,108,600379.SH,宝光股份,陕西宝光真空电器股份有限公司,马燕,,SSE,False,matched,44.69,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,217,218
2024,2023,109,600995.SH,南网储能,南方电网储能股份有限公司,马燕,,SSE,False,matched,44.65,2024中国能源上市公司可持续发展（ESG）客户名单(1).xlsx,219,220
